cos(i), q, u, number
       0.006719,      -0.092789,       0.004772,          3733.
       0.015596,      -0.096464,       0.006326,         11965.
       0.025335,      -0.092871,      -0.001759,         20116.
       0.035231,      -0.077377,       0.000396,         29137.
       0.045195,      -0.082441,      -0.005198,         38712.
       0.055203,      -0.080662,      -0.001232,         48453.
       0.065154,      -0.072017,      -0.004455,         58803.
       0.075118,      -0.071324,      -0.000507,         69521.
       0.085121,      -0.069366,      -0.005686,         80156.
       0.095102,      -0.069596,      -0.001403,         92097.
       0.105091,      -0.069317,       0.002289,        103873.
       0.115098,      -0.062058,      -0.001556,        116042.
       0.125075,      -0.058552,       0.001879,        129034.
       0.135077,      -0.060447,       0.000456,        141814.
       0.145064,      -0.058900,       0.000301,        155744.
       0.155069,      -0.054669,      -0.001799,        168527.
       0.165075,      -0.052680,      -0.001867,        183199.
       0.175060,      -0.050571,       0.002525,        196662.
       0.185071,      -0.052252,      -0.001224,        212287.
       0.195046,      -0.049561,       0.000484,        227822.
       0.205049,      -0.045244,      -0.000194,        242658.
       0.215061,      -0.047108,       0.003097,        258041.
       0.225053,      -0.043372,      -0.000992,        274099.
       0.235046,      -0.043338,      -0.001197,        291478.
       0.245050,      -0.041234,      -0.000293,        308348.
       0.255046,      -0.039274,       0.000239,        326185.
       0.265030,      -0.039777,       0.001355,        344105.
       0.275040,      -0.036893,      -0.000106,        361431.
       0.285039,      -0.035907,      -0.001882,        379432.
       0.295040,      -0.035329,       0.000142,        398079.
       0.305039,      -0.035840,       0.000929,        417951.
       0.315044,      -0.033661,      -0.000199,        435522.
       0.325042,      -0.032683,       0.000912,        455943.
       0.335033,      -0.031517,       0.000164,        475834.
       0.345034,      -0.031881,      -0.000910,        495468.
       0.355038,      -0.030119,      -0.001307,        516539.
       0.365033,      -0.030256,       0.001253,        539065.
       0.375036,      -0.029732,       0.001307,        561275.
       0.385031,      -0.027846,      -0.000510,        582277.
       0.395037,      -0.026452,       0.000240,        603174.
       0.405037,      -0.027072,       0.000392,        626990.
       0.415034,      -0.025164,       0.000293,        650368.
       0.425033,      -0.024785,       0.000277,        672155.
       0.435028,      -0.023237,      -0.000318,        696747.
       0.445031,      -0.023202,      -0.000179,        720227.
       0.455033,      -0.021079,      -0.001309,        743784.
       0.465029,      -0.022403,      -0.000025,        769901.
       0.475031,      -0.022039,       0.000497,        794042.
       0.485021,      -0.019131,       0.000409,        817905.
       0.495025,      -0.019540,       0.000306,        844051.
       0.505024,      -0.019787,      -0.000525,        869587.
       0.515026,      -0.017697,       0.000640,        896663.
       0.525022,      -0.017962,       0.000212,        922816.
       0.535031,      -0.018038,       0.000738,        948843.
       0.545023,      -0.015853,      -0.000437,        976908.
       0.555022,      -0.015641,       0.000099,       1005312.
       0.565014,      -0.014528,      -0.000271,       1033536.
       0.575023,      -0.015425,       0.000155,       1062019.
       0.585020,      -0.014486,      -0.000720,       1089457.
       0.595027,      -0.012552,      -0.000402,       1119207.
       0.605018,      -0.012759,       0.001083,       1148122.
       0.615023,      -0.013925,      -0.001149,       1176964.
       0.625023,      -0.012690,      -0.000131,       1207721.
       0.635021,      -0.012177,       0.000059,       1238427.
       0.645016,      -0.010977,      -0.001524,       1269342.
       0.655018,      -0.011439,      -0.000528,       1299629.
       0.665019,      -0.010534,       0.000412,       1330747.
       0.675018,      -0.008311,      -0.000423,       1362715.
       0.685021,      -0.009872,      -0.000124,       1397515.
       0.695019,      -0.009569,      -0.000305,       1427949.
       0.705017,      -0.008774,      -0.000058,       1461004.
       0.715020,      -0.008288,       0.000103,       1495219.
       0.725021,      -0.008153,       0.000377,       1527945.
       0.735021,      -0.007891,       0.000027,       1559550.
       0.745018,      -0.007111,       0.000928,       1594949.
***************,      -0.007416,      -0.000099,       1631746.
       0.765016,      -0.006783,      -0.000545,       1663771.
       0.775019,      -0.006132,       0.000209,       1698899.
       0.785021,      -0.005399,      -0.000262,       1731590.
       0.795018,      -0.005724,      -0.000119,       1769945.
       0.805016,      -0.004801,       0.000140,       1806515.
       0.815017,      -0.004558,      -0.000408,       1844708.
       0.825020,      -0.003542,       0.000521,       1878610.
       0.835019,      -0.004086,       0.000085,       1915119.
       0.845012,      -0.003899,       0.000077,       1950891.
       0.855017,      -0.003422,      -0.000746,       1995032.
       0.865018,      -0.003060,      -0.000336,       2029877.
            NaN,      -0.003205,       0.000692,       2066353.
       0.885017,      -0.002725,       0.000146,       2107022.
       0.895012,      -0.002422,      -0.000431,       2144802.
       0.905015,      -0.002017,      -0.001203,       2183822.
       0.915014,      -0.001585,       0.000237,       2224348.
       0.925013,      -0.001831,      -0.000130,       2261037.
       0.935013,      -0.002218,       0.000051,       2302304.
       0.945011,      -0.000767,       0.000570,       2345647.
       0.955017,      -0.001058,       0.000212,       2385029.
       0.965014,      -0.000899,       0.000041,       2426203.
       0.975015,      -0.001285,      -0.000880,       2466005.
       0.985016,      -0.000185,      -0.000305,       2507040.
       0.995014,       0.000579,      -0.000943,       2550768.
