cos(i), q, u, number
       0.006733,      -0.089112,      -0.001864,          3747.
       0.015608,      -0.089949,      -0.000251,         11640.
       0.025387,      -0.089805,      -0.006273,         20502.
       0.035283,      -0.089437,       0.003118,         29172.
       0.045210,      -0.080355,      -0.000889,         38370.
       0.055190,      -0.079005,      -0.002900,         48560.
       0.065158,      -0.078865,      -0.000172,         59195.
       0.075118,      -0.073276,      -0.001148,         69837.
       0.085127,      -0.071466,       0.001383,         80294.
       0.095094,      -0.066516,      -0.004591,         92038.
       0.105090,      -0.064937,      -0.000145,        104093.
       0.115093,      -0.065278,      -0.000880,        117200.
       0.125086,      -0.063200,       0.004654,        128578.
       0.135065,      -0.060103,       0.001657,        142051.
       0.145067,      -0.056135,      -0.001126,        154562.
       0.155065,      -0.055557,      -0.001889,        168304.
       0.165058,      -0.053761,      -0.000445,        182697.
       0.175054,      -0.051490,       0.000016,        197407.
       0.185056,      -0.049528,      -0.001156,        211696.
       0.195055,      -0.048505,       0.000382,        227324.
       0.205057,      -0.048372,      -0.000637,        242031.
       0.215055,      -0.047086,       0.000499,        260070.
       0.225048,      -0.044152,       0.001335,        274557.
       0.235048,      -0.041610,       0.000384,        291519.
       0.245046,      -0.043568,       0.000571,        308586.
       0.255054,      -0.039386,      -0.000026,        325761.
       0.265043,      -0.039269,       0.000002,        342987.
       0.275032,      -0.037688,      -0.001779,        361320.
       0.285043,      -0.035213,      -0.000788,        378667.
       0.295037,      -0.034901,      -0.000496,        399147.
       0.305046,      -0.033508,       0.000017,        416396.
       0.315031,      -0.033999,       0.000076,        435162.
       0.325032,      -0.032696,       0.000078,        457027.
       0.335037,      -0.031737,       0.000250,        477275.
       0.345032,      -0.029614,       0.001379,        496649.
       0.355026,      -0.030099,       0.000193,        519409.
       0.365030,      -0.030710,       0.001576,        538703.
       0.375035,      -0.029020,      -0.000338,        560693.
       0.385033,      -0.027119,      -0.000885,        581785.
       0.395030,      -0.027444,      -0.000204,        603940.
       0.405027,      -0.025071,       0.000503,        626444.
       0.415025,      -0.023482,       0.000661,        648047.
       0.425031,      -0.025347,       0.001512,        670709.
       0.435031,      -0.024326,       0.000564,        697053.
       0.445030,      -0.022567,       0.000941,        722193.
       0.455032,      -0.020652,      -0.000683,        743982.
       0.465021,      -0.020688,       0.000851,        769034.
       0.475027,      -0.022470,      -0.000015,        792665.
       0.485024,      -0.020764,       0.000382,        818421.
       0.495025,      -0.018464,      -0.001432,        844271.
       0.505024,      -0.019918,       0.000730,        868675.
       0.515021,      -0.018377,       0.000226,        895324.
       0.525023,      -0.018405,      -0.000743,        923331.
       0.535024,      -0.016580,       0.000136,        951469.
       0.545022,      -0.015750,       0.000237,        975272.
       0.555020,      -0.016413,      -0.000901,       1006671.
       0.565026,      -0.015762,      -0.000408,       1033047.
       0.575023,      -0.015462,       0.001503,       1062855.
       0.585024,      -0.014733,      -0.000468,       1091343.
       0.595015,      -0.013676,       0.000629,       1120671.
       0.605020,      -0.013928,      -0.000700,       1147167.
       0.615020,      -0.012723,       0.001320,       1178603.
       0.625019,      -0.011377,      -0.000323,       1207379.
       0.635020,      -0.011080,       0.000432,       1239148.
       0.645020,      -0.009954,       0.000513,       1267969.
       0.655021,      -0.010437,      -0.000473,       1301075.
       0.665022,      -0.010412,      -0.000439,       1329325.
       0.675017,      -0.009850,      -0.000709,       1364106.
       0.685025,      -0.008476,      -0.000275,       1394584.
       0.695015,      -0.009060,       0.000401,       1426902.
       0.705016,      -0.007784,       0.000800,       1460201.
       0.715016,      -0.007461,       0.000055,       1493861.
       0.725019,      -0.006746,      -0.000672,       1525048.
       0.735017,      -0.007831,      -0.000534,       1562448.
       0.745018,      -0.005691,       0.001115,       1594950.
       0.755016,      -0.006414,       0.000464,       1630436.
       0.765015,      -0.006302,       0.000828,       1664721.
***************,      -0.006454,      -0.000028,       1699896.
       0.785016,      -0.005347,       0.000140,       1733300.
       0.795013,      -0.004908,       0.000513,       1771166.
       0.805019,      -0.004528,       0.000343,       1806281.
       0.815015,      -0.004154,       0.000066,       1842950.
       0.825019,      -0.003547,      -0.000508,       1880529.
       0.835017,      -0.003273,      -0.000463,       1918003.
       0.845019,      -0.003497,      -0.000165,       1954182.
       0.855018,      -0.003273,       0.000158,       1993928.
       0.865016,      -0.003272,      -0.000830,       2029071.
       0.875019,      -0.002003,      -0.000707,       2067474.
       0.885015,      -0.002364,       0.000137,       2105746.
            NaN,      -0.001114,      -0.000143,       2146984.
       0.905017,      -0.002245,      -0.000175,       2181798.
       0.915014,      -0.000391,      -0.000118,       2221479.
       0.925014,      -0.001746,      -0.000198,       2260108.
       0.935013,      -0.001234,       0.000900,       2300521.
       0.945014,      -0.000911,      -0.000375,       2342437.
       0.955016,      -0.000732,       0.000688,       2385708.
       0.965012,      -0.000623,       0.000324,       2424868.
       0.975013,      -0.000474,      -0.000832,       2466942.
       0.985017,       0.000710,       0.000472,       2508680.
       0.995015,       0.000437,       0.000698,       2549598.
