cos(i), q, u, number
       0.006673,      -0.106419,       0.010092,          3898.
       0.015575,      -0.088431,       0.002976,         11982.
       0.025355,      -0.089940,      -0.004252,         20120.
       0.035293,      -0.083197,       0.003724,         28926.
       0.045203,      -0.073087,      -0.005450,         38731.
       0.055193,      -0.078894,      -0.000812,         48736.
       0.065124,      -0.074735,      -0.002884,         58756.
       0.075101,      -0.069628,      -0.000164,         69797.
       0.085102,      -0.070022,       0.001460,         80396.
       0.095100,      -0.067577,       0.000699,         92332.
       0.105106,      -0.067366,       0.000088,        104395.
       0.115085,      -0.065605,      -0.003295,        116364.
       0.125080,      -0.056676,      -0.000486,        129058.
       0.135078,      -0.059700,      -0.000453,        142082.
       0.145057,      -0.053481,      -0.000673,        155347.
       0.155068,      -0.056662,       0.000524,        168500.
       0.165078,      -0.053923,      -0.000975,        182885.
       0.175063,      -0.053346,       0.000016,        198079.
       0.185061,      -0.049501,       0.001181,        212007.
       0.195048,      -0.050002,      -0.000426,        227433.
       0.205047,      -0.046325,       0.001577,        243258.
       0.215059,      -0.044445,      -0.001204,        258812.
       0.225053,      -0.043033,      -0.000317,        274213.
       0.235053,      -0.043949,      -0.000256,        291760.
       0.245051,      -0.043256,       0.000231,        307725.
       0.255048,      -0.040317,      -0.000723,        325347.
       0.265037,      -0.041389,       0.000087,        343118.
       0.275052,      -0.036077,       0.001461,        362442.
       0.285045,      -0.036337,      -0.000537,        378972.
       0.295037,      -0.037362,       0.000967,        398958.
       0.305037,      -0.035394,      -0.000015,        417634.
       0.315034,      -0.032699,       0.000438,        436786.
       0.325037,      -0.033210,       0.001370,        455837.
       0.335032,      -0.033144,      -0.001808,        476934.
       0.345034,      -0.031252,      -0.001311,        496347.
       0.355033,      -0.031653,       0.000750,        517912.
       0.365034,      -0.028227,       0.000526,        538635.
       0.375034,      -0.027855,       0.000740,        559793.
       0.385034,      -0.026976,      -0.000549,        582153.
       0.395028,      -0.027011,       0.000554,        604068.
       0.405026,      -0.027123,       0.000482,        627418.
       0.415037,      -0.024352,       0.000995,        650459.
       0.425026,      -0.025401,      -0.000733,        671664.
       0.435034,      -0.024494,       0.000448,        697381.
       0.445026,      -0.021294,       0.000782,        720223.
       0.455030,      -0.021877,       0.000005,        744747.
       0.465031,      -0.021058,      -0.000051,        768808.
       0.475026,      -0.021898,       0.000349,        793552.
       0.485028,      -0.019697,      -0.000453,        819167.
       0.495023,      -0.020521,      -0.000730,        844403.
       0.505022,      -0.019087,      -0.001419,        870959.
       0.515023,      -0.017834,       0.000042,        895400.
       0.525024,      -0.017560,      -0.000812,        923675.
       0.535022,      -0.017920,      -0.000159,        950325.
       0.545021,      -0.016656,       0.000846,        977361.
       0.555026,      -0.015769,       0.000735,       1004278.
       0.565030,      -0.015075,      -0.001923,       1033130.
       0.575016,      -0.015635,       0.000773,       1061540.
       0.585027,      -0.014490,       0.000231,       1089856.
       0.595024,      -0.013445,       0.000235,       1119257.
       0.605018,      -0.012947,       0.000358,       1148110.
       0.615020,      -0.013256,       0.000810,       1176919.
       0.625019,      -0.012375,       0.000284,       1207717.
       0.635024,      -0.011820,      -0.000125,       1238906.
       0.645019,      -0.011606,      -0.000413,       1270048.
       0.655022,      -0.011386,       0.000894,       1300878.
       0.665018,      -0.009207,      -0.000107,       1330635.
       0.675015,      -0.009824,      -0.000736,       1365616.
       0.685021,      -0.009069,      -0.000747,       1395010.
       0.695018,      -0.009048,       0.000458,       1427302.
       0.705016,      -0.008273,       0.000750,       1460636.
       0.715017,      -0.008218,      -0.001222,       1494558.
       0.725018,      -0.006867,      -0.000005,       1524587.
       0.735019,      -0.007483,       0.000964,       1559145.
       0.745017,      -0.007696,      -0.000156,       1594356.
       0.755020,      -0.007313,      -0.000958,       1630230.
***************,      -0.005595,      -0.000124,       1662595.
       0.775015,      -0.005977,      -0.000821,       1698875.
       0.785016,      -0.005898,      -0.000138,       1733163.
       0.795015,      -0.005170,       0.000812,       1771002.
       0.805015,      -0.005451,       0.000380,       1804462.
       0.815016,      -0.004115,      -0.000565,       1842784.
       0.825018,      -0.004210,       0.000240,       1880579.
       0.835014,      -0.003517,       0.000268,       1917026.
       0.845016,      -0.003529,      -0.000546,       1952180.
       0.855017,      -0.003406,      -0.000040,       1989485.
       0.865017,      -0.002254,       0.000258,       2030503.
       0.875016,      -0.003527,      -0.000108,       2067412.
            NaN,      -0.003171,       0.000008,       2108437.
       0.895020,      -0.001217,       0.000477,       2145270.
       0.905014,      -0.001768,       0.000238,       2183094.
       0.915016,      -0.001544,       0.000934,       2222102.
       0.925015,      -0.001607,      -0.000736,       2263057.
       0.935015,      -0.001003,       0.000218,       2302866.
       0.945012,      -0.000306,       0.000265,       2343971.
       0.955014,      -0.000980,       0.000322,       2383994.
       0.965013,      -0.001189,       0.000137,       2424843.
       0.975014,      -0.000871,       0.000188,       2466491.
       0.985013,       0.000100,       0.000212,       2505537.
       0.995012,      -0.000689,      -0.000242,       2551488.
