cos(i), q, u, number
       0.006712,      -0.102414,       0.004664,          3744.
       0.015594,      -0.093140,      -0.004773,         11754.
       0.025331,      -0.088513,       0.003271,         20040.
       0.035243,      -0.079393,      -0.000946,         29343.
       0.045226,      -0.078578,       0.007215,         39010.
       0.055201,      -0.083549,      -0.003192,         48863.
       0.065150,      -0.074737,       0.000013,         58581.
       0.075156,      -0.068376,      -0.004341,         69511.
       0.085101,      -0.073675,       0.000154,         80223.
       0.095097,      -0.067057,       0.001375,         92190.
       0.105087,      -0.064143,       0.002113,        103878.
       0.115103,      -0.061745,       0.000805,        116415.
       0.125077,      -0.063819,       0.000266,        128938.
       0.135074,      -0.056681,      -0.002305,        142096.
       0.145082,      -0.058568,      -0.001418,        154917.
       0.155062,      -0.055327,       0.000681,        169182.
       0.165049,      -0.054726,       0.000440,        184061.
       0.175071,      -0.051967,      -0.004466,        197656.
       0.185065,      -0.049099,      -0.001190,        212113.
       0.195064,      -0.048840,      -0.000205,        227770.
       0.205057,      -0.049121,      -0.000463,        242673.
       0.215050,      -0.045364,      -0.000411,        258374.
       0.225061,      -0.044421,      -0.000592,        273589.
       0.235043,      -0.043630,       0.001470,        291934.
       0.245048,      -0.042765,      -0.000130,        308103.
       0.255045,      -0.042128,      -0.000823,        325454.
       0.265055,      -0.039105,       0.001147,        341970.
       0.275038,      -0.039873,       0.000184,        360416.
       0.285050,      -0.037152,       0.002703,        379390.
       0.295034,      -0.036702,       0.000799,        398567.
       0.305035,      -0.037392,      -0.001754,        418826.
       0.315045,      -0.031857,       0.000909,        437818.
       0.325038,      -0.032885,       0.000700,        456229.
       0.335040,      -0.033329,       0.000481,        476892.
       0.345036,      -0.030875,      -0.001416,        495629.
       0.355039,      -0.028632,      -0.000498,        516583.
       0.365030,      -0.029049,       0.002006,        538098.
       0.375025,      -0.028947,      -0.000202,        561120.
       0.385034,      -0.026323,       0.002046,        582784.
       0.395035,      -0.026981,       0.000007,        603326.
       0.405029,      -0.026343,      -0.000604,        626801.
       0.415023,      -0.025165,       0.000214,        649781.
       0.425034,      -0.023827,       0.000108,        672536.
       0.435024,      -0.022271,      -0.000359,        696380.
       0.445030,      -0.023032,       0.000414,        719716.
       0.455028,      -0.021926,       0.000626,        742624.
       0.465032,      -0.020802,       0.000468,        769090.
       0.475022,      -0.021597,      -0.001212,        792582.
       0.485026,      -0.019259,       0.000512,        817980.
       0.495023,      -0.019236,       0.000559,        844440.
       0.505026,      -0.017837,      -0.000784,        869106.
       0.515025,      -0.016712,      -0.001492,        896592.
       0.525028,      -0.017679,      -0.001016,        923229.
       0.535024,      -0.017172,       0.000752,        950601.
       0.545020,      -0.016281,       0.000071,        976973.
       0.555021,      -0.016002,       0.000881,       1004270.
       0.565023,      -0.014603,       0.000552,       1033439.
       0.575025,      -0.014437,      -0.000535,       1061551.
       0.585023,      -0.014530,      -0.000387,       1091208.
       0.595021,      -0.013726,       0.001009,       1119978.
       0.605022,      -0.013186,      -0.000677,       1149953.
       0.615021,      -0.012370,       0.000048,       1179511.
       0.625021,      -0.012682,      -0.001005,       1206956.
       0.635021,      -0.011317,      -0.000053,       1238722.
       0.645017,      -0.011430,       0.000042,       1269982.
       0.655023,      -0.009230,      -0.000603,       1300501.
       0.665021,      -0.009421,       0.000953,       1331372.
       0.675017,      -0.008597,       0.001711,       1364320.
       0.685019,      -0.009950,       0.000049,       1393172.
       0.695022,      -0.008375,       0.000618,       1429748.
       0.705024,      -0.008944,      -0.000829,       1458231.
       0.715017,      -0.008704,       0.000214,       1493274.
       0.725019,      -0.007808,       0.000526,       1525767.
       0.735016,      -0.007691,      -0.000155,       1561567.
       0.745021,      -0.007453,      -0.000134,       1593962.
       0.755014,      -0.006132,      -0.000829,       1630370.
***************,      -0.006363,       0.000196,       1663449.
       0.775015,      -0.005262,       0.000525,       1700187.
       0.785018,      -0.005032,       0.000038,       1734107.
       0.795017,      -0.004575,      -0.000051,       1770999.
       0.805015,      -0.005029,       0.000393,       1808276.
       0.815018,      -0.004667,       0.000411,       1844704.
       0.825018,      -0.004256,      -0.000526,       1880798.
       0.835014,      -0.003712,      -0.000085,       1915916.
       0.845017,      -0.003085,      -0.000344,       1953117.
       0.855016,      -0.003431,      -0.000124,       1991661.
       0.865017,      -0.002668,       0.000085,       2029203.
       0.875016,      -0.003047,       0.000529,       2066618.
            NaN,      -0.002346,      -0.000237,       2104973.
       0.895016,      -0.002668,      -0.000293,       2144784.
       0.905016,      -0.001694,      -0.000171,       2182777.
       0.915014,      -0.002239,       0.000156,       2223300.
       0.925015,      -0.002377,       0.000064,       2261622.
       0.935015,      -0.001505,      -0.000558,       2303510.
       0.945015,      -0.001937,      -0.000887,       2341322.
       0.955014,      -0.000947,      -0.000002,       2386618.
       0.965014,      -0.001422,       0.000521,       2424048.
       0.975014,      -0.000542,       0.000435,       2468734.
       0.985013,      -0.000590,       0.000334,       2507883.
       0.995014,       0.000221,      -0.000616,       2547049.
