cos(i), q, u, number
       0.006745,      -0.088475,       0.007975,          3751.
       0.015601,      -0.093889,      -0.002264,         11727.
       0.025336,      -0.092633,       0.001472,         20099.
       0.035252,      -0.086777,      -0.003176,         28832.
       0.045209,      -0.088837,       0.003305,         38747.
       0.055161,      -0.084500,       0.004406,         48671.
       0.065159,      -0.081482,       0.002440,         58702.
       0.075120,      -0.079863,      -0.001979,         69405.
       0.085126,      -0.073992,      -0.002543,         80093.
       0.095098,      -0.073026,       0.002125,         92177.
       0.105083,      -0.070310,      -0.000393,        103786.
       0.115085,      -0.071543,      -0.000061,        115402.
       0.125080,      -0.070104,      -0.000824,        128191.
       0.135070,      -0.064252,      -0.001585,        140638.
       0.145065,      -0.060060,      -0.002182,        154383.
       0.155059,      -0.061866,       0.002993,        168280.
       0.165058,      -0.058440,      -0.001146,        182339.
       0.175066,      -0.057142,       0.000434,        196582.
       0.185068,      -0.058150,      -0.001397,        211446.
       0.195055,      -0.053879,      -0.000711,        226012.
       0.205047,      -0.052102,      -0.000146,        241276.
       0.215051,      -0.056241,      -0.002180,        258269.
       0.225063,      -0.047689,      -0.001601,        274753.
       0.235049,      -0.047493,       0.001509,        290045.
       0.245041,      -0.046700,       0.000891,        307307.
       0.255037,      -0.046066,       0.003496,        324689.
       0.265044,      -0.044990,       0.001370,        341176.
       0.275034,      -0.043362,       0.000025,        359752.
       0.285041,      -0.043989,      -0.000399,        377224.
       0.295045,      -0.042311,       0.000015,        396203.
       0.305034,      -0.041540,       0.002592,        415031.
       0.315043,      -0.039805,       0.001024,        434615.
       0.325029,      -0.037081,       0.001943,        454591.
       0.335034,      -0.038882,       0.001345,        473968.
       0.345043,      -0.038830,       0.000204,        493743.
       0.355036,      -0.037031,       0.000603,        514952.
       0.365042,      -0.035889,       0.001601,        536382.
       0.375029,      -0.033366,       0.001627,        557206.
       0.385029,      -0.033333,      -0.000711,        578883.
       0.395030,      -0.031856,      -0.002500,        600498.
       0.405029,      -0.032776,       0.000389,        624134.
       0.415019,      -0.032446,       0.000050,        645848.
       0.425030,      -0.028626,       0.001467,        670177.
       0.435029,      -0.029978,       0.000219,        691535.
       0.445023,      -0.028120,      -0.000370,        715975.
       0.455032,      -0.026690,      -0.000964,        741056.
       0.465025,      -0.027474,      -0.000435,        764681.
       0.475024,      -0.025753,       0.000700,        788922.
       0.485028,      -0.026455,      -0.000004,        813035.
       0.495029,      -0.025264,      -0.001228,        838259.
       0.505023,      -0.023988,       0.000032,        865060.
       0.515026,      -0.021733,       0.000968,        892481.
       0.525029,      -0.023503,      -0.000392,        918832.
       0.535031,      -0.023108,      -0.000790,        944794.
       0.545023,      -0.022467,       0.000033,        971059.
       0.555023,      -0.022677,      -0.000466,       1000858.
       0.565020,      -0.023090,      -0.000290,       1025939.
       0.575023,      -0.021259,       0.000800,       1053181.
       0.585019,      -0.020138,       0.000333,       1083088.
       0.595019,      -0.018928,       0.001474,       1112549.
       0.605024,      -0.019560,      -0.000444,       1142309.
       0.615021,      -0.017425,      -0.000253,       1171549.
       0.625021,      -0.017481,      -0.000171,       1201574.
       0.635019,      -0.017886,       0.001295,       1230463.
       0.645019,      -0.017102,      -0.000041,       1260033.
       0.655017,      -0.017260,       0.000274,       1292401.
       0.665019,      -0.016030,       0.001284,       1324295.
       0.675019,      -0.015254,      -0.000304,       1355379.
       0.685019,      -0.014467,      -0.000267,       1387197.
       0.695022,      -0.014439,       0.000529,       1418659.
       0.705018,      -0.013946,      -0.000436,       1452944.
       0.715017,      -0.013258,       0.000596,       1484046.
       0.725018,      -0.012548,       0.000367,       1516721.
       0.735017,      -0.011586,      -0.000449,       1551299.
       0.745016,      -0.012441,       0.000796,       1585913.
       0.755017,      -0.012356,      -0.001078,       1618888.
***************,      -0.011144,       0.000720,       1654104.
       0.775016,      -0.010306,      -0.000180,       1685579.
       0.785019,      -0.010750,      -0.000522,       1724985.
       0.795018,      -0.010608,      -0.000717,       1761111.
       0.805015,      -0.009217,      -0.000453,       1794505.
       0.815015,      -0.008707,      -0.000574,       1830976.
       0.825016,      -0.008779,       0.000309,       1869668.
       0.835014,      -0.007755,       0.000001,       1908220.
       0.845016,      -0.007819,       0.000399,       1945258.
       0.855012,      -0.007692,       0.000037,       1984713.
       0.865011,      -0.006967,       0.000242,       2019554.
       0.875016,      -0.005877,      -0.000463,       2061674.
            NaN,      -0.006571,      -0.000102,       2096052.
       0.895014,      -0.005142,      -0.000542,       2138610.
       0.905016,      -0.005137,       0.000058,       2179559.
       0.915015,      -0.004803,       0.000217,       2218124.
       0.925014,      -0.003854,       0.000502,       2260976.
       0.935012,      -0.003346,       0.000263,       2303949.
       0.945014,      -0.002824,      -0.000005,       2346630.
       0.955016,      -0.003107,      -0.000074,       2390423.
       0.965013,      -0.002355,      -0.000643,       2439876.
       0.975015,      -0.001883,      -0.000083,       2484043.
       0.985019,      -0.001321,      -0.000261,       2542179.
       0.995497,       0.000654,       0.000216,       2894273.
