cos(i), q, u, number
       0.006702,      -0.094841,       0.004638,          3871.
       0.015589,      -0.095403,      -0.013785,         11737.
       0.025354,      -0.086518,      -0.006720,         20091.
       0.035229,      -0.081503,       0.006506,         29242.
       0.045227,      -0.077114,       0.007258,         38867.
       0.055187,      -0.079131,      -0.001097,         48543.
       0.065132,      -0.076761,       0.003754,         58598.
       0.075130,      -0.072689,       0.001724,         69510.
       0.085129,      -0.070335,       0.003591,         80338.
       0.095109,      -0.070114,      -0.003513,         92250.
       0.105097,      -0.065433,       0.003336,        103505.
       0.115095,      -0.062346,       0.001002,        116218.
       0.125071,      -0.061585,      -0.000434,        128211.
       0.135085,      -0.060023,      -0.003850,        141255.
       0.145073,      -0.055999,      -0.002908,        155452.
       0.155075,      -0.055748,      -0.000232,        168891.
       0.165061,      -0.054945,      -0.000838,        181872.
       0.175057,      -0.051625,       0.002102,        197704.
       0.185051,      -0.050915,      -0.000414,        213181.
       0.195058,      -0.049286,       0.002531,        227159.
       0.205055,      -0.048526,       0.001154,        243520.
       0.215051,      -0.045565,       0.002132,        258310.
       0.225056,      -0.045529,      -0.001206,        275701.
       0.235054,      -0.042195,       0.000357,        291323.
       0.245051,      -0.040922,      -0.000979,        308990.
       0.255041,      -0.040559,       0.000816,        325142.
       0.265048,      -0.039406,       0.000808,        343294.
       0.275040,      -0.039547,      -0.001785,        361547.
       0.285039,      -0.035863,      -0.001008,        379328.
       0.295038,      -0.035419,       0.000227,        398354.
       0.305037,      -0.034756,       0.000052,        417990.
       0.315041,      -0.032834,      -0.000027,        436814.
       0.325040,      -0.032159,      -0.000477,        455720.
       0.335041,      -0.030370,       0.000396,        476299.
       0.345041,      -0.031389,       0.001015,        496304.
       0.355029,      -0.031234,       0.000680,        519084.
       0.365029,      -0.030346,       0.000038,        537771.
       0.375032,      -0.028055,       0.001547,        560829.
       0.385031,      -0.026310,       0.001806,        582842.
       0.395028,      -0.026712,      -0.000637,        604318.
       0.405027,      -0.026281,       0.000763,        626935.
       0.415029,      -0.025665,      -0.000862,        649579.
       0.425034,      -0.024709,       0.000559,        672150.
       0.435032,      -0.023232,      -0.000648,        696453.
       0.445031,      -0.023446,       0.000063,        718190.
       0.455028,      -0.022770,       0.000867,        745317.
       0.465029,      -0.022456,      -0.000079,        769626.
       0.475029,      -0.020421,       0.000338,        792490.
       0.485024,      -0.020275,       0.000104,        819632.
       0.495024,      -0.018243,       0.002586,        843644.
       0.505030,      -0.017866,       0.000671,        872072.
       0.515025,      -0.017156,      -0.001107,        896640.
       0.525022,      -0.017355,      -0.000699,        921024.
       0.535019,      -0.016345,      -0.000612,        950435.
       0.545023,      -0.017522,      -0.000533,        977129.
       0.555017,      -0.016258,      -0.000355,       1005722.
       0.565027,      -0.013539,      -0.000034,       1033009.
       0.575022,      -0.015411,       0.000332,       1062447.
       0.585023,      -0.013707,      -0.000695,       1089837.
       0.595020,      -0.014582,      -0.000339,       1118973.
       0.605021,      -0.013203,       0.000364,       1147949.
       0.615024,      -0.012198,       0.001080,       1178124.
       0.625018,      -0.013432,      -0.000032,       1206766.
       0.635024,      -0.011781,       0.000423,       1239548.
       0.645023,      -0.010752,      -0.000536,       1267701.
       0.655017,      -0.011889,      -0.001477,       1300145.
       0.665020,      -0.010087,       0.000403,       1332000.
       0.675020,      -0.008576,       0.000144,       1365281.
       0.685017,      -0.008994,      -0.001069,       1395838.
       0.695017,      -0.009912,       0.000099,       1426053.
       0.705021,      -0.009570,       0.000146,       1461062.
       0.715017,      -0.007469,       0.000456,       1495008.
       0.725015,      -0.008968,      -0.000133,       1526163.
       0.735020,      -0.006932,       0.001053,       1561123.
       0.745018,      -0.006684,      -0.000287,       1594907.
       0.755014,      -0.006005,       0.000115,       1628695.
       0.765018,      -0.005455,       0.000870,       1665850.
       0.775016,      -0.005814,       0.000073,       1701651.
       0.785015,      -0.006220,       0.000433,       1736545.
       0.795016,      -0.005225,       0.000885,       1770049.
       0.805016,      -0.005140,       0.000130,       1804801.
       0.815013,      -0.004124,      -0.000583,       1842247.
       0.825017,      -0.003566,      -0.000483,       1878524.
       0.835015,      -0.003867,       0.000131,       1916121.
       0.845015,      -0.003396,      -0.000149,       1954541.
       0.855014,      -0.002493,       0.000884,       1993099.
       0.865017,      -0.003279,      -0.000577,       2029254.
       0.875014,      -0.003309,      -0.000497,       2066104.
       0.885016,      -0.002082,      -0.000365,       2104649.
       0.895016,      -0.002403,       0.000553,       2144326.
       0.905016,      -0.002682,      -0.000054,       2184149.
       0.915014,      -0.001782,       0.000554,       2220639.
       0.925014,      -0.002112,       0.000423,       2261374.
       0.935016,      -0.001939,       0.000895,       2302932.
       0.945012,      -0.000678,       0.000796,       2343779.
       0.955015,      -0.000641,       0.000102,       2384858.
       0.965017,      -0.000524,       0.000042,       2425194.
       0.975017,      -0.000727,      -0.000210,       2466797.
       0.985016,      -0.000499,      -0.000198,       2506426.
       0.995016,      -0.000133,       0.000242,       2548449.
