cos(i), q, u, number
       0.006679,      -0.080689,       0.000960,          3824.
       0.015566,      -0.073711,       0.002765,         12029.
       0.025337,      -0.068365,       0.001451,         20830.
       0.035261,      -0.058291,       0.002812,         29988.
       0.045190,      -0.060516,       0.001578,         40015.
       0.055180,      -0.054561,      -0.002246,         49645.
       0.065165,      -0.054750,      -0.002629,         60628.
       0.075118,      -0.042992,       0.001085,         72363.
       0.085119,      -0.043206,      -0.002736,         83960.
       0.095096,      -0.048758,       0.000906,         95521.
       0.105103,      -0.046944,       0.002119,        107655.
       0.115091,      -0.041556,      -0.001940,        120645.
       0.125086,      -0.040327,      -0.000348,        133526.
       0.135081,      -0.036086,       0.002768,        146738.
       0.145075,      -0.034229,       0.002184,        160919.
       0.155065,      -0.034964,       0.000602,        175412.
       0.165065,      -0.031913,       0.000695,        190468.
       0.175063,      -0.028330,      -0.000877,        205598.
       0.185058,      -0.029560,      -0.000349,        220841.
       0.195046,      -0.025398,       0.001024,        236733.
       0.205058,      -0.023560,       0.001663,        252849.
       0.215047,      -0.022226,       0.000422,        269538.
       0.225049,      -0.021502,       0.000247,        286084.
       0.235045,      -0.018438,       0.001231,        302765.
       0.245041,      -0.020981,       0.000248,        321611.
       0.255037,      -0.016668,      -0.000318,        340207.
       0.265042,      -0.016210,      -0.001290,        357029.
       0.275046,      -0.015311,       0.000582,        377339.
       0.285042,      -0.015115,       0.001150,        396405.
       0.295042,      -0.012616,      -0.000894,        415520.
       0.305038,      -0.011969,      -0.000669,        434065.
       0.315042,      -0.010835,      -0.000459,        454409.
       0.325032,      -0.012017,       0.001420,        476386.
       0.335028,      -0.008677,      -0.000314,        495767.
       0.345035,      -0.008641,      -0.000342,        516781.
       0.355033,      -0.007657,       0.000168,        537973.
       0.365041,      -0.006259,      -0.000204,        559551.
       0.375030,      -0.007858,       0.000238,        583045.
       0.385028,      -0.007626,      -0.001975,        604931.
       0.395033,      -0.005662,      -0.000908,        628179.
       0.405031,      -0.006050,       0.000890,        650288.
       0.415028,      -0.005125,       0.000169,        674723.
       0.425027,      -0.002964,      -0.000470,        697315.
       0.435021,      -0.003188,      -0.000120,        721970.
       0.445032,      -0.003738,       0.001054,        746925.
       0.455026,      -0.002810,      -0.001595,        771734.
       0.465023,      -0.001690,      -0.000880,        794616.
       0.475024,      -0.001975,       0.000112,        819876.
       0.485025,      -0.000558,      -0.001027,        845429.
       0.495024,      -0.001293,       0.000828,        872142.
       0.505025,      -0.000784,      -0.000468,        897992.
       0.515030,      -0.000747,      -0.000267,        924606.
       0.525024,      -0.001621,       0.000032,        950375.
       0.535020,       0.001104,       0.000240,        976510.
       0.545025,       0.001667,      -0.000049,       1002884.
       0.555020,       0.000494,       0.000655,       1031067.
       0.565023,       0.001926,       0.000412,       1060021.
       0.575025,       0.001196,      -0.000474,       1085283.
       0.585024,       0.002727,      -0.000188,       1115022.
       0.595020,       0.002682,       0.000345,       1142206.
       0.605025,       0.002042,      -0.000980,       1171579.
       0.615020,       0.003236,       0.000121,       1201115.
       0.625019,       0.002778,       0.000688,       1229902.
       0.635021,       0.002632,       0.000108,       1257730.
       0.645020,       0.002971,       0.000337,       1289607.
       0.655025,       0.003488,       0.000333,       1318528.
       0.665021,       0.004171,      -0.000390,       1349800.
       0.675019,       0.004118,      -0.000177,       1377788.
       0.685020,       0.003248,      -0.000155,       1407530.
       0.695016,       0.002761,       0.001241,       1440181.
       0.705020,       0.003282,       0.000068,       1468252.
       0.715018,       0.003126,      -0.000118,       1501806.
       0.725019,       0.004278,      -0.000174,       1531467.
       0.735017,       0.003025,      -0.000244,       1561172.
       0.745018,       0.002838,      -0.000251,       1595316.
       0.755014,       0.002583,      -0.000210,       1631223.
       0.765018,       0.003151,      -0.000809,       1659329.
       0.775014,       0.003344,       0.000227,       1690992.
       0.785018,       0.003380,       0.000433,       1724575.
       0.795012,       0.004274,      -0.000398,       1756119.
       0.805013,       0.003258,      -0.000521,       1790100.
       0.815013,       0.003490,       0.000673,       1823212.
       0.825016,       0.003152,       0.000201,       1855751.
       0.835017,       0.002642,      -0.000165,       1886515.
       0.845018,       0.001349,       0.000247,       1920333.
       0.855016,       0.002394,       0.001249,       1957476.
       0.865014,       0.003582,       0.000060,       1989231.
       0.875013,       0.003188,      -0.000844,       2024699.
       0.885018,       0.002752,      -0.000178,       2059661.
       0.895014,       0.002812,      -0.000778,       2090677.
       0.905014,       0.003378,      -0.001332,       2127221.
       0.915012,       0.001741,       0.000176,       2163842.
       0.925013,       0.002022,       0.000122,       2197296.
       0.935015,       0.001742,      -0.000448,       2233216.
       0.945015,       0.002197,       0.000245,       2269191.
       0.955014,       0.001218,      -0.000291,       2303621.
       0.965015,       0.001557,       0.000681,       2338836.
       0.975012,       0.001159,       0.000054,       2378618.
       0.985011,       0.000036,       0.000066,       2414188.
       0.995016,       0.001152,      -0.000105,       2453549.
