cos(i), q, u, number
       0.005008,      -0.012828,      -0.000236,        155470.
       0.014998,      -0.015382,       0.002415,        156495.
       0.025017,      -0.015707,       0.000008,        158105.
       0.035014,      -0.016852,       0.001006,        160803.
       0.045028,      -0.012727,      -0.003147,        164886.
       0.055022,      -0.013633,       0.002292,        169129.
       0.065014,      -0.017185,       0.000462,        175173.
       0.075034,      -0.017760,       0.001146,        181401.
       0.085037,      -0.018507,      -0.001340,        188710.
       0.095033,      -0.014433,      -0.003581,        196601.
       0.105028,      -0.018839,      -0.001603,        204692.
       0.115038,      -0.017555,       0.001131,        214010.
       0.125042,      -0.017518,       0.000240,        224575.
       0.135035,      -0.016748,       0.000614,        234437.
       0.145029,      -0.018780,       0.002561,        245134.
       0.155033,      -0.017926,       0.000691,        256478.
       0.165042,      -0.016916,      -0.000527,        268777.
       0.175037,      -0.017323,       0.001241,        281096.
       0.185030,      -0.019571,       0.000942,        293902.
       0.195031,      -0.017873,       0.001403,        307809.
       0.205028,      -0.018672,       0.000941,        321323.
       0.215034,      -0.014909,      -0.000501,        334964.
       0.225045,      -0.018435,      -0.000196,        350819.
       0.235028,      -0.019831,       0.000328,        364454.
       0.245041,      -0.015690,       0.001931,        379027.
       0.255037,      -0.016498,       0.000503,        395119.
       0.265035,      -0.014752,      -0.001027,        411387.
       0.275034,      -0.012776,       0.000565,        426287.
       0.285032,      -0.018682,       0.000439,        444420.
       0.295024,      -0.015595,       0.000424,        460311.
       0.305029,      -0.014465,      -0.000189,        478101.
       0.315028,      -0.015394,      -0.001625,        494462.
       0.325023,      -0.013866,      -0.000447,        513570.
       0.335029,      -0.013238,       0.000519,        531868.
       0.345021,      -0.014486,      -0.000093,        551788.
       0.355023,      -0.013342,       0.000367,        569434.
       0.365021,      -0.015474,       0.001809,        589707.
       0.375029,      -0.011767,      -0.000123,        608967.
       0.385025,      -0.012898,      -0.000765,        629104.
       0.395026,      -0.012005,       0.000222,        650187.
       0.405028,      -0.011085,       0.000178,        669843.
       0.415025,      -0.011140,      -0.001149,        692006.
       0.425025,      -0.010552,       0.001228,        710158.
       0.435019,      -0.012984,      -0.000316,        732110.
       0.445023,      -0.011317,      -0.000555,        752875.
       0.455017,      -0.011470,       0.000408,        775951.
       0.465019,      -0.009820,       0.000330,        798903.
       0.475020,      -0.009570,       0.000156,        820759.
       0.485027,      -0.009320,      -0.000411,        843153.
       0.495023,      -0.008544,      -0.000303,        866577.
       0.505023,      -0.008419,       0.000158,        888329.
       0.515020,      -0.007793,       0.000368,        911375.
       0.525025,      -0.009237,      -0.000331,        936837.
       0.535021,      -0.007381,      -0.000720,        962272.
       0.545019,      -0.007389,      -0.000479,        983949.
       0.555017,      -0.006689,       0.000111,       1011338.
       0.565020,      -0.008618,      -0.000409,       1035771.
       0.575020,      -0.007866,      -0.000001,       1060074.
       0.585016,      -0.006311,       0.000128,       1087120.
       0.595016,      -0.005166,       0.000464,       1113430.
       0.605022,      -0.005752,      -0.000033,       1137979.
       0.615022,      -0.005701,       0.001003,       1162954.
       0.625019,      -0.004607,       0.000491,       1191773.
       0.635014,      -0.005531,      -0.000594,       1215408.
       0.645017,      -0.003706,      -0.000320,       1245548.
       0.655022,      -0.006213,       0.001071,       1273275.
       0.665022,      -0.004754,       0.000457,       1297305.
       0.675018,      -0.004078,       0.000044,       1328294.
       0.685019,      -0.003532,       0.000078,       1354989.
       0.695020,      -0.003668,      -0.000297,       1384795.
       0.705017,      -0.003115,      -0.000004,       1409929.
       0.715015,      -0.003675,      -0.000509,       1441926.
       0.725020,      -0.003152,       0.000292,       1472005.
       0.735019,      -0.002647,      -0.001119,       1500107.
       0.745017,      -0.002657,      -0.000152,       1530794.
       0.755015,      -0.002446,      -0.000007,       1560404.
       0.765012,      -0.001716,      -0.001428,       1590945.
       0.775015,      -0.002531,       0.000370,       1619858.
       0.785018,      -0.002088,      -0.000639,       1651404.
       0.795012,      -0.002253,      -0.000403,       1682977.
       0.805014,      -0.003070,      -0.000025,       1713228.
       0.815015,      -0.003155,      -0.000176,       1747409.
       0.825016,      -0.002204,      -0.000531,       1775677.
       0.835017,      -0.001023,       0.000490,       1807689.
       0.845014,      -0.000885,      -0.000151,       1842034.
       0.855020,      -0.000615,       0.000593,       1871933.
       0.865018,      -0.000023,       0.000269,       1905863.
       0.875013,      -0.000620,       0.000820,       1939112.
       0.885010,      -0.001243,      -0.000168,       1971995.
       0.895010,      -0.000474,       0.000902,       2006582.
       0.905015,      -0.000747,       0.000986,       2043992.
       0.915013,      -0.001072,      -0.000333,       2073465.
       0.925015,      -0.000377,       0.000110,       2110628.
       0.935017,       0.000428,       0.000215,       2143279.
       0.945014,       0.000015,       0.000267,       2179638.
       0.955015,       0.000247,      -0.000089,       2212425.
       0.965012,      -0.000381,       0.001209,       2249322.
       0.975013,      -0.000281,      -0.000316,       2283981.
       0.985010,       0.000130,      -0.000016,       2320071.
       0.995013,       0.000064,       0.000284,       2353196.
