cos(i), q, u, number
       0.005005,       0.053425,       0.000130,        663106.
       0.014999,       0.054114,       0.000541,        663077.
       0.025003,       0.055342,       0.000054,        664115.
       0.034996,       0.053836,       0.000444,        664571.
       0.045004,       0.054461,      -0.001037,        667182.
       0.055010,       0.053581,       0.000627,        671212.
       0.065003,       0.054379,      -0.000638,        673013.
       0.074998,       0.053492,       0.000341,        676921.
       0.084996,       0.054344,       0.000213,        682051.
       0.095007,       0.053384,       0.000665,        685348.
       0.105005,       0.053854,       0.000400,        690493.
       0.115015,       0.053392,      -0.000069,        696230.
       0.125007,       0.052687,       0.001132,        704055.
       0.135005,       0.051461,       0.000714,        708015.
       0.145007,       0.053732,       0.000316,        715642.
       0.155008,       0.053895,      -0.000632,        722733.
       0.165005,       0.052098,      -0.001129,        729767.
       0.175004,       0.051941,       0.000653,        736564.
       0.185009,       0.051258,       0.000695,        745700.
       0.195011,       0.051917,      -0.001018,        753721.
       0.205004,       0.050570,      -0.000492,        763397.
       0.215013,       0.051392,       0.001502,        771368.
       0.225010,       0.052145,       0.000779,        779906.
       0.235006,       0.050928,      -0.000316,        790105.
       0.245004,       0.050318,       0.000981,        798457.
       0.255016,       0.050900,       0.000137,        806492.
       0.265016,       0.049444,      -0.000679,        815645.
       0.275015,       0.049359,       0.000388,        825808.
       0.285014,       0.049357,      -0.000290,        834923.
       0.295010,       0.049101,      -0.002136,        843374.
       0.305008,       0.047450,       0.000262,        854400.
       0.315015,       0.050464,      -0.000375,        862737.
       0.325009,       0.047811,       0.000545,        872095.
       0.335009,       0.047603,      -0.000666,        884287.
       0.345008,       0.046809,      -0.000229,        893372.
       0.355008,       0.045849,       0.000272,        899526.
       0.365010,       0.045621,      -0.000424,        910538.
       0.375009,       0.045051,       0.000599,        920946.
       0.385008,       0.046099,      -0.000677,        929818.
       0.395009,       0.046320,      -0.000028,        940155.
       0.405010,       0.042668,      -0.000981,        949886.
       0.415007,       0.043957,       0.000298,        959514.
       0.425006,       0.044516,      -0.000088,        967171.
       0.435011,       0.043297,       0.000476,        976661.
       0.445009,       0.043071,      -0.000061,        985988.
       0.455007,       0.042522,       0.001006,        993955.
       0.465003,       0.042202,       0.000559,       1001273.
       0.475006,       0.039789,       0.000416,       1008880.
       0.485008,       0.039646,      -0.000547,       1020471.
       0.495011,       0.040052,      -0.001514,       1025215.
       0.505008,       0.038768,       0.000742,       1036143.
       0.515007,       0.038464,      -0.000260,       1043338.
       0.525010,       0.037524,       0.000315,       1051112.
       0.535003,       0.037256,       0.001252,       1057698.
       0.545005,       0.036448,      -0.001315,       1066042.
       0.555004,       0.036061,      -0.000349,       1076029.
       0.565003,       0.035905,      -0.000218,       1083061.
       0.575005,       0.034600,      -0.000195,       1087128.
       0.585004,       0.034365,       0.000153,       1096379.
       0.595003,       0.033823,       0.000499,       1104259.
       0.605003,       0.033656,       0.000816,       1108167.
       0.615006,       0.032427,      -0.000256,       1118968.
       0.625006,       0.032052,      -0.000624,       1123754.
       0.635005,       0.030930,       0.000616,       1131891.
       0.645004,       0.030867,      -0.000718,       1138048.
       0.655007,       0.030255,      -0.000318,       1141440.
       0.665002,       0.029393,      -0.000058,       1147788.
       0.675008,       0.028822,      -0.000055,       1154603.
       0.685001,       0.027799,      -0.000692,       1161575.
       0.695011,       0.026341,       0.000267,       1167777.
       0.705005,       0.026239,       0.001443,       1173488.
       0.715003,       0.026476,      -0.000000,       1178308.
       0.725001,       0.022999,      -0.000367,       1182790.
       0.735008,       0.023322,       0.000217,       1189950.
       0.745001,       0.023167,      -0.000130,       1195613.
       0.755000,       0.022365,      -0.000159,       1198506.
       0.764999,       0.021011,      -0.000756,       1205471.
       0.775005,       0.020536,      -0.000583,       1207271.
       0.785001,       0.019230,      -0.000326,       1213859.
       0.795000,       0.018898,      -0.000154,       1217866.
       0.804996,       0.017982,      -0.001413,       1223749.
       0.815003,       0.018544,       0.000927,       1227461.
       0.825005,       0.017179,       0.001310,       1229888.
       0.835001,       0.015002,       0.000879,       1234422.
       0.845000,       0.015258,       0.000085,       1238907.
       0.855001,       0.014607,       0.000747,       1240418.
       0.865003,       0.013178,       0.000107,       1247281.
       0.875004,       0.012644,      -0.001239,       1251773.
       0.885002,       0.011991,      -0.000190,       1254414.
       0.895003,       0.010796,      -0.000153,       1257853.
       0.905000,       0.010089,       0.000024,       1260045.
       0.915006,       0.008622,      -0.000919,       1264653.
       0.925001,       0.007071,       0.000177,       1266997.
       0.935005,       0.007829,      -0.000062,       1269485.
       0.945005,       0.005242,       0.000281,       1273758.
       0.955001,       0.003910,      -0.001291,       1274726.
       0.965001,       0.004125,       0.000300,       1276345.
       0.975001,       0.002172,       0.001234,       1280947.
       0.985000,       0.002514,       0.000156,       1282185.
       0.994999,      -0.000237,      -0.000308,       1286492.
