mu, q, u, number
       0.010000,      -0.087415,       0.018537,          3775.
       0.020000,      -0.090007,      -0.004659,         11492.
       0.030000,      -0.097048,      -0.003451,         20162.
       0.040000,      -0.085472,      -0.001454,         29267.
       0.050000,      -0.084683,      -0.001200,         38892.
       0.060000,      -0.080929,      -0.004851,         48971.
       0.070000,      -0.077050,       0.002921,         59060.
       0.080000,      -0.082445,       0.000874,         69552.
       0.090000,      -0.068840,      -0.004107,         81265.
       0.100000,      -0.069274,      -0.000507,         92788.
       0.110000,      -0.063830,       0.001882,        104286.
       0.120000,      -0.061574,       0.001376,        117012.
       0.130000,      -0.062938,      -0.001773,        129312.
       0.140000,      -0.060551,       0.001072,        141842.
       0.150000,      -0.058072,      -0.000313,        155534.
       0.160000,      -0.058075,       0.002560,        168589.
       0.170000,      -0.056113,       0.001184,        183257.
       0.180000,      -0.055766,      -0.001861,        197825.
       0.190000,      -0.051365,       0.000432,        213164.
       0.200000,      -0.049620,       0.001543,        227730.
       0.210000,      -0.048948,       0.001246,        242129.
       0.220000,      -0.046724,       0.002105,        260256.
       0.230000,      -0.044951,      -0.000864,        275306.
       0.240000,      -0.046847,      -0.000668,        291791.
       0.250000,      -0.045381,      -0.000065,        309110.
       0.260000,      -0.042378,       0.000530,        327048.
       0.270000,      -0.041857,      -0.001631,        344094.
       0.280000,      -0.039851,       0.000492,        361422.
       0.290000,      -0.038308,      -0.000791,        380046.
       0.300000,      -0.037035,       0.002029,        397713.
       0.310000,      -0.035668,       0.000393,        417667.
       0.320000,      -0.034638,      -0.000648,        436503.
       0.330000,      -0.034192,       0.001214,        457278.
       0.340000,      -0.034478,       0.000121,        475990.
       0.350000,      -0.031317,      -0.000877,        498531.
       0.360000,      -0.031285,       0.000840,        519090.
       0.370000,      -0.031128,      -0.000616,        541147.
       0.380000,      -0.029594,      -0.000061,        559019.
       0.390000,      -0.030500,      -0.000642,        582739.
       0.400000,      -0.026499,       0.000042,        604908.
       0.410000,      -0.029278,       0.000357,        626132.
       0.420000,      -0.025732,      -0.002276,        650219.
       0.430000,      -0.026305,      -0.000588,        673485.
       0.440000,      -0.026110,      -0.000176,        696240.
       0.450000,      -0.023459,      -0.000615,        721116.
       0.460000,      -0.023931,       0.000397,        743814.
       0.470000,      -0.023237,      -0.000151,        768140.
       0.480000,      -0.022278,      -0.000298,        793527.
       0.490000,      -0.021181,      -0.000457,        816462.
       0.500000,      -0.020387,       0.000220,        844472.
       0.510000,      -0.019655,      -0.000885,        871136.
       0.520000,      -0.019280,      -0.001270,        897079.
       0.530000,      -0.018495,      -0.001301,        923450.
       0.540000,      -0.018643,      -0.000370,        949884.
       0.550000,      -0.017821,      -0.001146,        977955.
       0.560000,      -0.016438,       0.000687,       1003345.
       0.570000,      -0.016793,      -0.000274,       1031871.
       0.580000,      -0.016949,       0.000819,       1059637.
       0.590000,      -0.016580,      -0.000163,       1089602.
       0.600000,      -0.015802,       0.000279,       1120134.
       0.610000,      -0.014279,      -0.001007,       1147719.
       0.620000,      -0.013908,      -0.000310,       1177316.
       0.630000,      -0.012769,       0.000043,       1206261.
       0.640000,      -0.013193,      -0.000118,       1237649.
       0.650000,      -0.012161,      -0.000784,       1267312.
       0.660000,      -0.011193,       0.000174,       1298339.
       0.670000,      -0.011551,      -0.000548,       1330479.
       0.680000,      -0.011427,       0.000168,       1362660.
       0.690000,      -0.011130,      -0.000426,       1393508.
       0.700000,      -0.010162,       0.000369,       1426878.
       0.710000,      -0.008836,      -0.000308,       1458812.
       0.720000,      -0.009960,      -0.000453,       1491030.
       0.730000,      -0.009292,       0.000204,       1524580.
       0.740000,      -0.009676,       0.000118,       1558964.
       0.750000,      -0.008604,      -0.000283,       1592426.
       0.760000,      -0.007103,      -0.000338,       1625663.
       0.770000,      -0.007332,      -0.000683,       1662045.
       0.780000,      -0.006667,      -0.000415,       1696843.
       0.790000,      -0.007318,      -0.000233,       1733262.
       0.800000,      -0.006649,      -0.000453,       1767305.
       0.810000,      -0.006467,      -0.000358,       1806224.
       0.820000,      -0.006113,       0.001328,       1842427.
       0.830000,      -0.006286,      -0.000267,       1876214.
       0.840000,      -0.005075,       0.000931,       1917081.
       0.850000,      -0.004214,       0.000363,       1951838.
       0.860000,      -0.004866,       0.000651,       1989833.
       0.870000,      -0.005330,      -0.000660,       2025797.
       0.880000,      -0.003675,       0.000194,       2064807.
       0.890000,      -0.003680,      -0.000008,       2104774.
       0.900000,      -0.003621,      -0.000422,       2146352.
       0.910000,      -0.002193,       0.000256,       2184023.
       0.920000,      -0.002562,      -0.000400,       2224206.
       0.930000,      -0.002694,      -0.000469,       2267201.
       0.940000,      -0.001892,       0.000554,       2304808.
       0.950000,      -0.001325,       0.000444,       2345200.
       0.960000,      -0.000968,      -0.000030,       2388537.
       0.970000,      -0.000688,      -0.000304,       2428762.
       0.980000,      -0.001263,       0.000596,       2466865.
       0.990000,      -0.000218,       0.000069,       2512860.
       1.000000,      -0.001083,       0.000638,       2559878.
