mu, q, u, number, w_total
 0.01,       -0.0269388856,        0.0058935566,          4501.,     3110.2265945158
 0.02,       -0.0280512884,       -0.0047680342,         13883.,     9638.3219169681
 0.03,       -0.0201499701,        0.0007568290,         23970.,    16597.0034028397
 0.04,       -0.0171337084,       -0.0002705088,         34083.,    23595.8507466045
 0.05,       -0.0158662122,       -0.0028630274,         45583.,    31358.0548907064
 0.06,       -0.0154542860,        0.0045516445,         56928.,    39259.0243329620
 0.07,       -0.0110564161,        0.0016476181,         68706.,    47295.0183564864
 0.08,       -0.0086018973,        0.0001617081,         80900.,    55710.5822202924
 0.09,       -0.0103595665,       -0.0019951097,         93960.,    64643.3345589809
 0.10,       -0.0095112040,       -0.0021680524,        107395.,    73719.7359131184
 0.11,       -0.0056581554,        0.0005808278,        120746.,    82800.3389737751
 0.12,       -0.0053557704,       -0.0001265970,        134604.,    92298.0777343538
 0.13,       -0.0052089745,        0.0006181126,        148117.,   101396.3701393697
 0.14,       -0.0042589709,        0.0015176800,        162646.,   111417.5717164081
 0.15,       -0.0036485837,       -0.0031559964,        178374.,   121781.3759838815
 0.16,       -0.0006333311,        0.0005482935,        193784.,   132297.3076745702
 0.17,       -0.0014224624,        0.0020389149,        208217.,   142072.0118540887
 0.18,       -0.0012489401,       -0.0010232388,        225414.,   153702.9398607335
 0.19,        0.0010623508,        0.0007102711,        241663.,   164245.6515381437
 0.20,        0.0016972740,       -0.0011694746,        258706.,   176046.9892978711
 0.21,        0.0008427096,       -0.0003958730,        275857.,   187403.9504902114
 0.22,        0.0014773137,        0.0009580061,        292638.,   198648.3992955625
 0.23,        0.0029744006,        0.0002188140,        308881.,   209278.4767499751
 0.24,        0.0022832810,       -0.0002575782,        328144.,   222040.7002798147
 0.25,        0.0037231769,       -0.0010854397,        346154.,   234439.2725136091
 0.26,        0.0037293543,        0.0002668558,        365061.,   246794.4953434989
 0.27,        0.0039985091,        0.0004449825,        383711.,   259540.5628267173
 0.28,        0.0047966731,       -0.0014821990,        401882.,   271215.8058960919
 0.29,        0.0056397470,       -0.0001625795,        423109.,   285016.7599631328
 0.30,        0.0053091091,        0.0004679149,        442469.,   298239.2928123268
 0.31,        0.0069315542,        0.0008970675,        460718.,   309722.4580694570
 0.32,        0.0065072229,       -0.0004455004,        480849.,   323112.4747209653
 0.33,        0.0055420739,       -0.0005183421,        501771.,   336678.8833907037
 0.34,        0.0062419509,        0.0007469743,        523042.,   350897.0241282498
 0.35,        0.0054648429,       -0.0014033964,        543583.,   364421.6571500382
 0.36,        0.0060831867,        0.0002810056,        564471.,   378108.2407440970
 0.37,        0.0065693703,        0.0008322696,        585875.,   391228.7689874764
 0.38,        0.0067429717,       -0.0005035247,        609341.,   407092.8619179148
 0.39,        0.0084784063,       -0.0014535940,        630432.,   420843.6583391072
 0.40,        0.0068645521,        0.0007813065,        652988.,   435276.4766633662
 0.41,        0.0066365430,       -0.0007965900,        675397.,   449766.9420918280
 0.42,        0.0077886137,        0.0006182516,        698103.,   464086.0306803761
 0.43,        0.0080235214,        0.0001200163,        722597.,   479951.2277746318
 0.44,        0.0066913493,        0.0002361042,        746098.,   495191.0710528380
 0.45,        0.0077821309,       -0.0003325210,        768678.,   509771.1681523385
 0.46,        0.0077913582,        0.0004308183,        793731.,   525640.1964906873
 0.47,        0.0078409396,        0.0006430677,        817245.,   541206.1479623399
 0.48,        0.0075442223,       -0.0002092753,        843033.,   557028.1583563172
 0.49,        0.0073058390,       -0.0002268111,        867008.,   572106.0546822845
 0.50,        0.0076187293,        0.0000217805,        890643.,   588111.0672418423
 0.51,        0.0083614699,        0.0009812158,        914428.,   602751.7471058277
 0.52,        0.0079967327,        0.0005837013,        939979.,   618810.8683609969
 0.53,        0.0074688196,        0.0000329667,        965971.,   635073.1822137494
 0.54,        0.0077621366,        0.0009479687,        992405.,   652466.1618233055
 0.55,        0.0078854691,       -0.0003780786,       1017821.,   668038.3653732210
 0.56,        0.0071525644,        0.0000457759,       1043363.,   684430.8645441325
 0.57,        0.0074860694,       -0.0004177293,       1070272.,   701168.6147836831
 0.58,        0.0074789125,        0.0004076573,       1096705.,   716961.4130214193
 0.59,        0.0079099795,        0.0006808063,       1124225.,   735603.6268054364
 0.60,        0.0069340216,        0.0005823330,       1149426.,   751023.1935053591
 0.61,        0.0073742512,       -0.0006026834,       1178127.,   768912.1046646606
 0.62,        0.0079841217,       -0.0007142606,       1205223.,   786105.2232292227
 0.63,        0.0072948067,       -0.0004877713,       1234388.,   803447.8830024475
 0.64,        0.0066731400,       -0.0007663378,       1260385.,   819685.5835306020
 0.65,        0.0069291941,        0.0002601284,       1287753.,   836877.0497642895
 0.66,        0.0068319167,        0.0003030186,       1316227.,   854414.8167680970
 0.67,        0.0065673575,        0.0002748432,       1345375.,   872648.6841578645
 0.68,        0.0061520466,       -0.0007287989,       1373498.,   889937.6714000577
 0.69,        0.0070097862,        0.0003386520,       1402995.,   908508.4054121352
 0.70,        0.0071641585,        0.0005497449,       1432167.,   926122.1244547414
 0.71,        0.0060589327,       -0.0001134975,       1462402.,   945146.6774282840
 0.72,        0.0063103647,       -0.0003935049,       1489604.,   961750.0479466808
 0.73,        0.0050798579,        0.0004482556,       1522100.,   982143.2185425854
 0.74,        0.0066580298,       -0.0005242497,       1549111.,   998171.8705626070
 0.75,        0.0057712552,        0.0002136189,       1578969.,  1016818.8020878434
 0.76,        0.0051073460,        0.0007694495,       1610182.,  1035809.7422843918
 0.77,        0.0050440844,        0.0002466643,       1640477.,  1053878.7023911241
 0.78,        0.0056208686,        0.0011938180,       1670843.,  1072415.2635811204
 0.79,        0.0044806595,        0.0001446565,       1701017.,  1090870.0227650765
 0.80,        0.0045272030,        0.0006508058,       1730479.,  1108767.9309998911
 0.81,        0.0038601328,        0.0004135073,       1760417.,  1126867.6834907287
 0.82,        0.0047351104,        0.0004977566,       1792612.,  1146005.7342395075
 0.83,        0.0038732715,        0.0002433359,       1826310.,  1166174.2629984359
 0.84,        0.0032949659,       -0.0005697669,       1856045.,  1184913.3145631619
 0.85,        0.0036922024,       -0.0000304605,       1886131.,  1202793.1060885098
 0.86,        0.0035199135,       -0.0004989676,       1919528.,  1222088.9032852752
 0.87,        0.0032444674,       -0.0001190034,       1948625.,  1238940.1090878299
 0.88,        0.0023900955,       -0.0003980336,       1982948.,  1259765.7507231266
 0.89,        0.0029241985,       -0.0006221023,       2014506.,  1278957.0996722255
