mu, q, u, number, w_total
 0.01,       -0.0779105316,       -0.0124455087,          3940.,     3911.9147300618
 0.02,       -0.0758689525,       -0.0026994074,         12710.,    12617.5038199077
 0.03,       -0.0654945589,        0.0059516827,         21817.,    21657.8159858685
 0.04,       -0.0646925505,       -0.0025794546,         31866.,    31637.3873597819
 0.05,       -0.0538415745,        0.0018618914,         41695.,    41394.8860794248
 0.06,       -0.0588681206,        0.0029423116,         52371.,    51993.5971565643
 0.07,       -0.0571736012,       -0.0024051883,         63335.,    62876.1352263214
 0.08,       -0.0541621302,        0.0016910458,         74841.,    74296.9989458100
 0.09,       -0.0512726118,        0.0005394318,         86254.,    85630.3720932287
 0.10,       -0.0454180181,        0.0018448651,         98815.,    98100.3708781867
 0.11,       -0.0503356512,       -0.0004580949,        111084.,   110275.2118279471
 0.12,       -0.0456877893,       -0.0025670236,        124063.,   123157.4638087802
 0.13,       -0.0453974107,       -0.0025749664,        137606.,   136608.2330795043
 0.14,       -0.0408258502,       -0.0031681875,        151477.,   150373.1582755843
 0.15,       -0.0420848568,       -0.0005902401,        165726.,   164513.7068029196
 0.16,       -0.0379655140,        0.0006413689,        179472.,   178158.8515950210
 0.17,       -0.0361670662,       -0.0011707460,        194202.,   192781.1614027935
 0.18,       -0.0349889618,       -0.0016210972,        208581.,   207049.5682796617
 0.19,       -0.0324493412,        0.0008489820,        225197.,   223541.7337326667
 0.20,       -0.0303756477,        0.0019450388,        240029.,   238263.4905207286
 0.21,       -0.0307486306,        0.0016110164,        257043.,   255153.8941631516
 0.22,       -0.0298384224,       -0.0017089949,        272758.,   270751.8007507350
 0.23,       -0.0281649576,       -0.0001338148,        289834.,   287703.3842768238
 0.24,       -0.0294287139,        0.0008358257,        307048.,   304794.8680616947
 0.25,       -0.0252566331,       -0.0001497302,        324890.,   322498.1845617467
 0.26,       -0.0265975469,        0.0005135873,        342335.,   339814.0289282835
 0.27,       -0.0255318526,        0.0002163774,        360141.,   357476.2615471028
 0.28,       -0.0250163966,       -0.0014122374,        379017.,   376215.9469986361
 0.29,       -0.0208343112,       -0.0015847548,        398626.,   395677.4270809648
 0.30,       -0.0222436909,        0.0005323126,        417376.,   414279.3327333248
 0.31,       -0.0226194483,        0.0013198506,        436475.,   433225.8876493832
 0.32,       -0.0211472008,        0.0012369237,        455745.,   452364.8411798105
 0.33,       -0.0201404529,       -0.0004856332,        475948.,   472425.2516063986
 0.34,       -0.0179483275,       -0.0016265265,        497636.,   493924.7240084768
 0.35,       -0.0172969684,       -0.0020282171,        517510.,   513656.8071798386
 0.36,       -0.0175418458,       -0.0006168632,        536892.,   532898.3455322516
 0.37,       -0.0175226860,       -0.0009213652,        559735.,   555544.9859411239
 0.38,       -0.0155070428,       -0.0005688961,        580868.,   576535.6591034897
 0.39,       -0.0147810594,        0.0009810343,        602421.,   597921.5855904460
 0.40,       -0.0155420514,       -0.0011272930,        626005.,   621315.3789666046
 0.41,       -0.0149524854,        0.0004444464,        646810.,   641949.2266281912
 0.42,       -0.0140062841,        0.0008894263,        669097.,   664074.6239732037
 0.43,       -0.0139447467,       -0.0001761529,        695663.,   690447.6201146808
 0.44,       -0.0127733259,       -0.0005276889,        717474.,   712080.3846619271
 0.45,       -0.0121966181,        0.0007591804,        741333.,   735760.0821835345
 0.46,       -0.0106483081,        0.0014750205,        764503.,   758743.9344966824
 0.47,       -0.0098436112,       -0.0005367978,        788409.,   782465.4964460295
 0.48,       -0.0120016740,       -0.0007400420,        813948.,   807795.6032807005
 0.49,       -0.0102987546,        0.0000736990,        838658.,   832323.9264780460
 0.50,       -0.0096604979,        0.0000915014,        863744.,   857225.4755642437
 0.51,       -0.0103965135,       -0.0009671882,        889111.,   882385.6723914450
 0.52,       -0.0086547015,        0.0002864735,        915807.,   908862.9464773966
 0.53,       -0.0084303547,        0.0000338790,        941624.,   934496.1012804267
 0.54,       -0.0091099910,        0.0000109129,        966904.,   959578.6222167453
 0.55,       -0.0103094544,        0.0000315727,        993967.,   986422.6441088032
