mu, q, u, number, w_total
 0.01,       -0.0944216021,        0.0160541754,          4126.,     4126.0000000000
 0.02,       -0.0805811408,        0.0007324023,         12496.,    12496.0000000000
 0.03,       -0.0673485446,       -0.0078554548,         21819.,    21819.0000000000
 0.04,       -0.0614687861,        0.0009449552,         31830.,    31830.0000000000
 0.05,       -0.0610396414,       -0.0024146807,         41568.,    41568.0000000000
 0.06,       -0.0574708721,       -0.0011100032,         52330.,    52330.0000000000
 0.07,       -0.0555045039,        0.0058036645,         63013.,    63013.0000000000
 0.08,       -0.0553605025,       -0.0005686010,         75303.,    75303.0000000000
 0.09,       -0.0511470950,        0.0007789048,         86816.,    86816.0000000000
 0.10,       -0.0478586802,        0.0046972032,         98370.,    98370.0000000000
 0.11,       -0.0446814317,       -0.0026299730,        111291.,   111291.0000000000
 0.12,       -0.0363815065,       -0.0023045012,        124920.,   124920.0000000000
 0.13,       -0.0395958875,       -0.0015988589,        137639.,   137639.0000000000
 0.14,       -0.0373778112,       -0.0026643626,        151806.,   151806.0000000000
 0.15,       -0.0358038109,        0.0035260737,        165908.,   165908.0000000000
 0.16,       -0.0358881273,       -0.0019920955,        180670.,   180670.0000000000
 0.17,       -0.0361161600,        0.0006126536,        195547.,   195547.0000000000
 0.18,       -0.0328954785,        0.0000296279,        210431.,   210431.0000000000
 0.19,       -0.0312345882,       -0.0008848217,        226275.,   226275.0000000000
 0.20,       -0.0326360775,        0.0027612085,        240882.,   240882.0000000000
 0.21,       -0.0286730405,        0.0006029661,        257428.,   257428.0000000000
 0.22,       -0.0280562176,       -0.0015700955,        274072.,   274072.0000000000
 0.23,       -0.0272631101,        0.0030875356,        291416.,   291416.0000000000
 0.24,       -0.0256188855,        0.0014137318,        308053.,   308053.0000000000
 0.25,       -0.0247055363,        0.0000944788,        326167.,   326167.0000000000
 0.26,       -0.0237984124,       -0.0002764356,        342622.,   342622.0000000000
 0.27,       -0.0220842978,       -0.0002125947,        361488.,   361488.0000000000
 0.28,       -0.0192597750,        0.0012556892,        379965.,   379965.0000000000
 0.29,       -0.0211742117,        0.0005074813,        400637.,   400637.0000000000
 0.30,       -0.0203516692,       -0.0000083304,        418740.,   418740.0000000000
 0.31,       -0.0184630966,        0.0009961233,        436879.,   436879.0000000000
 0.32,       -0.0185307805,       -0.0000725845,        457492.,   457492.0000000000
 0.33,       -0.0185687850,        0.0003315082,        477089.,   477089.0000000000
 0.34,       -0.0176740094,       -0.0014246037,        498091.,   498091.0000000000
 0.35,       -0.0153093467,       -0.0005656382,        519052.,   519052.0000000000
 0.36,       -0.0163565448,        0.0011182914,        540140.,   540140.0000000000
 0.37,       -0.0127175988,       -0.0001937327,        560295.,   560295.0000000000
 0.38,       -0.0149081330,        0.0002559676,        582965.,   582965.0000000000
 0.39,       -0.0123040729,       -0.0007527560,        605775.,   605775.0000000000
 0.40,       -0.0108881143,       -0.0010765424,        625661.,   625661.0000000000
 0.41,       -0.0129693452,       -0.0011528657,        649756.,   649756.0000000000
 0.42,       -0.0111622670,        0.0004051266,        672789.,   672789.0000000000
 0.43,       -0.0102060797,        0.0003571338,        695919.,   695919.0000000000
 0.44,       -0.0105405180,        0.0011918409,        720071.,   720071.0000000000
 0.45,       -0.0097720955,       -0.0010361329,        742256.,   742256.0000000000
 0.46,       -0.0110974817,       -0.0011778600,        767311.,   767311.0000000000
 0.47,       -0.0074359411,        0.0000312827,        792289.,   792289.0000000000
 0.48,       -0.0080252730,       -0.0009716344,        816499.,   816499.0000000000
 0.49,       -0.0087204407,        0.0011447207,        843182.,   843182.0000000000
 0.50,       -0.0073237598,        0.0005013340,        867509.,   867509.0000000000
 0.51,       -0.0077884407,        0.0008229891,        892388.,   892388.0000000000
 0.52,       -0.0068824732,        0.0000748441,        917099.,   917099.0000000000
 0.53,       -0.0072906122,       -0.0001814031,        944634.,   944634.0000000000
 0.54,       -0.0064904683,        0.0000326068,        970286.,   970286.0000000000
 0.55,       -0.0064663979,        0.0006745474,        997051.,   997051.0000000000
 0.56,       -0.0070961603,        0.0003259294,       1024367.,  1024367.0000000000
 0.57,       -0.0046041803,        0.0004816085,       1050671.,  1050671.0000000000
 0.58,       -0.0053284763,        0.0008475780,       1078977.,  1078977.0000000000
 0.59,       -0.0049807900,       -0.0002950220,       1108143.,  1108143.0000000000
 0.60,       -0.0027780370,       -0.0003530703,       1134321.,  1134321.0000000000
 0.61,       -0.0055820669,        0.0007050233,       1164810.,  1164810.0000000000
 0.62,       -0.0036046013,       -0.0004513252,       1192793.,  1192793.0000000000
 0.63,       -0.0043329052,       -0.0010312676,       1222059.,  1222059.0000000000
 0.64,       -0.0036018940,        0.0002038706,       1251270.,  1251270.0000000000
 0.65,       -0.0043857273,       -0.0003013218,       1280302.,  1280302.0000000000
 0.66,       -0.0026973657,       -0.0007126244,       1307789.,  1307789.0000000000
 0.67,       -0.0043438863,        0.0006119273,       1338383.,  1338383.0000000000
 0.68,       -0.0030849812,       -0.0000132882,       1370724.,  1370724.0000000000
 0.69,       -0.0024100059,        0.0006837902,       1401641.,  1401641.0000000000
 0.70,       -0.0024172339,        0.0000922823,       1431576.,  1431576.0000000000
 0.71,       -0.0030161486,        0.0004616419,       1460891.,  1460891.0000000000
 0.72,       -0.0022860395,        0.0000718133,       1492008.,  1492008.0000000000
 0.73,       -0.0014411029,        0.0002006133,       1524078.,  1524078.0000000000
 0.74,       -0.0022101290,       -0.0009020979,       1554876.,  1554876.0000000000
 0.75,       -0.0023175838,       -0.0005323204,       1588675.,  1588675.0000000000
 0.76,       -0.0015223098,        0.0004705138,       1620848.,  1620848.0000000000
 0.77,       -0.0022954705,       -0.0004910376,       1654800.,  1654800.0000000000
 0.78,       -0.0009225432,        0.0001776404,       1687061.,  1687061.0000000000
 0.79,       -0.0013893681,        0.0005201631,       1718747.,  1718747.0000000000
 0.80,       -0.0005588497,        0.0002222762,       1755112.,  1755112.0000000000
 0.81,       -0.0006382052,        0.0006617990,       1784672.,  1784672.0000000000
 0.82,       -0.0007275355,        0.0005622978,       1819045.,  1819045.0000000000
 0.83,       -0.0003839651,       -0.0008210886,       1852840.,  1852840.0000000000
 0.84,       -0.0014147089,        0.0002978033,       1888092.,  1888092.0000000000
