mu, q, u, number, w_total
 0.01,       -0.0904462842,        0.0095127638,          3968.,     3968.0000000000
 0.02,       -0.0769621073,       -0.0102305805,         12537.,    12537.0000000000
 0.03,       -0.0743853590,       -0.0001209834,         21275.,    21275.0000000000
 0.04,       -0.0744658144,        0.0009296329,         31226.,    31226.0000000000
 0.05,       -0.0673756584,        0.0088316949,         41208.,    41208.0000000000
 0.06,       -0.0649412409,       -0.0040910021,         51568.,    51568.0000000000
 0.07,       -0.0618204217,       -0.0022488923,         62445.,    62445.0000000000
 0.08,       -0.0552061563,        0.0007035991,         73641.,    73641.0000000000
 0.09,       -0.0557217488,        0.0002724619,         85142.,    85142.0000000000
 0.10,       -0.0506123398,       -0.0005152666,         97529.,    97529.0000000000
 0.11,       -0.0530696631,        0.0025762881,        110099.,   110099.0000000000
 0.12,       -0.0493376518,       -0.0022037121,        122550.,   122550.0000000000
 0.13,       -0.0472031022,        0.0014502977,        135755.,   135755.0000000000
 0.14,       -0.0419997401,       -0.0016354888,        150097.,   150097.0000000000
 0.15,       -0.0459489444,        0.0006074125,        162994.,   162994.0000000000
 0.16,       -0.0419285213,       -0.0005749003,        177348.,   177348.0000000000
 0.17,       -0.0433933021,        0.0029378390,        192252.,   192252.0000000000
 0.18,       -0.0389439627,        0.0021052816,        206837.,   206837.0000000000
 0.19,       -0.0366300038,       -0.0014295294,        222355.,   222355.0000000000
 0.20,       -0.0352835608,        0.0031638266,        237032.,   237032.0000000000
 0.21,       -0.0344535322,        0.0014607497,        253880.,   253880.0000000000
 0.22,       -0.0345168006,       -0.0001219755,        270789.,   270789.0000000000
 0.23,       -0.0329645579,       -0.0015337547,        287801.,   287801.0000000000
 0.24,       -0.0296698042,       -0.0005161017,        303680.,   303680.0000000000
 0.25,       -0.0302720530,        0.0000112720,        321209.,   321209.0000000000
 0.26,       -0.0289515472,        0.0003435881,        340033.,   340033.0000000000
 0.27,       -0.0273080860,       -0.0012100986,        356944.,   356944.0000000000
 0.28,       -0.0278032216,       -0.0004150608,        374717.,   374717.0000000000
 0.29,       -0.0257080133,        0.0002122545,        393607.,   393607.0000000000
 0.30,       -0.0249646314,       -0.0013838339,        412716.,   412716.0000000000
 0.31,       -0.0253973735,       -0.0011881363,        433588.,   433588.0000000000
 0.32,       -0.0227771372,       -0.0018185871,        451966.,   451966.0000000000
 0.33,       -0.0232509979,       -0.0017253434,        471971.,   471971.0000000000
 0.34,       -0.0212658429,        0.0008312652,        492771.,   492771.0000000000
 0.35,       -0.0218907482,       -0.0011240017,        512588.,   512588.0000000000
 0.36,       -0.0211563493,        0.0000593739,        533554.,   533554.0000000000
 0.37,       -0.0191596391,        0.0011362427,        555548.,   555548.0000000000
 0.38,       -0.0172474436,       -0.0001606929,        576704.,   576704.0000000000
 0.39,       -0.0178671826,        0.0001764090,        597915.,   597915.0000000000
 0.40,       -0.0177686423,        0.0004363473,        622260.,   622260.0000000000
 0.41,       -0.0168305291,       -0.0000846748,        644642.,   644642.0000000000
 0.42,       -0.0156626748,       -0.0003820498,        665254.,   665254.0000000000
 0.43,       -0.0170605543,        0.0011485106,        690391.,   690391.0000000000
 0.44,       -0.0155340741,        0.0016154964,        711280.,   711280.0000000000
 0.45,       -0.0143536908,       -0.0000234524,        735862.,   735862.0000000000
 0.46,       -0.0139669975,        0.0011628305,        761852.,   761852.0000000000
 0.47,       -0.0138038186,       -0.0010013748,        784304.,   784304.0000000000
 0.48,       -0.0141342907,       -0.0000192832,        809133.,   809133.0000000000
 0.49,       -0.0127923414,       -0.0003819370,        834440.,   834440.0000000000
 0.50,       -0.0125900730,       -0.0016837896,        860029.,   860029.0000000000
 0.51,       -0.0119359027,        0.0008632156,        885587.,   885587.0000000000
 0.52,       -0.0124998943,       -0.0013548790,        910954.,   910954.0000000000
 0.53,       -0.0108361715,       -0.0002050853,        936518.,   936518.0000000000
 0.54,       -0.0104003238,       -0.0007524175,        964899.,   964899.0000000000
 0.55,       -0.0102493925,       -0.0006808242,        990691.,   990691.0000000000
 0.56,       -0.0084327734,        0.0003754964,       1016931.,  1016931.0000000000
 0.57,       -0.0095812352,        0.0011405005,       1046277.,  1046277.0000000000
 0.58,       -0.0093738311,        0.0005461656,       1072963.,  1072963.0000000000
 0.59,       -0.0074865203,        0.0009615551,       1100591.,  1100591.0000000000
 0.60,       -0.0083965676,        0.0000794817,       1128538.,  1128538.0000000000
 0.61,       -0.0080630398,       -0.0000970761,       1159637.,  1159637.0000000000
 0.62,       -0.0064820288,        0.0000980810,       1186746.,  1186746.0000000000
 0.63,       -0.0069216886,       -0.0002806419,       1216573.,  1216573.0000000000
 0.64,       -0.0076576930,        0.0008339528,       1246974.,  1246974.0000000000
 0.65,       -0.0068053410,        0.0003323594,       1274915.,  1274915.0000000000
 0.66,       -0.0067004054,       -0.0012533400,       1307043.,  1307043.0000000000
 0.67,       -0.0060322602,       -0.0008733722,       1335408.,  1335408.0000000000
 0.68,       -0.0055112283,       -0.0000801537,       1366649.,  1366649.0000000000
 0.69,       -0.0055881136,        0.0001155471,       1396895.,  1396895.0000000000
 0.70,       -0.0045573301,        0.0003975038,       1427647.,  1427647.0000000000
 0.71,       -0.0040401936,        0.0004062040,       1461415.,  1461415.0000000000
 0.72,       -0.0042774995,       -0.0002535436,       1492710.,  1492710.0000000000
 0.73,       -0.0038471371,        0.0005145767,       1523847.,  1523847.0000000000
 0.74,       -0.0048542625,        0.0002273140,       1557226.,  1557226.0000000000
 0.75,       -0.0035111136,        0.0010680983,       1588711.,  1588711.0000000000
 0.76,       -0.0044033187,       -0.0001540746,       1620188.,  1620188.0000000000
 0.77,       -0.0030533858,       -0.0002493821,       1656909.,  1656909.0000000000
 0.78,       -0.0030632697,       -0.0003457599,       1689453.,  1689453.0000000000
 0.79,       -0.0037846313,       -0.0000108496,       1722749.,  1722749.0000000000
 0.80,       -0.0024786723,       -0.0003118228,       1756044.,  1756044.0000000000
 0.81,       -0.0026427869,        0.0001880370,       1790407.,  1790407.0000000000
 0.82,       -0.0020590386,       -0.0002374321,       1824259.,  1824259.0000000000
 0.83,       -0.0029121199,       -0.0010556974,       1858479.,  1858479.0000000000
 0.84,       -0.0025438200,        0.0004688484,       1892313.,  1892313.0000000000
 0.85,       -0.0021730033,       -0.0003052430,       1931973.,  1931973.0000000000
 0.86,       -0.0016650563,        0.0002160227,       1967960.,  1967960.0000000000
 0.87,       -0.0024636137,       -0.0004208602,       2001079.,  2001079.0000000000
 0.88,       -0.0011367015,        0.0001553971,       2039422.,  2039422.0000000000
 0.89,       -0.0017614247,        0.0009221955,       2077210.,  2077210.0000000000
 0.90,       -0.0025217937,       -0.0009448405,       2110445.,  2110445.0000000000
 0.91,       -0.0016319374,        0.0000448375,       2148699.,  2148699.0000000000
 0.92,       -0.0016292585,       -0.0013034289,       2185252.,  2185252.0000000000
 0.93,       -0.0004746681,        0.0001787518,       2224263.,  2224263.0000000000
 0.94,       -0.0007865487,        0.0001290908,       2262286.,  2262286.0000000000
 0.95,       -0.0005671850,       -0.0003208498,       2299204.,  2299204.0000000000
 0.96,       -0.0009504337,        0.0002273505,       2338357.,  2338357.0000000000
 0.97,       -0.0006216456,       -0.0003478937,       2377994.,  2377994.0000000000
 0.98,       -0.0002858491,       -0.0008137375,       2416066.,  2416066.0000000000
 0.99,       -0.0007166600,       -0.0002090633,       2456646.,  2456646.0000000000
 1.00,        0.0002383220,       -0.0001355419,       2496712.,  2496712.0000000000
