mu, q, u, number, w_total
 0.01,       -0.0398886076,        0.0056585393,          4517.,     4248.6398034879
 0.02,       -0.0441195093,       -0.0044100239,         13897.,    13084.0159019783
 0.03,       -0.0395547861,       -0.0007123795,         23930.,    22516.6549475775
 0.04,       -0.0343818694,       -0.0015373178,         33896.,    31884.4039545255
 0.05,       -0.0345590316,       -0.0039017632,         45743.,    42986.5208397849
 0.06,       -0.0339147241,        0.0057013366,         56987.,    53585.4447782657
 0.07,       -0.0277883577,        0.0020942626,         68807.,    64690.1498361610
 0.08,       -0.0232820150,        0.0000886868,         80915.,    76071.4031758597
 0.09,       -0.0270323151,       -0.0027994291,         94036.,    88398.5751064432
 0.10,       -0.0237842418,       -0.0029522822,        107333.,   100842.2722944811
 0.11,       -0.0200195855,        0.0019039054,        120762.,   113450.9522057756
 0.12,       -0.0197557552,       -0.0019255083,        134672.,   126526.2215011473
 0.13,       -0.0179365829,        0.0015284575,        148401.,   139384.4274529146
 0.14,       -0.0166508177,        0.0026182482,        162743.,   152869.2632593727
 0.15,       -0.0150945559,       -0.0039416093,        178439.,   167534.0539998527
 0.16,       -0.0118317308,        0.0019179630,        193945.,   182106.0967982232
 0.17,       -0.0112625809,        0.0015813861,        208115.,   195379.5706450501
 0.18,       -0.0121103526,       -0.0002411997,        225486.,   211694.8240178727
 0.19,       -0.0086468970,        0.0008304092,        241882.,   226926.5310338298
 0.20,       -0.0083792999,       -0.0006983679,        259037.,   243078.4719300756
 0.21,       -0.0079865774,       -0.0002850873,        275855.,   258821.7376046922
 0.22,       -0.0069126223,        0.0007956786,        292895.,   274797.6539646358
 0.23,       -0.0056021812,        0.0018932381,        308840.,   289657.3661147340
 0.24,       -0.0061788557,       -0.0004445599,        328199.,   307750.6978864674
 0.25,       -0.0042373194,       -0.0013869137,        346451.,   324890.1659660797
 0.26,       -0.0047347145,       -0.0005816493,        365084.,   342329.5939370533
 0.27,       -0.0034598614,        0.0002674994,        384121.,   360133.5730464674
 0.28,       -0.0023145127,       -0.0021631981,        402013.,   376836.9300590299
 0.29,       -0.0022014959,        0.0001699146,        422844.,   396234.6723841841
 0.30,       -0.0018864630,        0.0005760895,        442776.,   415020.1349816691
 0.31,        0.0008774708,        0.0012892148,        461223.,   432102.3927741303
 0.32,       -0.0003297931,       -0.0003116180,        481277.,   450855.9885842270
 0.33,       -0.0008548056,        0.0000794851,        502126.,   470312.9113499903
 0.34,        0.0000064783,        0.0004106448,        523583.,   490404.8839235755
 0.35,       -0.0004920173,       -0.0013663507,        543689.,   509186.5708507869
 0.36,        0.0001904360,        0.0004874798,        564859.,   528989.1904392330
 0.37,        0.0005669028,        0.0007254159,        586151.,   548649.1698898252
