mu, q, u, number, w_total
 0.01,       -0.0168709046,       -0.0023853886,          4216.,     1276.2986776391
 0.02,       -0.0350728046,       -0.0022482126,         10358.,     3772.7484850994
 0.03,       -0.0343125759,       -0.0000629345,         16972.,     6435.4560365621
 0.04,       -0.0352405138,        0.0012458338,         23827.,     9108.6986040460
 0.05,       -0.0335129028,       -0.0031989065,         31456.,    12181.8091652172
 0.06,       -0.0323689624,        0.0025753732,         38643.,    15060.9854501865
 0.07,       -0.0319636304,        0.0029335529,         46593.,    18185.5833895096
 0.08,       -0.0299801529,        0.0032339920,         54613.,    21461.1118170966
 0.09,       -0.0304585423,       -0.0004694031,         63676.,    25002.3990428221
 0.10,       -0.0296539662,       -0.0003050830,         72582.,    28664.8608684996
 0.11,       -0.0296391681,        0.0010627657,         81699.,    32148.8429629677
 0.12,       -0.0295974774,       -0.0001689290,         91089.,    36071.7003282536
 0.13,       -0.0282940360,       -0.0013218200,        100463.,    39794.1995870098
 0.14,       -0.0254831133,        0.0023680676,        110145.,    43726.0011127823
 0.15,       -0.0249315331,       -0.0013893968,        121175.,    47907.6506434891
 0.16,       -0.0238029121,       -0.0002069441,        131754.,    52199.1409267211
 0.17,       -0.0231980112,       -0.0010725333,        142348.,    56502.3027426814
 0.18,       -0.0232002088,        0.0011317907,        153904.,    61077.9197088536
 0.19,       -0.0224187082,        0.0007322390,        164679.,    65209.0873092298
 0.20,       -0.0226045339,       -0.0006786386,        176214.,    70146.1993287438
 0.21,       -0.0211378109,       -0.0001976862,        188186.,    74741.4176766514
 0.22,       -0.0208759222,        0.0007361691,        201166.,    79890.7616493319
 0.23,       -0.0203598323,       -0.0005791553,        213222.,    84782.3155333707
 0.24,       -0.0197901682,       -0.0007734338,        225686.,    89730.1373390459
 0.25,       -0.0194767134,       -0.0008002754,        239012.,    94987.4420349566
 0.26,       -0.0183791726,       -0.0007224562,        252938.,   100569.6837358003
 0.27,       -0.0186724564,       -0.0002846703,        265562.,   105570.9733239764
 0.28,       -0.0181981350,        0.0000229384,        280525.,   111542.6957084071
 0.29,       -0.0173605571,        0.0017951601,        294802.,   117569.1113068503
 0.30,       -0.0179124165,        0.0015080136,        309255.,   123052.7148635190
 0.31,       -0.0166257299,       -0.0007575144,        322680.,   128507.2557911483
 0.32,       -0.0170530457,       -0.0010992416,        337925.,   134528.4903826844
 0.33,       -0.0160720436,        0.0003855723,        353313.,   140879.5162388638
 0.34,       -0.0163584945,       -0.0005488682,        368992.,   147107.7269490812
 0.35,       -0.0159507242,       -0.0003897975,        385051.,   153323.5420218465
 0.36,       -0.0148779138,       -0.0002264001,        401376.,   160097.2281052316
 0.37,       -0.0145143938,        0.0000010345,        418152.,   166704.3280205844
 0.38,       -0.0138290181,        0.0004415524,        433592.,   172800.9617022540
 0.39,       -0.0136035938,       -0.0004358194,        451329.,   180220.3945080309
 0.40,       -0.0139721729,       -0.0000570487,        467590.,   186564.1680330947
 0.41,       -0.0127786730,       -0.0001691246,        484532.,   193141.1297203799
 0.42,       -0.0128770697,        0.0004320982,        503116.,   200879.4291076574
 0.43,       -0.0126832361,       -0.0001852804,        520821.,   207772.0418378448
 0.44,       -0.0109384679,       -0.0006140874,        537974.,   214986.2137249542
 0.45,       -0.0114786756,       -0.0002734326,        557331.,   222715.9949761030
 0.46,       -0.0114983153,       -0.0003856877,        574406.,   229508.4426325839
 0.47,       -0.0119614790,       -0.0001892265,        594265.,   237518.8762855272
 0.48,       -0.0114210312,       -0.0000937926,        613038.,   244677.3257142757
 0.49,       -0.0106654243,        0.0001557274,        633851.,   253251.4022807201
