mu, q, u, number, w_total
 0.01,       -0.0470166972,        0.0044528877,          3748.,     1510.5150948152
 0.02,       -0.0373828146,       -0.0014587880,         11807.,     4872.5171058854
 0.03,       -0.0425055519,       -0.0018625346,         19840.,     8221.3192064434
 0.04,       -0.0399687794,        0.0052520353,         28869.,    11981.8013416672
 0.05,       -0.0380347330,        0.0004433815,         38455.,    15921.8676730373
 0.06,       -0.0359354717,        0.0037557483,         48268.,    20111.0725136081
 0.07,       -0.0362858504,        0.0009708277,         58326.,    24271.4649631160
 0.08,       -0.0324890295,       -0.0014905793,         68935.,    28662.9531619722
 0.09,       -0.0313950881,        0.0002437733,         80100.,    33415.6540279976
 0.10,       -0.0319980880,        0.0003995555,         91522.,    38001.5991203812
 0.11,       -0.0298551232,        0.0006405995,        103632.,    43077.8960994260
 0.12,       -0.0301376497,       -0.0004217484,        115191.,    47886.7834694483
 0.13,       -0.0311688051,       -0.0000560908,        128354.,    53450.5917164704
 0.14,       -0.0265382791,        0.0017181626,        140167.,    58330.3802330347
 0.15,       -0.0260005369,        0.0005536709,        154262.,    64190.4812044982
 0.16,       -0.0280692937,       -0.0002743610,        168075.,    69936.2794872181
 0.17,       -0.0256456079,       -0.0000305085,        181147.,    75325.0160841297
 0.18,       -0.0237788127,       -0.0005592996,        195114.,    81162.9366276675
 0.19,       -0.0240694468,        0.0005898293,        210303.,    87598.8188990994
 0.20,       -0.0229846496,       -0.0005312034,        225519.,    94038.4267440528
 0.21,       -0.0230029770,       -0.0001525882,        239527.,    99833.6824434877
 0.22,       -0.0212154030,        0.0002161648,        256838.,   106767.2889966534
 0.23,       -0.0204723016,       -0.0009386976,        272895.,   113268.0624727474
 0.24,       -0.0201006338,        0.0005826571,        288828.,   120043.7960770354
 0.25,       -0.0209047920,        0.0000080571,        306203.,   127655.2707758602
 0.26,       -0.0194043342,       -0.0002414387,        322751.,   134534.5701206132
 0.27,       -0.0196936575,       -0.0001285981,        340773.,   141960.8216880278
 0.28,       -0.0190957508,       -0.0003066165,        357626.,   149037.4557185920
 0.29,       -0.0186160986,        0.0009831491,        375396.,   156524.7915263738
 0.30,       -0.0174466526,       -0.0000877136,        394086.,   164290.2840092537
 0.31,       -0.0166812509,        0.0004815600,        413707.,   172149.0824663617
 0.32,       -0.0164475829,       -0.0000510700,        433219.,   180544.8977715584
 0.33,       -0.0168392446,        0.0010022727,        454434.,   189108.3039292084
 0.34,       -0.0156769410,       -0.0001685028,        472870.,   197092.3277326792
 0.35,       -0.0152585790,       -0.0004365890,        491434.,   204933.1241222056
 0.36,       -0.0154733187,        0.0016419541,        514389.,   214627.0090332988
 0.37,       -0.0151685456,       -0.0001240867,        533628.,   222517.4136372522
 0.38,       -0.0149599776,        0.0006910242,        554430.,   231518.8476096103
 0.39,       -0.0140864859,        0.0010205015,        576484.,   240520.1214958780
 0.40,       -0.0144511354,       -0.0002319541,        596979.,   249024.0053634132
 0.41,       -0.0134259422,       -0.0001163008,        620753.,   259236.9492810579
 0.42,       -0.0123941636,       -0.0001819789,        642175.,   268086.2474292437
 0.43,       -0.0127866974,        0.0004275023,        665000.,   277544.4103025588
 0.44,       -0.0133410021,       -0.0007185334,        689178.,   288010.5801202367
 0.45,       -0.0122308944,        0.0003268450,        712942.,   297550.4009368925
 0.46,       -0.0114085110,        0.0002596776,        736487.,   307597.4510378155
 0.47,       -0.0111256892,       -0.0002235622,        761375.,   317986.9574318306
 0.48,       -0.0113806254,        0.0001078500,        784985.,   327939.5537493968
 0.49,       -0.0109421771,       -0.0001175580,        810856.,   338818.3033217362
 0.50,       -0.0106337744,        0.0006728849,        835210.,   349003.4483486704
 0.51,       -0.0104957155,       -0.0004614181,        861348.,   360052.7385338171
 0.52,       -0.0105371354,       -0.0003816415,        885554.,   370065.2937463668
 0.53,       -0.0098159505,        0.0003734766,        912664.,   381640.5947027981
 0.54,       -0.0095652770,        0.0001529610,        940708.,   394099.2685991542
 0.55,       -0.0095793092,       -0.0008189802,        968163.,   405035.6681837958
 0.56,       -0.0092492406,        0.0000457538,        994572.,   416515.1973113741
 0.57,       -0.0081283398,       -0.0000862800,       1022374.,   428010.9462338503
 0.58,       -0.0088648061,        0.0001641863,       1050650.,   440379.7747865077
 0.59,       -0.0079934958,       -0.0002463203,       1078759.,   452230.5504069701
 0.60,       -0.0076638570,        0.0003453282,       1104336.,   462570.4011234891
 0.61,       -0.0083100621,       -0.0001939821,       1137403.,   476899.2048884971
 0.62,       -0.0078295406,        0.0005127868,       1165356.,   488818.7242433147
 0.63,       -0.0070523836,       -0.0003505610,       1194962.,   500768.1143667222
 0.64,       -0.0070691635,       -0.0001437135,       1223959.,   513800.6719764464
 0.65,       -0.0063794862,       -0.0001065331,       1255114.,   526640.7308245855
 0.66,       -0.0063731137,        0.0004710316,       1286276.,   540033.0639924796
 0.67,       -0.0060207012,       -0.0002574060,       1316630.,   552664.7144041415
 0.68,       -0.0064456596,       -0.0002158375,       1348975.,   566772.9812770353
 0.69,       -0.0055188537,        0.0000402627,       1380395.,   579930.1978740754
 0.70,       -0.0057570922,        0.0002742649,       1411747.,   593261.0573342820
 0.71,       -0.0049436587,       -0.0004194715,       1443415.,   607553.0971746257
 0.72,       -0.0046410629,       -0.0003273381,       1478707.,   622450.0096672516
 0.73,       -0.0050503173,       -0.0001084445,       1509116.,   635810.7692557210
 0.74,       -0.0051008759,        0.0000467787,       1546606.,   651234.5477766264
 0.75,       -0.0048956086,       -0.0003612355,       1576444.,   664520.8462382669
 0.76,       -0.0044891708,       -0.0000446506,       1611781.,   679383.7630668234
 0.77,       -0.0043262448,       -0.0001514657,       1647802.,   694675.6182892658
 0.78,       -0.0041258099,        0.0001764338,       1679423.,   707964.9332950588
 0.79,       -0.0037014888,        0.0000896541,       1716960.,   724469.1943935785
 0.80,       -0.0031397002,       -0.0003505565,       1751340.,   739429.5691980582
 0.81,       -0.0033138797,        0.0000805741,       1785153.,   754361.1544674848
