mu, q, u, number, w_total
 0.01,       -0.0210210679,        0.0000132660,          2727.,      787.0327997533
 0.02,       -0.0321861128,        0.0035001765,          7472.,     2361.0201624042
 0.03,       -0.0295697702,       -0.0002793385,         12605.,     4099.9307587657
 0.04,       -0.0275307585,        0.0021710961,         17579.,     5773.9559361965
 0.05,       -0.0285827891,        0.0017404431,         23541.,     7766.7967984975
 0.06,       -0.0268731025,        0.0013198245,         29072.,     9635.9951014259
 0.07,       -0.0290411423,        0.0014395517,         34878.,    11638.6824241207
 0.08,       -0.0260431665,       -0.0008940228,         41800.,    13949.8856078071
 0.09,       -0.0260900149,        0.0006375594,         48231.,    16119.3846206657
 0.10,       -0.0252927218,       -0.0004732002,         54802.,    18367.2227174158
 0.11,       -0.0242297648,       -0.0002216872,         61666.,    20709.4661848334
 0.12,       -0.0230598962,        0.0003957759,         68895.,    23169.6410499578
 0.13,       -0.0227943547,        0.0006270521,         76367.,    25610.0397095605
 0.14,       -0.0226941527,        0.0006465350,         83897.,    28202.4951831099
 0.15,       -0.0225295263,       -0.0007950994,         92022.,    30984.1206848602
 0.16,       -0.0209248410,        0.0006495518,        100128.,    33647.7014231127
 0.17,       -0.0198157061,        0.0001443103,        107914.,    36223.0605407745
 0.18,       -0.0178320076,       -0.0011124276,        116834.,    39410.2662091134
 0.19,       -0.0200314618,        0.0015793651,        125140.,    42084.1323570322
 0.20,       -0.0181978679,        0.0009025247,        133672.,    44975.4599928802
 0.21,       -0.0179922666,       -0.0005939879,        143356.,    48371.9580500169
 0.22,       -0.0174948756,       -0.0009999214,        152778.,    51379.6985108048
 0.23,       -0.0175508018,       -0.0002251066,        161673.,    54469.7012255740
 0.24,       -0.0176106351,       -0.0007503559,        172552.,    58177.8432133591
 0.25,       -0.0157722623,        0.0000519057,        181939.,    61346.6481600598
 0.26,       -0.0159787648,       -0.0007338671,        192292.,    64817.6688415264
 0.27,       -0.0164557302,        0.0007531098,        202834.,    68332.3996083033
 0.28,       -0.0152727318,       -0.0008389683,        213082.,    71973.9075478999
 0.29,       -0.0145426152,       -0.0003561134,        224647.,    75700.5927773932
 0.30,       -0.0147550622,        0.0005043788,        235294.,    79355.5837102767
 0.31,       -0.0149057949,       -0.0000227511,        246646.,    83105.6376006178
 0.32,       -0.0146315581,       -0.0007166122,        257722.,    86887.7246392084
 0.33,       -0.0134538776,        0.0002530584,        269246.,    90711.1660843949
 0.34,       -0.0133523060,        0.0004257318,        280970.,    94857.0153349858
 0.35,       -0.0119416122,        0.0001242723,        292412.,    98599.5767978219
 0.36,       -0.0135815715,       -0.0000395248,        305172.,   103001.0872279468
 0.37,       -0.0121467171,        0.0003120606,        317625.,   107267.5559472505
 0.38,       -0.0116376184,       -0.0007726507,        330344.,   111512.4234984267
 0.39,       -0.0111114267,        0.0006993189,        342910.,   115793.0797817260
 0.40,       -0.0112215678,        0.0001519271,        355617.,   120032.4750829705
 0.41,       -0.0108331979,       -0.0003604246,        368999.,   124630.0587782555
 0.42,       -0.0102396525,       -0.0001892614,        381920.,   129056.6247913819
 0.43,       -0.0108491935,        0.0000646277,        397191.,   134222.5291092683
 0.44,       -0.0093678504,        0.0003725659,        410104.,   138805.0344487777
 0.45,       -0.0100025735,        0.0005939029,        424809.,   143524.9396804653
 0.46,       -0.0093948469,       -0.0002561585,        437190.,   147873.6595521925
 0.47,       -0.0092341873,       -0.0000848181,        452439.,   152896.6341015151
 0.48,       -0.0094815442,       -0.0000115659,        468100.,   158230.9360223980
 0.49,       -0.0093739670,        0.0001880852,        482263.,   163068.9327874974
 0.50,       -0.0100279008,       -0.0001142657,        498740.,   168652.9691442820
 0.51,       -0.0085436134,        0.0008088111,        513506.,   173877.8059698872
 0.52,       -0.0082147254,        0.0000417371,        529178.,   179027.9620934453
 0.53,       -0.0079047882,        0.0000714783,        543934.,   184091.3300140081
 0.54,       -0.0075967821,        0.0000377334,        560553.,   189715.0602940549
 0.55,       -0.0078171267,       -0.0002924650,        575643.,   194840.8518650575
 0.56,       -0.0079586385,       -0.0001394179,        592686.,   200577.3432131127
 0.57,       -0.0073634835,        0.0003533273,        608687.,   206211.7126669961
 0.58,       -0.0068124949,       -0.0000228959,        625218.,   211831.4731543179
 0.59,       -0.0064405704,        0.0002661325,        641496.,   217590.8262986669
 0.60,       -0.0065693126,        0.0003188098,        659323.,   223500.5504065187
 0.61,       -0.0062491831,        0.0000163871,        677606.,   229760.7839504875
 0.62,       -0.0061650882,        0.0006591299,        694849.,   235728.2053767735
 0.63,       -0.0058710111,       -0.0002981595,        713638.,   241892.3074521432
 0.64,       -0.0057402223,       -0.0006180954,        729491.,   247316.2983591789
 0.65,       -0.0056940146,        0.0002219220,        747718.,   253553.3901182629
 0.66,       -0.0049967787,        0.0001030169,        765814.,   260185.3386704374
 0.67,       -0.0053325180,        0.0003897352,        784712.,   266647.1100828111
 0.68,       -0.0054941447,        0.0001772749,        805933.,   273965.7635407443
 0.69,       -0.0051180200,        0.0002765099,        822550.,   279755.9537610158
 0.70,       -0.0050769492,       -0.0001339215,        841941.,   286216.5325691351
 0.71,       -0.0040611133,       -0.0000760187,        860950.,   292761.4080796023
 0.72,       -0.0039815080,        0.0003378081,        881185.,   299813.5953810778
 0.73,       -0.0038049768,        0.0000723412,        900947.,   306828.1594936047
 0.74,       -0.0038765047,       -0.0005571432,        919074.,   312805.0614619891
 0.75,       -0.0037276223,        0.0003575690,        941012.,   320345.1375106467
 0.76,       -0.0033809093,        0.0003858717,        960724.,   326854.3176879931
 0.77,       -0.0035358524,        0.0000775929,        980990.,   334169.3200070270
 0.78,       -0.0035313004,        0.0000921012,       1001673.,   341261.2603395708
 0.79,       -0.0034189169,       -0.0001532807,       1023470.,   348547.4361146472
 0.80,       -0.0025893069,       -0.0000932777,       1045413.,   356473.0186090662
 0.81,       -0.0033568959,       -0.0004207610,       1065233.,   363023.4916268085
 0.82,       -0.0025649091,       -0.0000825828,       1088212.,   371648.9962444566
 0.83,       -0.0025544192,       -0.0002099385,       1111294.,   379094.5014551228
 0.84,       -0.0023514311,       -0.0000068618,       1131297.,   386187.1068818169
 0.85,       -0.0020492972,       -0.0000131816,       1155040.,   394434.0581492085
 0.86,       -0.0018912270,        0.0000071618,       1176885.,   402097.9463160449
 0.87,       -0.0018004494,        0.0001503421,       1201089.,   410021.5392576841
 0.88,       -0.0022225158,       -0.0004288606,       1221441.,   417408.4269308766
 0.89,       -0.0010671358,       -0.0000546638,       1244136.,   425234.5323571354
 0.90,       -0.0016313208,        0.0000914574,       1270653.,   434647.3254656886
 0.91,       -0.0011633361,       -0.0004275423,       1292371.,   442019.6649549567
 0.92,       -0.0012154677,        0.0000291331,       1316845.,   450676.4883761858
 0.93,       -0.0010083919,        0.0000781967,       1341679.,   458941.9180981035
 0.94,       -0.0010302828,        0.0001060398,       1367129.,   468300.7237402694
 0.95,       -0.0010899046,        0.0001258582,       1390272.,   476508.5938083125
 0.96,       -0.0008127464,       -0.0000791664,       1412359.,   484005.2656969317
 0.97,       -0.0003433272,       -0.0004931490,       1441107.,   494832.3603599275
 0.98,       -0.0005510974,        0.0003242156,       1464727.,   502401.9859176966
 0.99,        0.0000645545,        0.0001824342,       1489120.,   511121.4123416101
 1.00,       -0.0002733815,       -0.0000676296,       1513157.,   519923.2553133398
