mu, q, u, number, w_total
 0.01,       -0.0370550972,       -0.0006996374,          4306.,     1632.7001574384
 0.02,       -0.0431652755,        0.0007561240,         11333.,     4890.5541285670
 0.03,       -0.0399386450,       -0.0030540260,         19006.,     8413.6399782715
 0.04,       -0.0418824105,        0.0019933028,         26913.,    12041.6152556394
 0.05,       -0.0384732897,       -0.0004232916,         35030.,    15714.8963360146
 0.06,       -0.0370836796,        0.0018423837,         44163.,    19987.2640735304
 0.07,       -0.0363171847,       -0.0015236790,         53279.,    24079.4572329220
 0.08,       -0.0351116281,       -0.0011064737,         62589.,    28395.6079451958
 0.09,       -0.0326831160,        0.0018394652,         72563.,    32938.3900656939
 0.10,       -0.0361381650,       -0.0010202255,         82425.,    37543.1842868168
 0.11,       -0.0323106149,        0.0000848679,         93018.,    42457.6409559970
 0.12,       -0.0324698227,       -0.0012026612,        104228.,    47549.6245933638
 0.13,       -0.0329038552,        0.0006370767,        115328.,    52705.6889088576
 0.14,       -0.0301140588,        0.0000528414,        126442.,    57486.7812497121
 0.15,       -0.0288905720,        0.0011234720,        139095.,    63599.0068586393
 0.16,       -0.0293738776,        0.0002010493,        150449.,    68614.9948000525
 0.17,       -0.0276386596,        0.0014051737,        162740.,    74237.5481028452
 0.18,       -0.0279848198,        0.0000150302,        175375.,    80065.6300493857
 0.19,       -0.0254855431,       -0.0006500018,        189008.,    86341.9181214256
 0.20,       -0.0247540844,        0.0007208376,        203723.,    93224.7281005221
 0.21,       -0.0251014378,       -0.0001507469,        216169.,    98961.2457900649
 0.22,       -0.0247319538,        0.0008434808,        230321.,   105310.8086479881
 0.23,       -0.0230450682,       -0.0001401461,        244136.,   111617.4632477645
 0.24,       -0.0242270007,        0.0005556069,        258714.,   118413.1484224489
 0.25,       -0.0235473225,        0.0007356051,        274004.,   125286.0870253648
 0.26,       -0.0224926952,       -0.0002038739,        290031.,   132871.6455037828
 0.27,       -0.0211479363,       -0.0002517603,        305775.,   139992.4867024937
 0.28,       -0.0203672666,        0.0005835463,        321012.,   147096.6057780749
 0.29,       -0.0200069852,       -0.0006093043,        336453.,   154160.3106854943
 0.30,       -0.0216492375,       -0.0004379592,        353887.,   162077.3586195712
 0.31,       -0.0190425673,       -0.0005327337,        371004.,   170290.4731721599
 0.32,       -0.0196984792,        0.0008182499,        388156.,   177872.7261285095
 0.33,       -0.0196856580,        0.0009532919,        406213.,   186305.3110944279
 0.34,       -0.0168566745,        0.0003634475,        424555.,   194477.2735146039
 0.35,       -0.0180108296,       -0.0009233599,        440945.,   202038.4702532331
 0.36,       -0.0164588447,        0.0010124887,        459610.,   210836.2066803823
 0.37,       -0.0163649027,       -0.0004450044,        479025.,   219648.7910014430
 0.38,       -0.0166292038,        0.0001205011,        497330.,   228491.8486930933
 0.39,       -0.0159240358,        0.0011169027,        515602.,   236760.5256365363
 0.40,       -0.0158119434,       -0.0000617556,        534667.,   245434.1738430844
 0.41,       -0.0150120487,        0.0000505811,        557068.,   255971.2512801237
 0.42,       -0.0143075197,        0.0010365977,        576764.,   265025.8705097183
 0.43,       -0.0145219351,        0.0003639798,        595883.,   273622.9499519288
 0.44,       -0.0136254765,       -0.0000233582,        617539.,   283485.1828657947
 0.45,       -0.0141415351,        0.0000335934,        639267.,   293867.6696492647
 0.46,       -0.0133683553,       -0.0002952680,        660000.,   303407.2546101426
 0.47,       -0.0121325259,        0.0003210663,        683547.,   314108.1705400836
 0.48,       -0.0132420190,        0.0001665102,        703507.,   323377.6693385643
 0.49,       -0.0126355884,        0.0005381307,        726460.,   334157.3605442792
 0.50,       -0.0117353161,        0.0003643342,        750709.,   345065.4982862274
 0.51,       -0.0111740159,       -0.0001397839,        771500.,   354706.4259179447
 0.52,       -0.0114263546,       -0.0001508507,        794003.,   365622.9301710225
 0.53,       -0.0107165346,        0.0006934705,        818825.,   376773.0458944789
 0.54,       -0.0106503163,       -0.0001726317,        843264.,   388513.9378825034
 0.55,       -0.0103855436,       -0.0010086285,        867179.,   399763.9596070308
 0.56,       -0.0104298032,        0.0004038465,        891713.,   410757.8850236193
 0.57,       -0.0090629062,        0.0002266147,        915525.,   421708.9433339911
 0.58,       -0.0095035024,        0.0000166300,        943398.,   434760.2945704193
 0.59,       -0.0097828314,       -0.0003169147,        965599.,   445065.5592891057
 0.60,       -0.0087048438,       -0.0002668283,        992374.,   457553.7304572061
 0.61,       -0.0086870761,       -0.0002586527,       1019625.,   470501.8587240780
 0.62,       -0.0083412864,       -0.0002884243,       1044883.,   481994.6955240787
 0.63,       -0.0080638255,       -0.0001151723,       1072741.,   495332.7191290338
 0.64,       -0.0080876755,       -0.0003071519,       1097621.,   506931.9955687023
 0.65,       -0.0073665441,        0.0003179356,       1126215.,   520010.8411343346
 0.66,       -0.0068020903,       -0.0000833636,       1153241.,   532600.2902828669
 0.67,       -0.0069398345,        0.0006079546,       1179805.,   545131.7623248042
 0.68,       -0.0063017676,       -0.0002447217,       1209005.,   558862.7220385987
 0.69,       -0.0061088418,        0.0004818836,       1236916.,   571907.0155581729
 0.70,       -0.0067070668,        0.0002936619,       1265547.,   585391.8620689294
 0.71,       -0.0058519071,        0.0004237613,       1294941.,   599160.8090471736
 0.72,       -0.0057361121,       -0.0001098808,       1324810.,   613579.5524299296
 0.73,       -0.0054113838,       -0.0001273844,       1355906.,   628078.2666662264
 0.74,       -0.0057880219,       -0.0001554534,       1385114.,   641424.5692159773
 0.75,       -0.0051464752,        0.0003015331,       1414964.,   655820.0527003950
 0.76,       -0.0045331529,       -0.0000448672,       1444748.,   670247.4694164911
 0.77,       -0.0047893692,       -0.0001729737,       1479277.,   685828.8559801618
 0.78,       -0.0043240047,        0.0003967455,       1506200.,   699167.9861944916
 0.79,       -0.0044610521,        0.0000093472,       1540912.,   715192.0542062146
 0.80,       -0.0042901682,        0.0001687621,       1571574.,   729550.3777989207
 0.81,       -0.0036733998,       -0.0000741704,       1601257.,   743356.9613914350
 0.82,       -0.0041835498,       -0.0002207248,       1632823.,   758385.3383603949
 0.83,       -0.0031135433,        0.0001058357,       1666490.,   774878.0401767313
 0.84,       -0.0034834263,       -0.0001604334,       1701518.,   790971.5418008643
 0.85,       -0.0027085674,       -0.0000254282,       1732112.,   806368.0558728268
 0.86,       -0.0028172068,       -0.0000901544,       1766736.,   822777.8471883559
 0.87,       -0.0020682160,        0.0000999392,       1800272.,   838193.8542925064
 0.88,       -0.0020935125,       -0.0000328405,       1836773.,   855684.3937307496
 0.89,       -0.0022774129,        0.0000483100,       1872557.,   872878.3140699352
 0.90,       -0.0019931787,        0.0005333333,       1900459.,   886333.2275957589
 0.91,       -0.0016618500,       -0.0005160240,       1940453.,   905094.1798968440
 0.92,       -0.0012839077,       -0.0002542929,       1975979.,   921757.9792992792
 0.93,       -0.0013946540,       -0.0000509375,       2010137.,   938224.4218549725
 0.94,       -0.0015891060,       -0.0002197079,       2050007.,   957709.1345998266
 0.95,       -0.0012064431,        0.0001388611,       2085159.,   974127.1928201548
 0.96,       -0.0009248353,        0.0002508076,       2119889.,   991135.2083933384
 0.97,       -0.0005389677,        0.0002163432,       2159159.,  1010070.3446947989
 0.98,       -0.0004242201,        0.0001486431,       2194759.,  1027641.2717215648
 0.99,       -0.0001188809,       -0.0001203463,       2233599.,  1045736.1155669098
 1.00,        0.0001862229,       -0.0001101633,       2271100.,  1064152.3060926648
