mu, q, u, number, w_total
 0.01,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.02,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.03,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.04,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.05,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.06,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.07,                 NaN,                 NaN,             0.,        0.0000000000
 0.08,                 NaN,                 NaN,             0.,        0.0000000000
 0.09,                 NaN,                 NaN,             0.,        0.0000000000
 0.10,                 NaN,                 NaN,             0.,        0.0000000000
 0.11,                 NaN,                 NaN,             0.,        0.0000000000
 0.12,                 NaN,                 NaN,             0.,        0.0000000000
 0.13,                 NaN,                 NaN,             0.,        0.0000000000
 0.14,                 NaN,                 NaN,             0.,        0.0000000000
 0.15,                 NaN,                 NaN,             0.,        0.0000000000
 0.16,                 NaN,                 NaN,             0.,        0.0000000000
 0.17,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.18,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.19,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.20,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.21,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.22,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.23,                 NaN,                 NaN,             0.,        0.0000000000
 0.24,                 NaN,                 NaN,             0.,        0.0000000000
 0.25,                 NaN,                 NaN,             0.,        0.0000000000
 0.26,                 NaN,                 NaN,             0.,        0.0000000000
 0.27,                 NaN,                 NaN,             0.,        0.0000000000
 0.28,                 NaN,                 NaN,             0.,        0.0000000000
 0.29,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.30,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.31,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.32,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.33,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.34,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.35,                 NaN,                 NaN,             0.,        0.0000000000
 0.36,                 NaN,                 NaN,             0.,        0.0000000000
 0.37,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.38,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.39,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.40,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.41,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.42,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.43,                 NaN,                 NaN,             0.,        0.0000000000
 0.44,                 NaN,                 NaN,             0.,        0.0000000000
 0.45,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.46,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.47,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.48,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.49,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.50,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.51,                 NaN,                 NaN,             0.,        0.0000000000
 0.52,                 NaN,                 NaN,             0.,        0.0000000000
 0.53,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.54,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.55,        0.0000000000,        0.0000000000,             0.,        0.0000000000
 0.56,       -0.0000000000,       -0.0000000000,            -0.,        0.0000000000
 0.57,                 NaN,                 NaN,             0.,        0.0000000000
 0.58,                 NaN,                 NaN,             0.,        0.0000000000
 0.59,        0.0000000000,        0.0000000000,             0.,        0.0000000000
