mu, q, u, number, w_total
 0.01,       -0.0418123921,       -0.0045826476,          3765.,     1436.0432526816
 0.02,       -0.0374102419,       -0.0045948164,         11690.,     4486.4951065792
 0.03,       -0.0325376623,        0.0045295072,         20376.,     7833.2758835681
 0.04,       -0.0349892725,        0.0008888979,         29198.,    11176.6957389201
 0.05,       -0.0324931154,        0.0021034207,         38984.,    14988.4817314683
 0.06,       -0.0318956198,       -0.0001891385,         48355.,    18587.7666174124
 0.07,       -0.0297443929,       -0.0023995664,         59079.,    22620.5803513227
 0.08,       -0.0309974320,       -0.0003477781,         69436.,    26678.8818785132
 0.09,       -0.0293488592,       -0.0008540317,         80572.,    30979.0204695451
 0.10,       -0.0277155820,        0.0010453454,         91661.,    35153.1110628714
 0.11,       -0.0258743992,       -0.0010956285,        104035.,    39915.4505479799
 0.12,       -0.0238709089,       -0.0001591389,        116795.,    44955.2839394606
 0.13,       -0.0238077870,       -0.0008290283,        129198.,    49597.3080831103
 0.14,       -0.0236370546,        0.0004129897,        141906.,    54371.2958521407
 0.15,       -0.0229936060,        0.0011205250,        155134.,    59711.2394658525
 0.16,       -0.0229314727,        0.0007670846,        168964.,    64681.6646619055
 0.17,       -0.0231040169,       -0.0001335772,        182700.,    70108.5519731468
 0.18,       -0.0220347234,        0.0008031208,        197378.,    75805.9726590120
 0.19,       -0.0215019143,        0.0001442397,        211955.,    81076.1718936891
 0.20,       -0.0207857642,       -0.0005727405,        227304.,    87137.8961728835
 0.21,       -0.0191703869,        0.0007433353,        242604.,    93126.1348130058
 0.22,       -0.0185954493,       -0.0001992067,        258435.,    99178.7686726689
 0.23,       -0.0182302959,        0.0016110137,        275144.,   105555.9905729951
 0.24,       -0.0177079780,       -0.0007603857,        291016.,   111801.3686967130
 0.25,       -0.0173624994,        0.0001526359,        308281.,   118483.2637052206
 0.26,       -0.0170092451,       -0.0002799567,        325413.,   124784.6443841199
 0.27,       -0.0167473777,        0.0000351966,        342679.,   131612.8053498503
 0.28,       -0.0158620087,       -0.0004429535,        361771.,   138688.5356757337
 0.29,       -0.0157930699,       -0.0000829888,        378961.,   145504.6356436669
 0.30,       -0.0147753611,        0.0005007061,        397786.,   152600.1135208963
 0.31,       -0.0153658397,        0.0000276250,        417007.,   160089.6272514026
 0.32,       -0.0152969312,       -0.0003828006,        436030.,   167565.6814564511
 0.33,       -0.0146151106,        0.0002038632,        455215.,   174868.4293151605
 0.34,       -0.0136257960,        0.0011055651,        476749.,   183185.0689012692
 0.35,       -0.0137117162,        0.0004302693,        496463.,   190786.6216547494
 0.36,       -0.0133984022,        0.0002702771,        516380.,   198316.3871993541
 0.37,       -0.0129603181,        0.0004223387,        538755.,   207127.8293539457
 0.38,       -0.0119015196,       -0.0009542565,        558767.,   214838.7405226092
 0.39,       -0.0121016341,       -0.0003317332,        581781.,   223555.2303616083
 0.40,       -0.0113158552,        0.0004231581,        602616.,   231198.2302465888
 0.41,       -0.0117270945,        0.0002154617,        624611.,   239852.6707467754
 0.42,       -0.0110821692,        0.0001189117,        648118.,   249057.8800978219
 0.43,       -0.0102782501,        0.0002596477,        672406.,   258500.5566032359
 0.44,       -0.0101996696,        0.0001270718,        694575.,   267010.9404507445
 0.45,       -0.0105273205,        0.0005014365,        718986.,   276255.6373083788
 0.46,       -0.0101535325,        0.0003373070,        743822.,   285751.8663974936
 0.47,       -0.0098276722,        0.0007533845,        766241.,   294384.1827658818
 0.48,       -0.0095129023,       -0.0001710859,        791962.,   304127.6622215129
 0.49,       -0.0092442721,        0.0005726963,        817633.,   314824.1412600819
 0.50,       -0.0081065987,       -0.0002922055,        842724.,   324127.8491174408
 0.51,       -0.0086080057,        0.0004808480,        868590.,   334354.0432706263
 0.52,       -0.0081392463,       -0.0005469101,        893723.,   343933.0055344650
 0.53,       -0.0084773900,        0.0005612153,        922321.,   355185.6650010441
 0.54,       -0.0083839284,       -0.0002880886,        947671.,   364683.4908382891
 0.55,       -0.0069042334,       -0.0005039456,        975627.,   375303.2194647253
 0.56,       -0.0076916649,       -0.0003404939,       1002227.,   385454.4423057607
 0.57,       -0.0074856334,       -0.0002188776,       1030681.,   397060.1901675408
 0.58,       -0.0068052417,       -0.0001242609,       1057081.,   407226.7687092958
 0.59,       -0.0069184857,        0.0002250759,       1086977.,   418303.5695388511
 0.60,       -0.0065837504,       -0.0004571912,       1115444.,   429784.3648690073
 0.61,       -0.0064730056,        0.0002019673,       1146163.,   441549.9545658882
 0.62,       -0.0059882767,       -0.0004294170,       1172990.,   451454.4479663175
 0.63,       -0.0057728973,       -0.0002149615,       1203789.,   463548.9735504609
 0.64,       -0.0062245832,        0.0003729524,       1235299.,   476000.5992279694
 0.65,       -0.0058339707,       -0.0002797212,       1266414.,   488011.6771029023
 0.66,       -0.0056737037,        0.0000252336,       1295699.,   499155.3585407799
 0.67,       -0.0052178927,        0.0004420333,       1327082.,   512176.0966405551
 0.68,       -0.0048023314,        0.0004614374,       1360397.,   524959.4191032887
 0.69,       -0.0047123704,        0.0003180094,       1393695.,   537354.8471965360
 0.70,       -0.0045152312,       -0.0000563396,       1423324.,   548720.6764726108
 0.71,       -0.0047859356,       -0.0001689310,       1457713.,   562698.0127866326
 0.72,       -0.0041228181,        0.0002381891,       1490575.,   575331.7527582322
 0.73,       -0.0037376313,        0.0002685335,       1521252.,   587483.1063190203
 0.74,       -0.0036316985,       -0.0001611813,       1557432.,   601352.3048596077
 0.75,       -0.0040550540,        0.0004533778,       1590401.,   613301.7296888637
 0.76,       -0.0036570511,       -0.0001300038,       1621833.,   626220.9007747956
 0.77,       -0.0032898815,       -0.0002442278,       1659447.,   641232.1415519966
 0.78,       -0.0031373847,        0.0000988219,       1694423.,   654381.0060223570
 0.79,       -0.0027337825,        0.0001438246,       1728301.,   667811.7762438382
 0.80,       -0.0032547523,        0.0006849333,       1763336.,   681832.9245462967
 0.81,       -0.0026115197,       -0.0002543302,       1799881.,   695568.5177345329
 0.82,       -0.0022824074,       -0.0000036813,       1837722.,   710135.6177946345
 0.83,       -0.0023459450,        0.0000818970,       1873203.,   724455.9628045121
 0.84,       -0.0027869205,        0.0000962449,       1911337.,   739235.0678013741
 0.85,       -0.0019677918,        0.0002992830,       1948203.,   753811.6435170535
 0.86,       -0.0021673574,       -0.0002085744,       1988869.,   769306.1561828956
 0.87,       -0.0017322401,        0.0003408112,       2024708.,   783389.9702888434
 0.88,       -0.0016613215,        0.0002318968,       2063411.,   799408.4406737818
 0.89,       -0.0012534040,       -0.0001546642,       2101239.,   813791.8448811322
 0.90,       -0.0015539719,       -0.0001495000,       2138875.,   828808.5358357802
 0.91,       -0.0016045070,       -0.0005261730,       2179586.,   844595.8608239684
 0.92,       -0.0017147288,       -0.0001000190,       2218691.,   859971.9822044238
 0.93,       -0.0011337680,        0.0001426194,       2260009.,   875765.9030967588
 0.94,       -0.0008284689,       -0.0004174520,       2300896.,   891765.2498097110
 0.95,       -0.0008535373,        0.0003061576,       2339522.,   907635.2719895993
 0.96,       -0.0006751136,        0.0001465078,       2380107.,   923001.2642393849
 0.97,       -0.0001100466,       -0.0001444507,       2424668.,   940530.2861364129
 0.98,       -0.0003632859,        0.0001658300,       2466582.,   957848.9825010109
 0.99,        0.0003774268,       -0.0003555704,       2507283.,   974407.0953108014
 1.00,       -0.0003967154,        0.0002562653,       2550810.,   991368.1294704997
