mu, q, u, number, w_total
 0.01,       -0.0879909188,        0.0109450412,          3789.,     3787.6785250112
 0.02,       -0.0844121023,       -0.0048001856,         11716.,    11712.0012685255
 0.03,       -0.0833927111,       -0.0107576732,         20271.,    20263.9640011741
 0.04,       -0.0833034254,       -0.0013836648,         29294.,    29283.7600068764
 0.05,       -0.0796517663,        0.0046671398,         38763.,    38749.5166940503
 0.06,       -0.0755380201,       -0.0014856651,         48685.,    48668.0937669678
 0.07,       -0.0754187233,       -0.0000517377,         59420.,    59399.4974747107
 0.08,       -0.0730725098,        0.0008315965,         69788.,    69763.9491285976
 0.09,       -0.0696096702,       -0.0016106834,         81219.,    81190.9736186444
 0.10,       -0.0648201279,       -0.0000424258,         92297.,    92265.0826768157
 0.11,       -0.0653828652,        0.0037141339,        104029.,   103992.9441423211
 0.12,       -0.0644914022,        0.0004523923,        116859.,   116818.4078342116
 0.13,       -0.0580338316,       -0.0026886545,        129291.,   129246.3204995279
 0.14,       -0.0553019760,        0.0008465133,        142372.,   142322.5679814370
 0.15,       -0.0551545935,        0.0051605699,        155777.,   155722.8475665799
 0.16,       -0.0529838370,        0.0016910721,        170528.,   170468.9132429824
 0.17,       -0.0540347828,       -0.0008198943,        183273.,   183209.3944114549
 0.18,       -0.0518722290,       -0.0001658242,        197882.,   197813.3759435854
 0.19,       -0.0484023079,        0.0001452427,        212849.,   212775.0135335485
 0.20,       -0.0465999285,       -0.0011468411,        228418.,   228338.8267356251
 0.21,       -0.0452031295,       -0.0005634828,        243780.,   243695.3204833228
 0.22,       -0.0444383639,        0.0036168483,        259612.,   259522.2262771507
 0.23,       -0.0412635585,        0.0017182016,        275623.,   275527.4075779782
 0.24,       -0.0408178288,        0.0025435980,        293149.,   293047.2902919928
 0.25,       -0.0389125017,       -0.0008721332,        309562.,   309454.7518418054
 0.26,       -0.0412396889,        0.0018844642,        325731.,   325617.9648319711
 0.27,       -0.0386499827,       -0.0011930071,        344644.,   344524.4630499664
 0.28,       -0.0355732488,       -0.0011343888,        363198.,   363072.1456031127
 0.29,       -0.0336986573,        0.0007279462,        380640.,   380508.0379420378
 0.30,       -0.0332443617,        0.0002126413,        399572.,   399433.8025282288
 0.31,       -0.0327994418,        0.0009975639,        417640.,   417495.5339895446
 0.32,       -0.0307045966,        0.0002047045,        438806.,   438654.2563550448
 0.33,       -0.0323131060,       -0.0006076077,        458297.,   458138.2250452362
 0.34,       -0.0303406810,       -0.0011445536,        478242.,   478076.6632133279
 0.35,       -0.0306781595,        0.0000367723,        498326.,   498153.4770324093
 0.36,       -0.0291749376,       -0.0012104707,        520121.,   519941.3880409191
 0.37,       -0.0269227219,       -0.0016341244,        541687.,   541499.7199440895
 0.38,       -0.0275473742,       -0.0013775208,        560364.,   560170.4579034408
 0.39,       -0.0257316784,        0.0008964911,        584514.,   584312.2414271719
 0.40,       -0.0221331368,        0.0010935533,        606504.,   606294.7291879423
 0.41,       -0.0254761729,        0.0021535038,        626495.,   626279.3432953334
 0.42,       -0.0234211887,       -0.0001686004,        650364.,   650139.7118084400
 0.43,       -0.0229293253,       -0.0007644503,        675418.,   675184.9943591435
 0.44,       -0.0207670130,        0.0014828235,        697168.,   696927.9212525986
 0.45,       -0.0214686989,        0.0006789223,        721107.,   720858.5313391860
 0.46,       -0.0197216788,       -0.0007351025,        746756.,   746499.1804259419
 0.47,       -0.0202599930,        0.0006063072,        773443.,   773177.2017915566
 0.48,       -0.0180193578,        0.0001158771,        796233.,   795959.4714222522
 0.49,       -0.0189509969,       -0.0013920785,        820762.,   820480.7851794086
 0.50,       -0.0179147982,        0.0000587474,        846186.,   845896.0848259352
 0.51,       -0.0161716972,       -0.0008364662,        873854.,   873554.6833809672
 0.52,       -0.0169706418,       -0.0000844296,        899653.,   899345.3336824989
 0.53,       -0.0142487301,       -0.0001353317,        926234.,   925917.1688344312
 0.54,       -0.0154681860,       -0.0005189123,        952792.,   952466.4918059721
 0.55,       -0.0143165779,       -0.0000347324,        980891.,   980555.7467007430
 0.56,       -0.0126034669,        0.0019305985,       1006561.,  1006217.8846830857
 0.57,       -0.0133140070,        0.0004663928,       1036329.,  1035975.5409531484
 0.58,       -0.0122540620,        0.0012882728,       1064956.,  1064593.7364204545
 0.59,       -0.0119630655,       -0.0016405032,       1092289.,  1091917.2150467120
 0.60,       -0.0111083621,        0.0006418018,       1121258.,  1120877.0421160329
 0.61,       -0.0103343778,       -0.0012068801,       1151857.,  1151466.2033190629
 0.62,       -0.0112677521,        0.0000869393,       1181715.,  1181314.4628155115
 0.63,       -0.0089581031,       -0.0000805546,       1209173.,  1208763.4623078436
 0.64,       -0.0112346952,       -0.0004986518,       1241842.,  1241421.5164022336
 0.65,       -0.0086715533,        0.0008959915,       1271403.,  1270972.9332863116
 0.66,       -0.0085798806,        0.0008744138,       1302218.,  1301778.8123827926
 0.67,       -0.0074544928,       -0.0000259388,       1334166.,  1333715.8978939534
