mu, q, u, number, w_total
 0.01,       -0.0914965408,       -0.0202981497,          3744.,     3734.5617216663
 0.02,       -0.0956451075,       -0.0047465215,         11728.,    11698.3729998515
 0.03,       -0.0841780361,        0.0102757119,         20423.,    20371.6079552988
 0.04,       -0.0869471027,        0.0026284723,         29273.,    29199.0342454117
 0.05,       -0.0814699702,        0.0045295203,         38973.,    38874.6942572510
 0.06,       -0.0777753658,        0.0027010897,         48398.,    48275.9938054689
 0.07,       -0.0760661094,       -0.0019288658,         59130.,    58980.9663193242
 0.08,       -0.0745829667,       -0.0015907766,         69592.,    69416.8860064628
 0.09,       -0.0725947010,        0.0002063794,         80772.,    80569.0785155770
 0.10,       -0.0698038484,        0.0001583407,         91949.,    91716.9349117354
 0.11,       -0.0634473047,       -0.0002594935,        104078.,   103815.5329158994
 0.12,       -0.0613822124,       -0.0046055440,        117148.,   116853.0624475448
 0.13,       -0.0617819133,       -0.0020276929,        129216.,   128889.9584181094
 0.14,       -0.0595610760,       -0.0002531160,        141986.,   141627.8776928694
 0.15,       -0.0570166561,       -0.0006035068,        155280.,   154890.0812145129
 0.16,       -0.0569517410,        0.0022079111,        169450.,   169022.2378717226
 0.17,       -0.0564990536,       -0.0003351797,        183056.,   182594.8421584126
 0.18,       -0.0527438613,        0.0014963407,        197753.,   197255.4464305773
 0.19,       -0.0539813993,        0.0005347991,        212550.,   212012.5477979633
 0.20,       -0.0498716474,       -0.0009797494,        227782.,   227207.0879380183
 0.21,       -0.0482585462,        0.0022913378,        243143.,   242530.7433627328
 0.22,       -0.0459682121,       -0.0018527147,        259055.,   258402.3160433677
 0.23,       -0.0454783577,        0.0028519885,        275713.,   275017.9439921350
 0.24,       -0.0434613195,       -0.0023348416,        291572.,   290836.8390817447
 0.25,       -0.0437401731,       -0.0004163024,        309061.,   308282.6807502966
 0.26,       -0.0406223405,        0.0006961320,        325793.,   324970.3470426287
 0.27,       -0.0403757306,        0.0013618447,        343647.,   342781.2213624660
 0.28,       -0.0388239291,       -0.0010321256,        362659.,   361743.4878230867
 0.29,       -0.0385596513,        0.0013349278,        379345.,   378389.4236840873
 0.30,       -0.0360519775,       -0.0005344979,        398423.,   397417.6321189835
 0.31,       -0.0373048279,       -0.0011974111,        417917.,   416864.9014625447
 0.32,       -0.0370022357,       -0.0002350239,        436842.,   435742.2921404470
 0.33,       -0.0347619830,       -0.0006554112,        455948.,   454799.3479229958
 0.34,       -0.0316730645,        0.0020920602,        477594.,   476390.3777952642
 0.35,       -0.0323170184,       -0.0000657153,        497583.,   496329.5715720286
 0.36,       -0.0317021088,        0.0004762791,        517417.,   516113.7940703499
 0.37,       -0.0312384353,        0.0010329135,        539885.,   538525.0564301494
 0.38,       -0.0283907818,       -0.0012058466,        559870.,   558460.4766737052
 0.39,       -0.0293188485,       -0.0001613144,        582737.,   581269.2761550476
 0.40,       -0.0275920065,        0.0016626476,        603229.,   601708.7308343798
 0.41,       -0.0273972694,        0.0003146750,        625951.,   624374.4809379899
 0.42,       -0.0251246971,        0.0003053699,        649934.,   648297.1612690265
 0.43,       -0.0246474729,        0.0008229792,        674073.,   672376.0853118077
 0.44,       -0.0240747517,        0.0005791035,        695641.,   693888.9929079881
 0.45,       -0.0243728360,        0.0011122160,        720470.,   718654.8434100593
 0.46,       -0.0237986641,        0.0007288125,        745852.,   743972.3349158631
 0.47,       -0.0227204988,        0.0006497378,        768000.,   766066.5923117237
 0.48,       -0.0225666825,       -0.0001462033,        793306.,   791308.4934742020
 0.49,       -0.0219001824,        0.0006015826,        819283.,   817223.5842170434
 0.50,       -0.0179608600,       -0.0005588508,        844574.,   842449.1248157292
 0.51,       -0.0202666102,        0.0009511657,        871219.,   869025.1116021366
 0.52,       -0.0189928120,       -0.0005496000,        895667.,   893415.1093571949
 0.53,       -0.0194090132,        0.0012784410,        923832.,   921509.6115735413
 0.54,       -0.0192890333,       -0.0007820053,        949571.,   947184.4214841793
 0.55,       -0.0162530206,       -0.0008113315,        977660.,   975199.4367839623
 0.56,       -0.0178678124,       -0.0005374096,       1004743.,  1002215.4481531605
 0.57,       -0.0165090803,       -0.0001354896,       1032600.,  1030007.1682717848
 0.58,       -0.0153180668,       -0.0002735934,       1059642.,  1056979.9856350319
 0.59,       -0.0164683976,        0.0003113789,       1090041.,  1087298.8799883553
 0.60,       -0.0145315163,       -0.0005635992,       1117825.,  1115017.5270068180
 0.61,       -0.0150302849,        0.0005519322,       1148358.,  1145471.5281534002
 0.62,       -0.0138631311,       -0.0010253216,       1175727.,  1172769.3621098949
 0.63,       -0.0126515134,        0.0000461288,       1206374.,  1203341.5472777062
 0.64,       -0.0136131402,        0.0006475758,       1237752.,  1234641.6873924769
 0.65,       -0.0136725048,       -0.0004857922,       1268975.,  1265787.2123865208
 0.66,       -0.0129643871,        0.0002502091,       1297851.,  1294587.9816784251
 0.67,       -0.0119967213,        0.0011975509,       1329258.,  1325921.9089567172
 0.68,       -0.0105228797,        0.0009658086,       1362651.,  1359232.2326288160
 0.69,       -0.0107739642,        0.0002393406,       1395978.,  1392473.9609745406
 0.70,       -0.0097864034,        0.0003541898,       1426353.,  1422772.7609933710
 0.71,       -0.0101965948,       -0.0001221000,       1460844.,  1457177.3829784668
 0.72,       -0.0092954712,        0.0004927517,       1493681.,  1489931.8743257194
 0.73,       -0.0080546080,        0.0005866074,       1524817.,  1520989.9149014098
 0.74,       -0.0084184750,       -0.0010371012,       1559938.,  1556024.9433313084
 0.75,       -0.0087587614,        0.0006610121,       1593263.,  1589258.7529811626
 0.76,       -0.0075056252,       -0.0007349316,       1625581.,  1621500.6951748105
 0.77,       -0.0069186223,       -0.0009484074,       1662618.,  1658450.2100563964
 0.78,       -0.0066782249,       -0.0001016910,       1698194.,  1693930.7970578820
 0.79,       -0.0056476229,        0.0004690500,       1731664.,  1727322.7202435040
 0.80,       -0.0068090601,        0.0013881633,       1766953.,  1762525.2858665374
 0.81,       -0.0057315814,        0.0000030172,       1803277.,  1798757.0145954811
 0.82,       -0.0049414206,       -0.0004176434,       1841257.,  1836640.2239643415
 0.83,       -0.0055104370,        0.0003619669,       1877514.,  1872807.9901523979
 0.84,       -0.0058795597,        0.0002903917,       1915025.,  1910227.4686057302
 0.85,       -0.0038689036,        0.0013497850,       1952725.,  1947832.1588346467
 0.86,       -0.0044986582,       -0.0008298348,       1992882.,  1987888.4949493823
 0.87,       -0.0043576850,        0.0010301020,       2028768.,  2023687.6991615733
 0.88,       -0.0035853582,        0.0003713662,       2067599.,  2062421.0193383850
 0.89,       -0.0031876759,       -0.0002153682,       2105415.,  2100142.9305139305
 0.90,       -0.0030808730,       -0.0002081395,       2142709.,  2137347.9556956273
 0.91,       -0.0031339192,       -0.0007477109,       2184136.,  2178671.4821889498
 0.92,       -0.0038271662,       -0.0001566485,       2223746.,  2218181.3497209297
 0.93,       -0.0023025141,        0.0005494901,       2264428.,  2258766.6971084010
 0.94,       -0.0018205064,       -0.0005478111,       2305240.,  2299472.8721009027
 0.95,       -0.0018499009,        0.0002602186,       2343963.,  2338105.8706511320
 0.96,       -0.0012329348,        0.0003461554,       2385793.,  2379826.1166866519
 0.97,       -0.0004708687,       -0.0000041966,       2429631.,  2423554.9239205169
 0.98,       -0.0005924554,        0.0008393494,       2471434.,  2465258.5545704802
 0.99,        0.0005885625,       -0.0005241282,       2512260.,  2505990.0836671637
 1.00,       -0.0006304526,        0.0003169521,       2555770.,  2549393.4882430732
