mu, q, u, number, w_total, t_ave
 0.01,       -0.0227980696,       -0.0007642562,          3628.,      785.1167881325,   35.6469
 0.02,       -0.0226099575,        0.0005597809,         11377.,     2523.6555213558,   35.9281
 0.03,       -0.0184933480,        0.0017000984,         19576.,     4338.7318160961,   36.3963
 0.04,       -0.0203382351,        0.0012675307,         28155.,     6233.2037753162,   36.3724
 0.05,       -0.0206492355,        0.0009029187,         37203.,     8209.4308958966,   36.2829
 0.06,       -0.0189744138,       -0.0006745746,         46475.,    10296.7168586817,   36.2256
 0.07,       -0.0186048078,       -0.0011081116,         56774.,    12536.0536394033,   36.2261
 0.08,       -0.0177903433,       -0.0004019436,         66446.,    14785.6263176143,   36.3974
 0.09,       -0.0179221264,       -0.0000667179,         77074.,    17098.7304756135,   36.4120
 0.10,       -0.0167456624,        0.0009921560,         88718.,    19749.5770962846,   36.3896
 0.11,       -0.0156433772,       -0.0013232915,         99462.,    22040.8782486216,   36.2825
 0.12,       -0.0154201709,        0.0007388482,        111629.,    24777.8122860506,   36.3352
 0.13,       -0.0149555212,       -0.0005170580,        123297.,    27339.5068576027,   36.3302
 0.14,       -0.0133699930,       -0.0000390618,        135907.,    30092.4151675912,   36.3379
 0.15,       -0.0142576659,       -0.0005339789,        148386.,    33064.2651068675,   36.4474
 0.16,       -0.0142743273,        0.0000606036,        162102.,    35884.3356984583,   36.2891
 0.17,       -0.0143279553,        0.0003390736,        175364.,    38983.0009588321,   36.3692
 0.18,       -0.0127597542,       -0.0001331321,        188968.,    42006.4366586123,   36.4200
 0.19,       -0.0135234779,       -0.0001280209,        203137.,    45113.7111983777,   36.4078
 0.20,       -0.0126649448,       -0.0002492184,        217385.,    48173.2762463878,   36.3639
 0.21,       -0.0116579174,       -0.0000509771,        231844.,    51396.7509533574,   36.3802
 0.22,       -0.0111174019,       -0.0008660558,        247236.,    54788.4342563274,   36.3674
 0.23,       -0.0109408582,        0.0000940312,        263206.,    58331.9928294803,   36.3830
 0.24,       -0.0103139255,        0.0006831179,        278482.,    61726.1980142800,   36.3222
 0.25,       -0.0114868000,        0.0004214293,        295007.,    65410.5096434521,   36.3447
 0.26,       -0.0101182563,       -0.0004379602,        311916.,    69082.1666915583,   36.2978
 0.27,       -0.0097630325,        0.0005749135,        328061.,    72869.6161544905,   36.4149
 0.28,       -0.0098251419,        0.0000952802,        346266.,    76653.9517282518,   36.3161
 0.29,       -0.0104417180,        0.0004266266,        363351.,    80672.2722958232,   36.3341
 0.30,       -0.0096677825,        0.0000883349,        381681.,    84487.6170686205,   36.3119
 0.31,       -0.0093634036,       -0.0002843144,        399874.,    88628.2675406933,   36.3501
 0.32,       -0.0094021640,        0.0004458652,        417130.,    92598.9780985229,   36.3361
 0.33,       -0.0093632453,        0.0004980542,        436654.,    96850.6790160022,   36.3470
 0.34,       -0.0086964581,       -0.0001462627,        455658.,   101132.8458669733,   36.3454
 0.35,       -0.0082406251,        0.0003015937,        475368.,   105449.3720349535,   36.3464
 0.36,       -0.0082454937,       -0.0000477337,        494919.,   109931.0029590563,   36.3296
 0.37,       -0.0081997282,        0.0004236439,        515244.,   114336.1172288428,   36.3416
 0.38,       -0.0076583879,       -0.0002570309,        535538.,   119014.1816579499,   36.3607
 0.39,       -0.0075528451,       -0.0001668444,        556402.,   123631.3725476211,   36.3313
 0.40,       -0.0069436476,        0.0000265356,        577666.,   128228.7668143213,   36.3383
 0.41,       -0.0069820371,       -0.0001390988,        598999.,   133319.7820971384,   36.3535
 0.42,       -0.0072740964,       -0.0001665774,        620688.,   137688.5815016627,   36.2935
 0.43,       -0.0067698545,       -0.0000397281,        644232.,   143080.4732815310,   36.3130
 0.44,       -0.0067293352,       -0.0000697262,        664568.,   147729.1248135548,   36.3015
 0.45,       -0.0066201662,        0.0001919146,        688503.,   153083.0366143061,   36.3256
 0.46,       -0.0062263922,        0.0000969594,        712566.,   158341.9871431068,   36.2974
 0.47,       -0.0055874615,        0.0001496420,        734118.,   163140.9627315991,   36.2990
 0.48,       -0.0057021223,       -0.0002343396,        757903.,   168497.9241681590,   36.2913
 0.49,       -0.0061763084,        0.0005229111,        783434.,   174534.6920016189,   36.3418
 0.50,       -0.0055209290,       -0.0002384355,        806921.,   179682.4673556529,   36.2935
 0.51,       -0.0054046530,        0.0000795788,        831732.,   185036.8271160249,   36.3038
 0.52,       -0.0054530038,       -0.0001157057,        855994.,   190493.5042212893,   36.2673
