mu, q, u, number
       0.010000,      -0.099916,       0.000463,          3886.
       0.020000,      -0.112475,      -0.008095,         11764.
       0.030000,      -0.088816,      -0.003639,         20321.
       0.040000,      -0.087429,      -0.005626,         29214.
       0.050000,      -0.078638,      -0.003467,         39042.
       0.060000,      -0.076777,       0.006284,         48898.
       0.070000,      -0.071205,       0.003019,         59391.
       0.080000,      -0.066374,       0.005656,         69845.
       0.090000,      -0.065790,       0.004279,         81247.
       0.100000,      -0.066303,      -0.002318,         92135.
       0.110000,      -0.064299,      -0.000070,        104370.
       0.120000,      -0.062968,      -0.000642,        117121.
       0.130000,      -0.057960,       0.000857,        129837.
       0.140000,      -0.057400,      -0.001598,        142147.
       0.150000,      -0.056715,       0.002602,        156050.
       0.160000,      -0.054428,      -0.000564,        169826.
       0.170000,      -0.051311,      -0.000938,        183977.
       0.180000,      -0.052598,       0.002761,        198777.
       0.190000,      -0.048109,       0.001987,        212777.
       0.200000,      -0.046350,       0.000451,        228264.
       0.210000,      -0.045339,       0.002749,        244290.
       0.220000,      -0.044437,       0.000607,        259184.
       0.230000,      -0.044003,       0.000489,        274991.
       0.240000,      -0.043137,       0.001259,        292785.
       0.250000,      -0.041628,      -0.000132,        309669.
       0.260000,      -0.038166,      -0.001504,        327251.
       0.270000,      -0.038037,       0.001468,        343882.
       0.280000,      -0.035935,       0.000188,        363153.
       0.290000,      -0.034753,      -0.002521,        381635.
       0.300000,      -0.033080,       0.000337,        400186.
       0.310000,      -0.033646,      -0.001221,        418411.
       0.320000,      -0.032092,      -0.002145,        438910.
       0.330000,      -0.030209,      -0.000848,        458506.
       0.340000,      -0.029089,      -0.000182,        477604.
       0.350000,      -0.029419,       0.000462,        498568.
       0.360000,      -0.028609,      -0.000590,        518706.
       0.370000,      -0.028298,      -0.000063,        540090.
       0.380000,      -0.029068,       0.000904,        562111.
       0.390000,      -0.026168,       0.000913,        583857.
       0.400000,      -0.024095,       0.000590,        605828.
       0.410000,      -0.023345,       0.000734,        629604.
       0.420000,      -0.023520,      -0.000337,        649516.
       0.430000,      -0.022318,      -0.000791,        673777.
       0.440000,      -0.021810,      -0.000487,        697754.
       0.450000,      -0.022563,       0.000512,        721636.
       0.460000,      -0.021497,      -0.000832,        745393.
       0.470000,      -0.020907,      -0.000623,        770773.
       0.480000,      -0.018833,      -0.000327,        796630.
       0.490000,      -0.018394,      -0.000217,        820800.
       0.500000,      -0.017255,       0.000089,        846155.
       0.510000,      -0.018225,       0.000132,        873093.
       0.520000,      -0.016472,      -0.000484,        897890.
       0.530000,      -0.015545,       0.000766,        925213.
       0.540000,      -0.015434,      -0.000340,        952699.
       0.550000,      -0.016122,      -0.000929,        979534.
       0.560000,      -0.013906,       0.001091,       1006635.
       0.570000,      -0.013226,      -0.000855,       1036758.
       0.580000,      -0.012151,      -0.000907,       1064559.
       0.590000,      -0.013861,      -0.001156,       1093705.
       0.600000,      -0.011431,       0.001014,       1120760.
       0.610000,      -0.010403,      -0.000445,       1150426.
       0.620000,      -0.012025,       0.000403,       1181542.
       0.630000,      -0.010655,      -0.000981,       1210694.
       0.640000,      -0.010084,       0.000210,       1239464.
       0.650000,      -0.009396,      -0.000091,       1269775.
       0.660000,      -0.008990,       0.000138,       1302752.
       0.670000,      -0.009212,       0.000579,       1333829.
       0.680000,      -0.007629,       0.000596,       1365457.
       0.690000,      -0.006675,       0.000291,       1397204.
       0.700000,      -0.006843,      -0.000683,       1427855.
       0.710000,      -0.007385,      -0.000042,       1462811.
       0.720000,      -0.007208,       0.000046,       1495684.
       0.730000,      -0.005687,      -0.000633,       1528348.
       0.740000,      -0.006291,       0.000801,       1564388.
       0.750000,      -0.004380,       0.001615,       1597374.
       0.760000,      -0.005203,       0.000667,       1630137.
       0.770000,      -0.003931,       0.000545,       1665884.
       0.780000,      -0.004264,      -0.000708,       1698195.
       0.790000,      -0.003403,      -0.000263,       1733519.
       0.800000,      -0.003776,      -0.000446,       1773155.
       0.810000,      -0.003922,      -0.001478,       1805046.
       0.820000,      -0.003719,      -0.000031,       1841467.
       0.830000,      -0.002708,       0.000207,       1877181.
       0.840000,      -0.002694,      -0.000388,       1915070.
       0.850000,      -0.002018,       0.000541,       1952319.
       0.860000,      -0.001976,       0.000528,       1991004.
       0.870000,      -0.001693,      -0.000779,       2025235.
       0.880000,      -0.001819,      -0.000181,       2064133.
       0.890000,      -0.001753,       0.000310,       2101308.
       0.900000,      -0.002002,       0.000987,       2140076.
       0.910000,      -0.001461,      -0.000497,       2180459.
       0.920000,      -0.001113,      -0.000309,       2215552.
       0.930000,      -0.000954,       0.000463,       2257409.
       0.940000,      -0.000868,       0.000427,       2293837.
       0.950000,      -0.000528,      -0.000556,       2334750.
       0.960000,      -0.000824,      -0.000094,       2374234.
       0.970000,      -0.000744,       0.000275,       2415458.
       0.980000,      -0.000379,       0.000417,       2454728.
       0.990000,      -0.000154,       0.000259,       2497413.
       1.000000,      -0.000238,      -0.000430,       2533438.
