mu, q, u, number
       0.010000,      -0.078880,      -0.003632,          3838.
       0.020000,      -0.081743,       0.013686,         11724.
       0.030000,      -0.092765,       0.001394,         20506.
       0.040000,      -0.080916,       0.001677,         29314.
       0.050000,      -0.082816,       0.002050,         38926.
       0.060000,      -0.076923,      -0.006790,         48744.
       0.070000,      -0.072231,       0.004213,         59420.
       0.080000,      -0.073827,      -0.002584,         70113.
       0.090000,      -0.071265,       0.000312,         80864.
       0.100000,      -0.072647,       0.001216,         92412.
       0.110000,      -0.063088,       0.000003,        104958.
       0.120000,      -0.064297,       0.001677,        116689.
       0.130000,      -0.058296,      -0.000763,        129674.
       0.140000,      -0.059884,       0.000162,        142941.
       0.150000,      -0.055395,       0.001173,        156670.
       0.160000,      -0.052081,      -0.000606,        169550.
       0.170000,      -0.051100,       0.000075,        183843.
       0.180000,      -0.050091,      -0.000081,        198405.
       0.190000,      -0.047932,       0.003162,        213397.
       0.200000,      -0.045373,       0.000009,        228705.
       0.210000,      -0.045573,      -0.001165,        243680.
       0.220000,      -0.044395,       0.002604,        260193.
       0.230000,      -0.042305,      -0.000506,        275936.
       0.240000,      -0.039493,      -0.001088,        292403.
       0.250000,      -0.039052,      -0.000134,        309820.
       0.260000,      -0.038086,      -0.001161,        326487.
       0.270000,      -0.038689,      -0.001304,        344162.
       0.280000,      -0.038013,       0.000194,        362677.
       0.290000,      -0.037650,      -0.000083,        380960.
       0.300000,      -0.034634,      -0.000843,        399125.
       0.310000,      -0.034700,       0.002343,        419160.
       0.320000,      -0.032263,      -0.001422,        437404.
       0.330000,      -0.032636,       0.001009,        458360.
       0.340000,      -0.030446,       0.000696,        477342.
       0.350000,      -0.030650,      -0.001089,        497630.
       0.360000,      -0.027640,      -0.001466,        517734.
       0.370000,      -0.029200,       0.000825,        540646.
       0.380000,      -0.027349,       0.000490,        562739.
       0.390000,      -0.027002,       0.000334,        584505.
       0.400000,      -0.026075,      -0.000763,        604918.
       0.410000,      -0.024694,      -0.001692,        628938.
       0.420000,      -0.023155,       0.000610,        650979.
       0.430000,      -0.022779,      -0.000050,        674023.
       0.440000,      -0.022399,       0.000419,        698047.
       0.450000,      -0.021007,       0.001159,        722413.
       0.460000,      -0.021103,      -0.000089,        745823.
       0.470000,      -0.018796,      -0.000386,        770914.
       0.480000,      -0.018770,       0.000433,        796333.
       0.490000,      -0.018162,      -0.000654,        820471.
       0.500000,      -0.017293,       0.000873,        847138.
       0.510000,      -0.017830,      -0.000438,        870820.
       0.520000,      -0.015446,      -0.000886,        899626.
       0.530000,      -0.015387,       0.000204,        926411.
       0.540000,      -0.014978,       0.000047,        951625.
       0.550000,      -0.013436,      -0.000007,        978848.
       0.560000,      -0.014523,       0.000017,       1008207.
       0.570000,      -0.013388,       0.000517,       1036067.
       0.580000,      -0.013260,      -0.000886,       1063985.
       0.590000,      -0.012503,      -0.000392,       1090447.
       0.600000,      -0.011858,       0.000044,       1120258.
       0.610000,      -0.011602,       0.000691,       1149920.
       0.620000,      -0.010857,      -0.000478,       1178637.
       0.630000,      -0.009969,       0.000403,       1209934.
       0.640000,      -0.010183,      -0.001648,       1240063.
       0.650000,      -0.010210,       0.000712,       1270687.
       0.660000,      -0.009018,      -0.000283,       1301775.
       0.670000,      -0.008913,       0.001436,       1333285.
       0.680000,      -0.007902,      -0.000232,       1368182.
       0.690000,      -0.007645,       0.000602,       1398356.
       0.700000,      -0.007236,       0.000277,       1429462.
       0.710000,      -0.006626,      -0.000460,       1462153.
       0.720000,      -0.006424,       0.000204,       1494430.
       0.730000,      -0.006013,       0.000690,       1527772.
       0.740000,      -0.005478,      -0.001085,       1560714.
       0.750000,      -0.005599,      -0.000103,       1594191.
       0.760000,      -0.005156,      -0.001433,       1630152.
       0.770000,      -0.004904,      -0.001067,       1664604.
       0.780000,      -0.003633,       0.000890,       1699676.
       0.790000,      -0.003593,       0.000282,       1735245.
       0.800000,      -0.003140,      -0.000283,       1770201.
       0.810000,      -0.004050,       0.000275,       1808117.
       0.820000,      -0.003388,       0.000026,       1843176.
       0.830000,      -0.002571,       0.000176,       1875299.
       0.840000,      -0.003308,       0.000422,       1914156.
       0.850000,      -0.002728,       0.000129,       1951531.
       0.860000,      -0.001600,      -0.000819,       1988583.
       0.870000,      -0.003122,      -0.000615,       2027356.
       0.880000,      -0.001484,       0.000141,       2066488.
       0.890000,      -0.001308,      -0.000168,       2103261.
       0.900000,      -0.001588,      -0.000407,       2139311.
       0.910000,      -0.001902,       0.000249,       2176131.
       0.920000,      -0.001455,       0.000482,       2217330.
       0.930000,      -0.001315,      -0.000231,       2259093.
       0.940000,      -0.001873,      -0.001001,       2295723.
       0.950000,      -0.000956,       0.000020,       2336874.
       0.960000,      -0.000511,       0.000307,       2376299.
       0.970000,      -0.000483,       0.000875,       2416362.
       0.980000,       0.000389,       0.000122,       2454417.
       0.990000,       0.000118,      -0.000497,       2496034.
       1.000000,       0.000187,       0.000463,       2537073.
