mu, q, u, number, w_total, t_ave
 0.01,        0.0400708651,       -0.0032463529,          4381.,     4381.0000000000,    6.1904
 0.02,        0.0351595383,        0.0132962782,         13606.,    13606.0000000000,    6.2166
 0.03,        0.0319978354,        0.0035162868,         23704.,    23704.0000000000,    6.2261
 0.04,        0.0445182702,        0.0051137249,         34430.,    34430.0000000000,    6.1988
 0.05,        0.0458236886,        0.0008944788,         45424.,    45424.0000000000,    6.2105
 0.06,        0.0514265595,        0.0019049031,         57009.,    57009.0000000000,    6.2559
 0.07,        0.0572000292,        0.0023163644,         69585.,    69585.0000000000,    6.2251
 0.08,        0.0557039141,        0.0009714799,         82083.,    82083.0000000000,    6.2160
 0.09,        0.0607100769,       -0.0020446441,         95519.,    95519.0000000000,    6.2172
 0.10,        0.0662124852,        0.0025472448,        109670.,   109670.0000000000,    6.2349
 0.11,        0.0674168935,       -0.0013397896,        124654.,   124654.0000000000,    6.2077
 0.12,        0.0702976612,        0.0020909853,        139278.,   139278.0000000000,    6.1876
 0.13,        0.0709458635,       -0.0010726966,        155062.,   155062.0000000000,    6.1871
 0.14,        0.0708204099,        0.0000263547,        171308.,   171308.0000000000,    6.1355
 0.15,        0.0772921960,       -0.0001613896,        189691.,   189691.0000000000,    6.1060
 0.16,        0.0765572299,       -0.0010078444,        206930.,   206930.0000000000,    6.0700
 0.17,        0.0794844062,        0.0008722627,        225466.,   225466.0000000000,    6.0280
 0.18,        0.0798069488,       -0.0016007171,        244617.,   244617.0000000000,    5.9701
 0.19,        0.0823938351,       -0.0024301687,        265242.,   265242.0000000000,    5.9047
 0.20,        0.0818176447,        0.0013740273,        286834.,   286834.0000000000,    5.8586
 0.21,        0.0835796073,        0.0013108422,        308161.,   308161.0000000000,    5.8104
 0.22,        0.0860003945,        0.0004260874,        330699.,   330699.0000000000,    5.7494
 0.23,        0.0863816230,        0.0009460200,        354347.,   354347.0000000000,    5.7008
 0.24,        0.0862921585,       -0.0012961165,        376621.,   376621.0000000000,    5.6346
 0.25,        0.0884612188,        0.0012930008,        401414.,   401414.0000000000,    5.5849
 0.26,        0.0870934039,       -0.0001914785,        426962.,   426962.0000000000,    5.5293
 0.27,        0.0893285054,       -0.0005442555,        452371.,   452371.0000000000,    5.4934
 0.28,        0.0892054787,        0.0002671379,        477925.,   477925.0000000000,    5.4337
 0.29,        0.0887376881,        0.0016499758,        503433.,   503433.0000000000,    5.3757
 0.30,        0.0895474796,       -0.0018626057,        531104.,   531104.0000000000,    5.3267
 0.31,        0.0899555536,        0.0000549090,        556658.,   556658.0000000000,    5.2805
 0.32,        0.0896601384,        0.0002106788,        586871.,   586871.0000000000,    5.2415
 0.33,        0.0896887892,       -0.0001078161,        611832.,   611832.0000000000,    5.2071
 0.34,        0.0886161482,       -0.0013950729,        639712.,   639712.0000000000,    5.1550
 0.35,        0.0886207484,       -0.0000341915,        664112.,   664112.0000000000,    5.1182
 0.36,        0.0881832543,        0.0007395667,        692797.,   692797.0000000000,    5.0774
 0.37,        0.0898792420,        0.0011054163,        721685.,   721685.0000000000,    5.0475
 0.38,        0.0881906190,        0.0005738238,        749998.,   749998.0000000000,    4.9937
 0.39,        0.0871347144,        0.0003559016,        775493.,   775493.0000000000,    4.9760
 0.40,        0.0864257354,        0.0008945961,        803474.,   803474.0000000000,    4.9387
