mu, q, u, number, w_total
 0.01,       -0.1059261616,       -0.0122756571,          3804.,     3804.0000000000
 0.02,       -0.0869931694,       -0.0182055815,         11762.,    11762.0000000000
 0.03,       -0.0953542234,       -0.0010294739,         20138.,    20138.0000000000
 0.04,       -0.0888947574,        0.0138820938,         29306.,    29306.0000000000
 0.05,       -0.0864633559,       -0.0013377977,         38706.,    38706.0000000000
 0.06,       -0.0785104070,        0.0029884034,         48625.,    48625.0000000000
 0.07,       -0.0793922112,        0.0002040520,         59020.,    59020.0000000000
 0.08,       -0.0746846374,       -0.0017504946,         69620.,    69620.0000000000
 0.09,       -0.0698180256,        0.0019308747,         80809.,    80809.0000000000
 0.10,       -0.0691521320,        0.0025773842,         92238.,    92238.0000000000
 0.11,       -0.0683274430,       -0.0006496322,        104683.,   104683.0000000000
 0.12,       -0.0631827673,        0.0008409653,        116196.,   116196.0000000000
 0.13,       -0.0633752926,       -0.0021311093,        129468.,   129468.0000000000
 0.14,       -0.0572542060,        0.0008272674,        141744.,   141744.0000000000
 0.15,       -0.0557968437,        0.0032642294,        155758.,   155758.0000000000
 0.16,       -0.0596906785,        0.0006338784,        169655.,   169655.0000000000
 0.17,       -0.0579000418,        0.0015804106,        183402.,   183402.0000000000
 0.18,       -0.0515919266,       -0.0002807996,        197088.,   197088.0000000000
 0.19,       -0.0516263065,        0.0028967169,        212261.,   212261.0000000000
 0.20,       -0.0492855645,       -0.0005235095,        228208.,   228208.0000000000
 0.21,       -0.0486295665,        0.0000943714,        241821.,   241821.0000000000
 0.22,       -0.0471553638,        0.0004208015,        258735.,   258735.0000000000
 0.23,       -0.0464476362,        0.0011283587,        274818.,   274818.0000000000
 0.24,       -0.0431926473,        0.0002289457,        291413.,   291413.0000000000
 0.25,       -0.0463325256,       -0.0004277079,        309358.,   309358.0000000000
 0.26,       -0.0411651197,        0.0003806854,        325806.,   325806.0000000000
 0.27,       -0.0407278631,        0.0004349637,        343395.,   343395.0000000000
 0.28,       -0.0391870325,       -0.0008864295,        361144.,   361144.0000000000
 0.29,       -0.0380878353,       -0.0010976036,        379484.,   379484.0000000000
 0.30,       -0.0363081572,       -0.0011637472,        398098.,   398098.0000000000
 0.31,       -0.0353678545,        0.0007214103,        417296.,   417296.0000000000
 0.32,       -0.0348174131,        0.0003251654,        436778.,   436778.0000000000
 0.33,       -0.0356227904,        0.0013316393,        458772.,   458772.0000000000
 0.34,       -0.0331380181,       -0.0006785173,        476873.,   476873.0000000000
 0.35,       -0.0318001302,       -0.0005011782,        497041.,   497041.0000000000
 0.36,       -0.0319739407,        0.0031602957,        519050.,   519050.0000000000
 0.37,       -0.0306743055,        0.0006462195,        538756.,   538756.0000000000
 0.38,       -0.0316606367,        0.0012447113,        559610.,   559610.0000000000
 0.39,       -0.0288682277,        0.0006662591,        582982.,   582982.0000000000
 0.40,       -0.0277986306,       -0.0002378377,        603341.,   603341.0000000000
 0.41,       -0.0292453633,       -0.0000460219,        628088.,   628088.0000000000
 0.42,       -0.0260874698,        0.0000500896,        649355.,   649355.0000000000
 0.43,       -0.0250435574,        0.0021050164,        671923.,   671923.0000000000
 0.44,       -0.0251597593,       -0.0004231454,        695767.,   695767.0000000000
 0.45,       -0.0250032846,        0.0006188972,        719861.,   719861.0000000000
 0.46,       -0.0234952605,        0.0006131254,        744347.,   744347.0000000000
 0.47,       -0.0215508793,       -0.0005230729,        769101.,   769101.0000000000
 0.48,       -0.0231172104,       -0.0003584670,        794164.,   794164.0000000000
 0.49,       -0.0217116251,        0.0010161933,        819524.,   819524.0000000000
 0.50,       -0.0208949939,        0.0014249765,        843768.,   843768.0000000000
 0.51,       -0.0202761872,       -0.0001237451,        868497.,   868497.0000000000
 0.52,       -0.0191443238,       -0.0007706103,        895300.,   895300.0000000000
 0.53,       -0.0200235872,        0.0008151809,        922835.,   922835.0000000000
 0.54,       -0.0181365573,        0.0010825803,        950143.,   950143.0000000000
 0.55,       -0.0183172397,       -0.0011969530,        978185.,   978185.0000000000
 0.56,       -0.0179777463,        0.0007146891,       1005480.,  1005480.0000000000
 0.57,       -0.0160917331,       -0.0002860678,       1033401.,  1033401.0000000000
 0.58,       -0.0163602138,        0.0009758556,       1060915.,  1060915.0000000000
 0.59,       -0.0153624485,       -0.0002256610,       1089054.,  1089054.0000000000
 0.60,       -0.0155092368,       -0.0004085173,       1117452.,  1117452.0000000000
 0.61,       -0.0146715180,       -0.0001334047,       1148645.,  1148645.0000000000
 0.62,       -0.0150711501,        0.0005817452,       1177193.,  1177193.0000000000
 0.63,       -0.0127935171,       -0.0002946098,       1208486.,  1208486.0000000000
 0.64,       -0.0124311423,        0.0002945240,       1236239.,  1236239.0000000000
 0.65,       -0.0125841005,       -0.0001988746,       1268354.,  1268354.0000000000
 0.66,       -0.0112959857,       -0.0001831582,       1299714.,  1299714.0000000000
 0.67,       -0.0116552469,       -0.0002015579,       1329004.,  1329004.0000000000
 0.68,       -0.0107593047,        0.0005295967,       1363955.,  1363955.0000000000
 0.69,       -0.0101373294,       -0.0004727014,       1395221.,  1395221.0000000000
 0.70,       -0.0109633534,        0.0002112283,       1426369.,  1426369.0000000000
 0.71,       -0.0092667244,       -0.0000951140,       1456625.,  1456625.0000000000
 0.72,       -0.0082338411,       -0.0003075360,       1493941.,  1493941.0000000000
 0.73,       -0.0096507208,       -0.0001611708,       1526254.,  1526254.0000000000
 0.74,       -0.0096328434,       -0.0001914894,       1559948.,  1559948.0000000000
