mu, q, u, number, w_total
 0.01,       -0.1013677597,        0.0032577241,          3769.,     3769.0000000000
 0.02,       -0.1034812896,       -0.0137299437,         11794.,    11794.0000000000
 0.03,       -0.0809325706,       -0.0021544329,         20185.,    20185.0000000000
 0.04,       -0.0837835715,       -0.0056295225,         29030.,    29030.0000000000
 0.05,       -0.0856327958,        0.0009052782,         38806.,    38806.0000000000
 0.06,       -0.0826032436,        0.0014784341,         49044.,    49044.0000000000
 0.07,       -0.0734595662,       -0.0005070050,         59253.,    59253.0000000000
 0.08,       -0.0739628242,        0.0026904742,         69828.,    69828.0000000000
 0.09,       -0.0721140123,       -0.0039393997,         80778.,    80778.0000000000
 0.10,       -0.0666521664,        0.0025450670,         92655.,    92655.0000000000
 0.11,       -0.0653188597,        0.0025372688,        103671.,   103671.0000000000
 0.12,       -0.0648261553,       -0.0013018844,        116420.,   116420.0000000000
 0.13,       -0.0644590770,        0.0015686433,        129313.,   129313.0000000000
 0.14,       -0.0588440077,        0.0004046702,        141543.,   141543.0000000000
 0.15,       -0.0594836179,        0.0003506160,        155546.,   155546.0000000000
 0.16,       -0.0535510742,        0.0008510096,        169983.,   169983.0000000000
 0.17,       -0.0553902865,       -0.0014268490,        183543.,   183543.0000000000
 0.18,       -0.0520113710,       -0.0003640926,        197673.,   197673.0000000000
 0.19,       -0.0485650928,        0.0012796753,        211825.,   211825.0000000000
 0.20,       -0.0510137581,       -0.0001953855,        227786.,   227786.0000000000
 0.21,       -0.0492167414,       -0.0018571393,        242893.,   242893.0000000000
 0.22,       -0.0479688254,        0.0003508125,        259521.,   259521.0000000000
 0.23,       -0.0442366059,       -0.0014861489,        275142.,   275142.0000000000
 0.24,       -0.0424468487,       -0.0009217135,        292044.,   292044.0000000000
 0.25,       -0.0417900248,       -0.0002305533,        309146.,   309146.0000000000
 0.26,       -0.0413025511,        0.0011461912,        325746.,   325746.0000000000
 0.27,       -0.0405866425,       -0.0006334996,        343793.,   343793.0000000000
 0.28,       -0.0409600131,       -0.0000185206,        360849.,   360849.0000000000
 0.29,       -0.0377703149,        0.0013436499,        379875.,   379875.0000000000
 0.30,       -0.0369839985,       -0.0003986415,        398286.,   398286.0000000000
 0.31,       -0.0355193271,        0.0013105134,        418153.,   418153.0000000000
 0.32,       -0.0342886469,       -0.0013233627,        437716.,   437716.0000000000
 0.33,       -0.0353050740,        0.0004715508,        457808.,   457808.0000000000
 0.34,       -0.0326204410,        0.0003842808,        477173.,   477173.0000000000
 0.35,       -0.0306773204,        0.0002257298,        497668.,   497668.0000000000
 0.36,       -0.0294984706,        0.0010242540,        519333.,   519333.0000000000
 0.37,       -0.0301178831,        0.0006053936,        538763.,   538763.0000000000
 0.38,       -0.0300610435,       -0.0005688413,        561317.,   561317.0000000000
 0.39,       -0.0267067398,        0.0004236002,        581070.,   581070.0000000000
 0.40,       -0.0266133209,       -0.0007371046,        606085.,   606085.0000000000
 0.41,       -0.0263194478,        0.0004058186,        628029.,   628029.0000000000
 0.42,       -0.0260937855,       -0.0006014385,        650364.,   650364.0000000000
 0.43,       -0.0251825120,       -0.0007244601,        672842.,   672842.0000000000
 0.44,       -0.0253277391,       -0.0015891894,        696497.,   696497.0000000000
 0.45,       -0.0245799114,        0.0006143725,        719797.,   719797.0000000000
 0.46,       -0.0232924128,       -0.0006970826,        745138.,   745138.0000000000
 0.47,       -0.0209965125,        0.0002037091,        770100.,   770100.0000000000
 0.48,       -0.0214058806,       -0.0001470871,        794911.,   794911.0000000000
 0.49,       -0.0214793593,       -0.0009829960,        817878.,   817878.0000000000
 0.50,       -0.0214379702,       -0.0001217438,        844143.,   844143.0000000000
 0.51,       -0.0188793596,        0.0013642444,        870168.,   870168.0000000000
 0.52,       -0.0183408131,       -0.0011534524,        897906.,   897906.0000000000
 0.53,       -0.0188655662,       -0.0006215167,        924215.,   924215.0000000000
 0.54,       -0.0169628934,        0.0001740373,        950407.,   950407.0000000000
 0.55,       -0.0182215115,       -0.0011276054,        977052.,   977052.0000000000
 0.56,       -0.0168163771,        0.0003563001,       1005473.,  1005473.0000000000
 0.57,       -0.0159340736,        0.0008990668,       1032706.,  1032706.0000000000
 0.58,       -0.0158291492,        0.0012406315,       1061196.,  1061196.0000000000
 0.59,       -0.0147936373,       -0.0004821559,       1089400.,  1089400.0000000000
 0.60,       -0.0137626845,       -0.0011988202,       1121463.,  1121463.0000000000
 0.61,       -0.0146346138,        0.0002906963,       1147350.,  1147350.0000000000
 0.62,       -0.0137118759,        0.0001893853,       1176305.,  1176305.0000000000
 0.63,       -0.0128079470,       -0.0003780312,       1205696.,  1205696.0000000000
 0.64,       -0.0132394440,       -0.0003963099,       1237236.,  1237236.0000000000
 0.65,       -0.0113040051,       -0.0013259028,       1267991.,  1267991.0000000000
 0.66,       -0.0120155299,        0.0000106895,       1299026.,  1299026.0000000000
 0.67,       -0.0116744919,       -0.0003166309,       1331658.,  1331658.0000000000
 0.68,       -0.0106706528,        0.0004818195,       1362855.,  1362855.0000000000
 0.69,       -0.0114739028,        0.0005412261,       1393985.,  1393985.0000000000
 0.70,       -0.0093984698,        0.0002014239,       1427242.,  1427242.0000000000
 0.71,       -0.0098185576,        0.0008817947,       1460839.,  1460839.0000000000
 0.72,       -0.0089326021,       -0.0003038919,       1492336.,  1492336.0000000000
 0.73,       -0.0089840307,        0.0008569852,       1525669.,  1525669.0000000000
 0.74,       -0.0083059010,       -0.0005923476,       1560722.,  1560722.0000000000
 0.75,       -0.0074345174,       -0.0004043263,       1595476.,  1595476.0000000000
 0.76,       -0.0078867968,       -0.0000340013,       1631721.,  1631721.0000000000
 0.77,       -0.0076536648,        0.0000711528,       1664035.,  1664035.0000000000
 0.78,       -0.0062936977,       -0.0003600765,       1696365.,  1696365.0000000000
 0.79,       -0.0061994380,        0.0001168610,       1732156.,  1732156.0000000000
 0.80,       -0.0060883987,       -0.0009844255,       1766447.,  1766447.0000000000
 0.81,       -0.0051037106,       -0.0005529181,       1804950.,  1804950.0000000000
 0.82,       -0.0042411626,        0.0000038000,       1841654.,  1841654.0000000000
 0.83,       -0.0042724484,       -0.0002718568,       1876627.,  1876627.0000000000
 0.84,       -0.0041353453,       -0.0003330291,       1912776.,  1912776.0000000000
 0.85,       -0.0038690003,       -0.0000968860,       1953300.,  1953300.0000000000
 0.86,       -0.0039498973,       -0.0003268759,       1990091.,  1990091.0000000000
 0.87,       -0.0034689887,        0.0003898064,       2028028.,  2028028.0000000000
 0.88,       -0.0029416450,       -0.0002889294,       2067860.,  2067860.0000000000
 0.89,       -0.0028975369,        0.0005370839,       2106265.,  2106265.0000000000
 0.90,       -0.0032191268,       -0.0008706188,       2145676.,  2145676.0000000000
 0.91,       -0.0029307396,        0.0005316667,       2184410.,  2184410.0000000000
 0.92,       -0.0024369429,        0.0005716719,       2222912.,  2222912.0000000000
 0.93,       -0.0020190409,       -0.0002123941,       2261432.,  2261432.0000000000
 0.94,       -0.0017977915,        0.0004032071,       2305133.,  2305133.0000000000
 0.95,       -0.0011190733,       -0.0002657701,       2343896.,  2343896.0000000000
 0.96,        0.0003463940,       -0.0003813772,       2383963.,  2383963.0000000000
 0.97,       -0.0014547961,        0.0006389472,       2426223.,  2426223.0000000000
 0.98,       -0.0005493863,        0.0000379196,       2468926.,  2468926.0000000000
 0.99,       -0.0002535814,       -0.0003329981,       2507434.,  2507434.0000000000
 1.00,       -0.0001139355,        0.0004635163,       2548823.,  2548823.0000000000
