mu, q, u, number, w_total
 0.01,        0.0400561210,       -0.0032464359,          4381.,     4380.4110643255
 0.02,        0.0351443666,        0.0132950222,         13606.,    13604.1519355475
 0.03,        0.0319837923,        0.0035158333,         23704.,    23700.7910077588
 0.04,        0.0445019160,        0.0051130599,         34430.,    34425.3366956843
 0.05,        0.0458075866,        0.0008944490,         45424.,    45417.8346819676
 0.06,        0.0514095392,        0.0019043754,         57009.,    57001.2394715968
 0.07,        0.0571823550,        0.0023157895,         69585.,    69575.5227630084
 0.08,        0.0556864225,        0.0009717160,         82083.,    82071.8601744256
 0.09,        0.0606922845,       -0.0020442806,         95519.,    95505.9895576194
 0.10,        0.0661938229,        0.0025469326,        109670.,   109655.0324124781
 0.11,        0.0673979617,       -0.0013399763,        124654.,   124637.0291864125
 0.12,        0.0702783547,        0.0020906392,        139278.,   139259.0574517119
 0.13,        0.0709265409,       -0.0010725767,        155062.,   155040.8732971722
 0.14,        0.0708013411,        0.0000261836,        171308.,   171284.7971395519
 0.15,        0.0772723376,       -0.0001614551,        189691.,   189665.3160090920
 0.16,        0.0765377184,       -0.0010079068,        206930.,   206902.0349131172
 0.17,        0.0794645752,        0.0008722952,        225466.,   225435.6015664684
 0.18,        0.0797871551,       -0.0016003175,        244617.,   244584.2061389838
 0.19,        0.0823739697,       -0.0024298260,        265242.,   265206.6121974289
 0.20,        0.0817979192,        0.0013737888,        286834.,   286795.9573345862
 0.21,        0.0835598482,        0.0013105354,        308161.,   308120.2460365406
 0.22,        0.0859806124,        0.0004260586,        330699.,   330655.6238443354
 0.23,        0.0863619547,        0.0009459549,        354347.,   354300.7654274123
 0.24,        0.0862727909,       -0.0012959912,        376621.,   376572.2269813108
 0.25,        0.0884416256,        0.0012928085,        401414.,   401362.3870664912
 0.26,        0.0870742825,       -0.0001915393,        426962.,   426907.5123318235
 0.27,        0.0893093276,       -0.0005442164,        452371.,   452313.6211676163
 0.28,        0.0891865948,        0.0002671369,        477925.,   477864.9308219646
 0.29,        0.0887191246,        0.0016497225,        503433.,   503370.1659277712
 0.30,        0.0895287451,       -0.0018624778,        531104.,   531038.2255129234
 0.31,        0.0899370384,        0.0000549077,        556658.,   556589.5822316139
 0.32,        0.0896419623,        0.0002105674,        586871.,   586799.3913622425
 0.33,        0.0896706805,       -0.0001077265,        611832.,   611757.8750693675
 0.34,        0.0885984128,       -0.0013949250,        639712.,   639635.2150236979
 0.35,        0.0886031889,       -0.0000342154,        664112.,   664032.8466622940
 0.36,        0.0881658968,        0.0007395618,        692797.,   692715.0640273991
 0.37,        0.0898618344,        0.0011053707,        721685.,   721600.2150497267
 0.38,        0.0881737008,        0.0005737549,        749998.,   749910.7418996352
 0.39,        0.0871179226,        0.0003558169,        775493.,   775403.1675499446
 0.40,        0.0864092391,        0.0008944944,        803474.,   803381.7047710336
 0.41,        0.0858897436,       -0.0002791468,        830007.,   829912.3012034365
 0.42,        0.0851518341,       -0.0007346967,        859043.,   858945.6378595249
 0.43,        0.0844517107,        0.0002464210,        883959.,   883859.6271212496
 0.44,        0.0829307067,       -0.0002581792,        911365.,   911263.2210466641
 0.45,        0.0833419126,        0.0009360410,        936115.,   936011.1760373530
 0.46,        0.0833916398,       -0.0005517515,        965514.,   965407.5888026636
 0.47,        0.0827452270,       -0.0003388370,        990348.,   990239.5375366851
