mu, q, u, number, w_total
 0.01,       -0.0619422138,        0.0095382438,          3789.,     2762.2741627166
 0.02,       -0.0650971112,       -0.0018810720,         11716.,     8594.7969253553
 0.03,       -0.0642205048,       -0.0069668303,         20271.,    14792.8186749177
 0.04,       -0.0654491064,       -0.0011565264,         29294.,    21338.8064593672
 0.05,       -0.0624747801,        0.0044472340,         38763.,    28260.2372522966
 0.06,       -0.0594078606,       -0.0007320468,         48685.,    35523.4605202974
 0.07,       -0.0589649595,       -0.0010393894,         59419.,    43418.8849636423
 0.08,       -0.0577595239,       -0.0001414011,         69788.,    51034.5799054011
 0.09,       -0.0556624301,       -0.0007946006,         81219.,    59372.0036996820
 0.10,       -0.0517525380,       -0.0007155120,         92297.,    67406.0612332745
 0.11,       -0.0518373828,        0.0027365206,        104029.,    75948.6235234830
 0.12,       -0.0512405907,       -0.0003084061,        116857.,    85253.3819025408
 0.13,       -0.0464261248,       -0.0019407825,        129290.,    94460.5175843084
 0.14,       -0.0446160575,        0.0006757717,        142372.,   103872.7597992735
 0.15,       -0.0444500741,        0.0040305895,        155777.,   113595.8377750201
 0.16,       -0.0421656223,        0.0013711612,        170528.,   124495.6879165609
 0.17,       -0.0438511535,       -0.0004233638,        183271.,   133749.2072793845
 0.18,       -0.0417918920,       -0.0000798763,        197882.,   144429.7154285712
 0.19,       -0.0394268209,       -0.0001866800,        212849.,   155247.9755676228
 0.20,       -0.0385969134,       -0.0005771336,        228418.,   166766.2881528338
 0.21,       -0.0372004613,       -0.0001722169,        243780.,   177848.5826933960
 0.22,       -0.0366060033,        0.0030158109,        259611.,   189630.4904686099
 0.23,       -0.0345405348,        0.0011310116,        275623.,   201171.7417875396
 0.24,       -0.0341023206,        0.0022354486,        293149.,   213922.6443923567
 0.25,       -0.0321581150,       -0.0007371200,        309561.,   226021.0945320081
 0.26,       -0.0342910017,        0.0009596880,        325731.,   237710.7277904572
 0.27,       -0.0316748267,       -0.0008629322,        344644.,   251554.4855886920
 0.28,       -0.0298051414,       -0.0008595193,        363198.,   265144.7895010469
 0.29,       -0.0288003217,        0.0004471198,        380639.,   277895.2325754279
 0.30,       -0.0286106663,        0.0002017976,        399571.,   291916.5339373211
