mu, q, u, number, w_total
 0.01,       -0.0659026134,        0.0016062473,          3866.,     3865.9983018771
 0.02,       -0.0735148986,       -0.0005801481,         11980.,    11979.9946942866
 0.03,       -0.0726772534,        0.0003540684,         20789.,    20788.9907432686
 0.04,       -0.0633609281,        0.0041810635,         29876.,    29875.9866334121
 0.05,       -0.0612312023,        0.0013599446,         39315.,    39314.9823897001
 0.06,       -0.0576738172,       -0.0018423280,         49376.,    49375.9778765034
 0.07,       -0.0546873075,        0.0001329119,         60193.,    60192.9730841229
 0.08,       -0.0568281776,        0.0002761785,         71137.,    71136.9681295402
 0.09,       -0.0506186305,        0.0038090967,         82398.,    82397.9630222525
 0.10,       -0.0485360575,       -0.0002679214,         94148.,    94147.9578367871
 0.11,       -0.0502540511,       -0.0000911929,        106132.,   106131.9524342652
 0.12,       -0.0446368353,       -0.0026686178,        117830.,   117829.9473088376
 0.13,       -0.0407766717,       -0.0027163075,        130523.,   130522.9415677601
 0.14,       -0.0415154055,        0.0017395021,        144261.,   144260.9352041075
 0.15,       -0.0359635666,       -0.0001989449,        158394.,   158393.9290965392
 0.16,       -0.0384878644,        0.0004759140,        171707.,   171706.9234604824
 0.17,       -0.0349499969,        0.0015008935,        186337.,   186336.9167072247
 0.18,       -0.0333298291,        0.0005674301,        201488.,   201487.9098264389
 0.19,       -0.0325449907,        0.0002285975,        216572.,   216571.9032104228
 0.20,       -0.0301193657,        0.0000480860,        231661.,   231660.8963772164
 0.21,       -0.0255731708,       -0.0011391183,        247633.,   247632.8892906410
 0.22,       -0.0269219000,        0.0008475638,        264318.,   264317.8819457348
 0.23,       -0.0244872845,       -0.0007912851,        280780.,   280779.8747386320
 0.24,       -0.0236661549,        0.0007303634,        297777.,   297776.8669904623
 0.25,       -0.0210586372,        0.0000617799,        314158.,   314157.8600815792
 0.26,       -0.0204735656,        0.0003727577,        332144.,   332143.8522623982
 0.27,       -0.0199087833,        0.0002607203,        350340.,   350339.8440061154
 0.28,       -0.0183960268,        0.0012362726,        369818.,   369817.8359071651
 0.29,       -0.0186955706,       -0.0013984771,        387283.,   387282.8284582522
 0.30,       -0.0151829143,        0.0015581374,        406171.,   406170.8200953000
 0.31,       -0.0143060851,       -0.0016509679,        425462.,   425461.8119019244
 0.32,       -0.0125942185,        0.0005113691,        446177.,   446176.8029727092
 0.33,       -0.0144976753,       -0.0001420083,        467855.,   467854.7937138366
 0.34,       -0.0135350588,       -0.0016663226,        486570.,   486569.7860445049
 0.35,       -0.0093281469,       -0.0005987034,        506821.,   506820.7773495774
 0.36,       -0.0103951465,        0.0016250708,        528449.,   528448.7677138627
 0.37,       -0.0093688599,        0.0009160178,        550741.,   550740.7591291638
 0.38,       -0.0070195858,       -0.0000801520,        573061.,   573060.7493275902
 0.39,       -0.0058679255,       -0.0013615030,        594596.,   594595.7405367205
 0.40,       -0.0061568794,       -0.0001775913,        618964.,   618963.7301833190
 0.41,       -0.0061771099,        0.0010561365,        641430.,   641429.7207346621
 0.42,       -0.0035524073,       -0.0006138158,        665348.,   665347.7112068522
 0.43,       -0.0032496524,        0.0004361595,        688336.,   688335.7014845579
 0.44,       -0.0021843046,        0.0001955869,        713125.,   713124.6914516697
 0.45,       -0.0018920674,       -0.0013386280,        738328.,   738327.6813791784
 0.46,       -0.0013051912,        0.0001508436,        762876.,   762875.6708711656
 0.47,        0.0001453299,        0.0010320781,        788514.,   788513.6605274980
 0.48,        0.0002107325,       -0.0010566442,        814403.,   814402.6508221410
 0.49,        0.0011012328,        0.0008298774,        839924.,   839923.6408289678
 0.50,        0.0016184980,       -0.0014251608,        864661.,   864660.6315584842
 0.51,        0.0029338827,        0.0002963617,        892587.,   892586.6194504886
 0.52,        0.0019106730,       -0.0002381443,        919971.,   919970.6094593469
 0.53,        0.0023694118,        0.0006465464,        947178.,   947177.5982640039
 0.54,        0.0025385554,        0.0003459624,        974318.,   974317.5881544633
 0.55,        0.0042224851,       -0.0000165511,       1003625.,  1003624.5764874881
 0.56,        0.0042555070,       -0.0004704938,       1029477.,  1029476.5674499071
 0.57,        0.0044409913,       -0.0001017150,       1058013.,  1058012.5559597025
 0.58,        0.0052403048,        0.0003039168,       1088508.,  1088507.5442267964
 0.59,        0.0056660387,        0.0005135997,       1118689.,  1118688.5323250929
 0.60,        0.0070173509,        0.0005225594,       1145821.,  1145820.5231389725
 0.61,        0.0061591367,        0.0004850060,       1174578.,  1174577.5120531470
 0.62,        0.0078249311,        0.0000723123,       1206037.,  1206036.5000622626
 0.63,        0.0079862531,        0.0002596937,       1235128.,  1235127.4892327064
 0.64,        0.0068539357,       -0.0002191150,       1265497.,  1265496.4777971110
 0.65,        0.0075266219,        0.0004509591,       1295498.,  1295497.4672160996
 0.66,        0.0074897349,       -0.0000082780,       1326030.,  1326029.4556352897
 0.67,        0.0075051980,        0.0001008849,       1357163.,  1357162.4446423685
 0.68,        0.0082670223,       -0.0005321541,       1388352.,  1388351.4336961871
 0.69,        0.0086322411,        0.0002201970,       1420314.,  1420313.4218870811
 0.70,        0.0079727006,       -0.0000426213,       1451143.,  1451142.4112578242
 0.71,        0.0073535821,       -0.0005372578,       1481120.,  1481119.3998520032
 0.72,        0.0084712693,        0.0002641758,       1513615.,  1513614.3886113500
 0.73,        0.0073864399,       -0.0004705390,       1544778.,  1544777.3767144021
 0.74,        0.0081149764,       -0.0004977628,       1577365.,  1577364.3659356064
 0.75,        0.0073301363,        0.0012491459,       1609338.,  1609337.3541376111
 0.76,        0.0077782604,       -0.0007165101,       1642866.,  1642865.3427956058
 0.77,        0.0082774637,       -0.0002197651,       1676519.,  1676518.3305182285
 0.78,        0.0072859696,        0.0002401318,       1707413.,  1707412.3195411037
 0.79,        0.0084839666,        0.0007921657,       1739991.,  1739990.3080639066
 0.80,        0.0085124902,        0.0009353421,       1770647.,  1770646.2978125648
 0.81,        0.0077226292,       -0.0003779069,       1805569.,  1805568.2855545254
 0.82,        0.0083836815,       -0.0003423186,       1836768.,  1836767.2749663224
 0.83,        0.0070730112,        0.0000504851,       1869488.,  1869487.2643361350
 0.84,        0.0067041337,       -0.0001546189,       1901198.,  1901197.2537013595
 0.85,        0.0062899018,       -0.0004867629,       1934781.,  1934780.2419270449
 0.86,        0.0054877251,        0.0000270457,       1971891.,  1971890.2296169442
 0.87,        0.0061450918,        0.0002082168,       2001336.,  2001335.2199000083
 0.88,        0.0057642825,       -0.0002453113,       2033116.,  2033115.2090653391
 0.89,        0.0047722516,        0.0005591816,       2070211.,  2070210.1960552095
 0.90,        0.0054264251,        0.0004717583,       2100985.,  2100984.1868763268
 0.91,        0.0043281490,        0.0002764025,       2129754.,  2129753.1766664530
 0.92,        0.0045246500,       -0.0000248419,       2166177.,  2166176.1650273902
 0.93,        0.0040514025,       -0.0002837118,       2198423.,  2198422.1541781905
 0.94,        0.0037019703,       -0.0004047993,       2233229.,  2233228.1423880202
 0.95,        0.0033561864,       -0.0000416444,       2268462.,  2268461.1307915202
 0.96,        0.0016580299,       -0.0001775126,       2298323.,  2298322.1216869070
 0.97,        0.0015820174,        0.0001429743,       2332640.,  2332639.1095782071
 0.98,        0.0017318138,       -0.0003454840,       2363659.,  2363658.0999553623
 0.99,        0.0005556041,       -0.0005485247,       2397766.,  2397765.0889734500
 1.00,        0.0001191491,        0.0001157147,       2430599.,  2430598.0797884390
