mu, q, u, number, w_total
 0.01,        0.1169912636,        0.0200216653,          4477.,     4477.0000000000
 0.02,        0.1152848373,        0.0079645138,         14155.,    14155.0000000000
 0.03,        0.1152305419,       -0.0008425003,         24327.,    24327.0000000000
 0.04,        0.1241574775,        0.0059136927,         35303.,    35303.0000000000
 0.05,        0.1293510189,        0.0019463981,         46944.,    46944.0000000000
 0.06,        0.1315662601,        0.0016794479,         59558.,    59558.0000000000
 0.07,        0.1299406300,        0.0037075929,         72245.,    72245.0000000000
 0.08,        0.1352669638,       -0.0012589881,         85001.,    85001.0000000000
 0.09,        0.1398330153,        0.0033867358,         99071.,    99071.0000000000
 0.10,        0.1432561839,       -0.0039084707,        113489.,   113489.0000000000
 0.11,        0.1440262568,       -0.0015292738,        129123.,   129123.0000000000
 0.12,        0.1471704645,       -0.0014915537,        144358.,   144358.0000000000
 0.13,        0.1508125444,        0.0004057666,        160206.,   160206.0000000000
 0.14,        0.1490976114,       -0.0005209805,        177117.,   177117.0000000000
 0.15,        0.1571133842,       -0.0013984514,        194257.,   194257.0000000000
 0.16,        0.1568694465,        0.0002001800,        213225.,   213225.0000000000
 0.17,        0.1587528077,        0.0009807448,        231582.,   231582.0000000000
 0.18,        0.1613152887,       -0.0004016603,        252406.,   252406.0000000000
 0.19,        0.1669780805,        0.0001202892,        272952.,   272952.0000000000
 0.20,        0.1674648582,        0.0008430069,        295840.,   295840.0000000000
 0.21,        0.1683025288,        0.0007552283,        316948.,   316948.0000000000
 0.22,        0.1723477383,        0.0002299497,        340180.,   340180.0000000000
 0.23,        0.1709362136,       -0.0001732915,        363329.,   363329.0000000000
 0.24,        0.1747377770,        0.0001209306,        388577.,   388577.0000000000
 0.25,        0.1779671117,        0.0004484726,        413829.,   413829.0000000000
 0.26,        0.1782399276,       -0.0011215396,        439342.,   439342.0000000000
 0.27,        0.1787644185,       -0.0004298689,        465381.,   465381.0000000000
 0.28,        0.1815109444,       -0.0011711258,        492314.,   492314.0000000000
 0.29,        0.1804477627,       -0.0023168409,        519844.,   519844.0000000000
 0.30,        0.1827995985,        0.0010351778,        547947.,   547947.0000000000
 0.31,        0.1848679398,        0.0003917064,        574267.,   574267.0000000000
 0.32,        0.1843669415,       -0.0000963730,        604367.,   604367.0000000000
 0.33,        0.1843873475,       -0.0004789000,        631907.,   631907.0000000000
 0.34,        0.1854506611,        0.0021648737,        661363.,   661363.0000000000
 0.35,        0.1860320682,        0.0010594675,        691156.,   691156.0000000000
 0.36,        0.1872790671,        0.0004147656,        718809.,   718809.0000000000
 0.37,        0.1861414867,       -0.0009016106,        747514.,   747514.0000000000
 0.38,        0.1851592322,        0.0005637625,        775255.,   775255.0000000000
 0.39,        0.1876408415,       -0.0003571019,        804761.,   804761.0000000000
 0.40,        0.1872709199,        0.0015933291,        832675.,   832675.0000000000
 0.41,        0.1849222087,        0.0001546162,        863535.,   863535.0000000000
 0.42,        0.1855290823,        0.0011594853,        890641.,   890641.0000000000
 0.43,        0.1851601495,        0.0006764322,        917755.,   917755.0000000000
 0.44,        0.1853754793,        0.0006855542,        947074.,   947074.0000000000
 0.45,        0.1839468420,        0.0004106924,        973649.,   973649.0000000000
 0.46,        0.1834182270,        0.0004734452,       1000897.,  1000897.0000000000
 0.47,        0.1823395863,       -0.0006633679,       1026258.,  1026258.0000000000
 0.48,        0.1816580057,        0.0004803272,       1055692.,  1055692.0000000000
 0.49,        0.1796941046,        0.0003294167,       1080997.,  1080997.0000000000
 0.50,        0.1790410225,        0.0016447496,       1106339.,  1106339.0000000000
 0.51,        0.1786508055,        0.0011344422,       1131445.,  1131445.0000000000
 0.52,        0.1773112221,        0.0001369636,       1155073.,  1155073.0000000000
 0.53,        0.1754667276,        0.0002083182,       1178993.,  1178993.0000000000
 0.54,        0.1751276027,       -0.0007857041,       1204873.,  1204873.0000000000
 0.55,        0.1721832241,        0.0012382203,       1229383.,  1229383.0000000000
 0.56,        0.1717867234,       -0.0001565020,       1250051.,  1250051.0000000000
 0.57,        0.1693963229,       -0.0002936004,       1270184.,  1270184.0000000000
 0.58,        0.1659509583,        0.0009575875,       1292859.,  1292859.0000000000
 0.59,        0.1663723299,       -0.0005392532,       1315590.,  1315590.0000000000
 0.60,        0.1638541228,       -0.0006972220,       1335415.,  1335415.0000000000
 0.61,        0.1616299893,        0.0009435285,       1354668.,  1354668.0000000000
 0.62,        0.1591042293,       -0.0006780241,       1376189.,  1376189.0000000000
 0.63,        0.1577383780,        0.0000812494,       1391606.,  1391606.0000000000
 0.64,        0.1542191185,        0.0015751771,       1411722.,  1411722.0000000000
 0.65,        0.1517130285,        0.0013879321,       1427498.,  1427498.0000000000
 0.66,        0.1491307761,       -0.0006005768,       1444755.,  1444755.0000000000
 0.67,        0.1480096094,       -0.0001772878,       1459924.,  1459924.0000000000
 0.68,        0.1444351107,        0.0003449013,       1478401.,  1478401.0000000000
