mu, q, u, number, w_total
 0.01,       -0.3756181725,       -0.0087379177,          2922.,     2922.0000000000
 0.02,       -0.4020354762,        0.0081518378,          8735.,     8735.0000000000
 0.03,       -0.3876998048,        0.0098100082,         15326.,    15326.0000000000
 0.04,       -0.3806239492,       -0.0068545236,         21815.,    21815.0000000000
 0.05,       -0.3766203019,       -0.0035073044,         29102.,    29102.0000000000
 0.06,       -0.3725231724,       -0.0039448551,         36401.,    36401.0000000000
 0.07,       -0.3623173508,        0.0004320723,         43881.,    43881.0000000000
 0.08,       -0.3655613793,       -0.0020297770,         51717.,    51717.0000000000
 0.09,       -0.3594127063,        0.0010898561,         60205.,    60205.0000000000
 0.10,       -0.3633076728,        0.0002751107,         68569.,    68569.0000000000
 0.11,       -0.3550310917,        0.0018033008,         76959.,    76959.0000000000
 0.12,       -0.3571666250,       -0.0030074698,         85694.,    85694.0000000000
 0.13,       -0.3532188431,       -0.0017930176,         95373.,    95373.0000000000
 0.14,       -0.3521537889,        0.0002969804,        103844.,   103844.0000000000
 0.15,       -0.3470577368,       -0.0014258313,        114121.,   114121.0000000000
 0.16,       -0.3446893342,        0.0015558224,        123869.,   123869.0000000000
 0.17,       -0.3400721802,        0.0011413187,        133528.,   133528.0000000000
 0.18,       -0.3408080704,        0.0010160673,        144098.,   144098.0000000000
 0.19,       -0.3397587608,        0.0015707643,        154066.,   154066.0000000000
 0.20,       -0.3384925367,       -0.0014343676,        164853.,   164853.0000000000
 0.21,       -0.3372230971,       -0.0014307856,        175954.,   175954.0000000000
 0.22,       -0.3318733592,        0.0013553320,        187059.,   187059.0000000000
 0.23,       -0.3335958587,       -0.0010011414,        198116.,   198116.0000000000
 0.24,       -0.3250071697,        0.0008347512,        209336.,   209336.0000000000
 0.25,       -0.3258730881,       -0.0002987806,        220848.,   220848.0000000000
 0.26,       -0.3221222496,        0.0004440576,        233696.,   233696.0000000000
 0.27,       -0.3209830929,        0.0017797265,        245120.,   245120.0000000000
 0.28,       -0.3193063218,       -0.0012988038,        257510.,   257510.0000000000
 0.29,       -0.3185084817,       -0.0002029793,        269560.,   269560.0000000000
 0.30,       -0.3116631104,       -0.0005869209,        281218.,   281218.0000000000
 0.31,       -0.3139639193,        0.0018790065,        294182.,   294182.0000000000
 0.32,       -0.3097392599,       -0.0015494207,        307072.,   307072.0000000000
 0.33,       -0.3086321673,       -0.0000093220,        319806.,   319806.0000000000
 0.34,       -0.3060970317,        0.0010628277,        332304.,   332304.0000000000
 0.35,       -0.2988992377,        0.0009554128,        345552.,   345552.0000000000
 0.36,       -0.2995054591,        0.0006366572,        357988.,   357988.0000000000
 0.37,       -0.2980986021,       -0.0004297223,        372620.,   372620.0000000000
 0.38,       -0.2947423691,       -0.0001122354,        385705.,   385705.0000000000
 0.39,       -0.2889818476,       -0.0000104977,        398704.,   398704.0000000000
 0.40,       -0.2880386215,       -0.0004650394,        412767.,   412767.0000000000
 0.41,       -0.2845657836,        0.0005261603,        424385.,   424385.0000000000
 0.42,       -0.2835130443,        0.0005113517,        439603.,   439603.0000000000
 0.43,       -0.2776808004,        0.0010256845,        453228.,   453228.0000000000
 0.44,       -0.2717017281,       -0.0016254704,        466396.,   466396.0000000000
 0.45,       -0.2711534048,        0.0001104127,        480874.,   480874.0000000000
 0.46,       -0.2683878856,        0.0004324638,        495841.,   495841.0000000000
 0.47,       -0.2650903153,       -0.0003426906,        510746.,   510746.0000000000
 0.48,       -0.2603692527,        0.0003196653,        524849.,   524849.0000000000
 0.49,       -0.2564123627,        0.0015450134,        539092.,   539092.0000000000
 0.50,       -0.2543581595,        0.0009192420,        552875.,   552875.0000000000
