mu, q, u, number, w_total
 0.01,       -0.0435920077,       -0.0127227028,          3840.,     3840.0000000000
 0.02,       -0.0513729319,       -0.0007914040,         12160.,    12160.0000000000
 0.03,       -0.0510113262,       -0.0045448676,         20987.,    20987.0000000000
 0.04,       -0.0512592903,        0.0013606821,         30599.,    30599.0000000000
 0.05,       -0.0403876445,       -0.0008510830,         40215.,    40215.0000000000
 0.06,       -0.0385348481,        0.0003740398,         50404.,    50404.0000000000
 0.07,       -0.0390336738,        0.0017958770,         61341.,    61341.0000000000
 0.08,       -0.0394926231,       -0.0000181905,         72687.,    72687.0000000000
 0.09,       -0.0298305751,       -0.0002672703,         84154.,    84154.0000000000
 0.10,       -0.0279556644,        0.0027369102,         95842.,    95842.0000000000
 0.11,       -0.0260492265,       -0.0014630451,        108475.,   108475.0000000000
 0.12,       -0.0245909453,       -0.0012072352,        121908.,   121908.0000000000
 0.13,       -0.0155500293,        0.0019314886,        135571.,   135571.0000000000
 0.14,       -0.0161784472,       -0.0007143898,        148633.,   148633.0000000000
 0.15,       -0.0138187163,        0.0016047024,        163289.,   163289.0000000000
 0.16,       -0.0150162933,       -0.0018627806,        178074.,   178074.0000000000
 0.17,       -0.0096822937,       -0.0024687588,        193830.,   193830.0000000000
 0.18,       -0.0064043794,        0.0002100652,        209174.,   209174.0000000000
 0.19,       -0.0045791851,       -0.0016719223,        226272.,   226272.0000000000
 0.20,       -0.0017186503,       -0.0000140825,        243018.,   243018.0000000000
 0.21,        0.0015620576,        0.0023667526,        259823.,   259823.0000000000
 0.22,       -0.0005654700,       -0.0020856526,        278355.,   278355.0000000000
 0.23,        0.0007618999,       -0.0011044698,        297235.,   297235.0000000000
 0.24,        0.0030650830,       -0.0001511988,        315289.,   315289.0000000000
 0.25,        0.0047208321,        0.0008290333,        335871.,   335871.0000000000
 0.26,        0.0077866031,       -0.0007478578,        354502.,   354502.0000000000
 0.27,        0.0094096033,        0.0007812012,        374719.,   374719.0000000000
 0.28,        0.0081250030,       -0.0002447159,        395212.,   395212.0000000000
 0.29,        0.0107466419,        0.0009439007,        415884.,   415884.0000000000
 0.30,        0.0103271669,        0.0007612489,        437817.,   437817.0000000000
 0.31,        0.0123297796,        0.0013467480,        458178.,   458178.0000000000
 0.32,        0.0136523410,        0.0011996120,        479336.,   479336.0000000000
 0.33,        0.0137287248,       -0.0007085749,        504513.,   504513.0000000000
 0.34,        0.0156338949,        0.0003351081,        524732.,   524732.0000000000
 0.35,        0.0156184264,       -0.0001922098,        549551.,   549551.0000000000
 0.36,        0.0169858146,        0.0004219000,        572779.,   572779.0000000000
 0.37,        0.0154982533,       -0.0000020376,        594924.,   594924.0000000000
 0.38,        0.0184532762,        0.0000121922,        616452.,   616452.0000000000
 0.39,        0.0180418738,        0.0006938544,        641516.,   641516.0000000000
 0.40,        0.0177741741,       -0.0005543544,        665946.,   665946.0000000000
 0.41,        0.0173344536,       -0.0017993055,        689050.,   689050.0000000000
 0.42,        0.0183084583,        0.0012961159,        712064.,   712064.0000000000
 0.43,        0.0190439553,       -0.0008134082,        735566.,   735566.0000000000
 0.44,        0.0203271939,       -0.0003423497,        760226.,   760226.0000000000
 0.45,        0.0196386856,        0.0009786147,        782342.,   782342.0000000000
 0.46,        0.0201854239,       -0.0007469960,        807535.,   807535.0000000000
 0.47,        0.0198598875,        0.0017300133,        831119.,   831119.0000000000
 0.48,        0.0201716707,       -0.0007870334,        856130.,   856130.0000000000
 0.49,        0.0205095059,       -0.0012576004,        878248.,   878248.0000000000
 0.50,        0.0196499833,       -0.0000292814,        902049.,   902049.0000000000
 0.51,        0.0201875500,        0.0001338769,        924378.,   924378.0000000000
 0.52,        0.0200160334,       -0.0002420270,        949276.,   949276.0000000000
 0.53,        0.0202481208,       -0.0007303882,        973550.,   973550.0000000000
 0.54,        0.0204753489,       -0.0007505921,        999210.,   999210.0000000000
 0.55,        0.0211312694,       -0.0002558057,       1019920.,  1019920.0000000000
 0.56,        0.0188952423,        0.0004465374,       1045947.,  1045947.0000000000
 0.57,        0.0190979631,        0.0003433889,       1068007.,  1068007.0000000000
 0.58,        0.0190220504,        0.0009426794,       1090020.,  1090020.0000000000
 0.59,        0.0197532246,        0.0002255241,       1112165.,  1112165.0000000000
 0.60,        0.0192066880,        0.0008955580,       1136423.,  1136423.0000000000
 0.61,        0.0180272890,        0.0003100252,       1158447.,  1158447.0000000000
