mu, q, u, number, w_total
 0.01,       -0.1171594996,        0.0102416702,           962.,      962.0000000000
 0.02,       -0.1122624360,        0.0003417015,          3120.,     3120.0000000000
 0.03,       -0.1178601665,       -0.0205864897,          5287.,     5287.0000000000
 0.04,       -0.0994028961,       -0.0059351680,          7606.,     7606.0000000000
 0.05,       -0.0908880066,       -0.0045538145,         10146.,    10146.0000000000
 0.06,       -0.0885631427,       -0.0033792140,         12451.,    12451.0000000000
 0.07,       -0.0908042247,       -0.0045936893,         15139.,    15139.0000000000
 0.08,       -0.0779290259,       -0.0024063404,         18430.,    18430.0000000000
 0.09,       -0.0831898776,        0.0007128519,         20639.,    20639.0000000000
 0.10,       -0.0772139550,       -0.0034949748,         23713.,    23713.0000000000
 0.11,       -0.0802946072,       -0.0042369671,         27005.,    27005.0000000000
 0.12,       -0.0764009430,        0.0057777224,         29976.,    29976.0000000000
 0.13,       -0.0737266609,       -0.0034137676,         33325.,    33325.0000000000
 0.14,       -0.0646263494,        0.0004269730,         36736.,    36736.0000000000
 0.15,       -0.0688170449,        0.0034033108,         40048.,    40048.0000000000
 0.16,       -0.0610195533,       -0.0022453690,         43972.,    43972.0000000000
 0.17,       -0.0627562339,        0.0006638629,         47095.,    47095.0000000000
 0.18,       -0.0680217472,        0.0001209939,         51001.,    51001.0000000000
 0.19,       -0.0670764498,        0.0008117298,         55073.,    55073.0000000000
 0.20,       -0.0548750564,       -0.0059098571,         58532.,    58532.0000000000
 0.21,       -0.0575225346,       -0.0015177050,         62582.,    62582.0000000000
 0.22,       -0.0572950215,        0.0060074358,         66734.,    66734.0000000000
 0.23,       -0.0561781469,       -0.0023876423,         71302.,    71302.0000000000
 0.24,       -0.0532021771,        0.0022401284,         75272.,    75272.0000000000
 0.25,       -0.0532308989,        0.0035544170,         79781.,    79781.0000000000
 0.26,       -0.0500863729,        0.0008527223,         83643.,    83643.0000000000
 0.27,       -0.0499540394,        0.0024516888,         88687.,    88687.0000000000
 0.28,       -0.0512137293,        0.0030126916,         93496.,    93496.0000000000
 0.29,       -0.0522056093,       -0.0023545676,         97995.,    97995.0000000000
 0.30,       -0.0450928584,       -0.0034571405,        102685.,   102685.0000000000
 0.31,       -0.0462685401,        0.0030883150,        107476.,   107476.0000000000
 0.32,       -0.0465023179,        0.0028126792,        112668.,   112668.0000000000
 0.33,       -0.0442299401,       -0.0006208508,        117977.,   117977.0000000000
 0.34,       -0.0418826499,       -0.0002671195,        123751.,   123751.0000000000
