mu, q, u, number, w_total
 0.01,       -0.0971870328,        0.0157271111,          3801.,     3801.0000000000
 0.02,       -0.1081183758,        0.0047385148,         11827.,    11827.0000000000
 0.03,       -0.0826790546,        0.0063949414,         20224.,    20224.0000000000
 0.04,       -0.0852594702,       -0.0020475388,         29189.,    29189.0000000000
 0.05,       -0.0898660430,        0.0060902888,         39233.,    39233.0000000000
 0.06,       -0.0760753258,        0.0062476703,         49061.,    49061.0000000000
 0.07,       -0.0716832981,        0.0033046117,         59340.,    59340.0000000000
 0.08,       -0.0756648839,        0.0003985768,         69297.,    69297.0000000000
 0.09,       -0.0717851326,       -0.0032090890,         81008.,    81008.0000000000
 0.10,       -0.0671106671,        0.0018514855,         92774.,    92774.0000000000
 0.11,       -0.0648740245,       -0.0022668465,        104206.,   104206.0000000000
 0.12,       -0.0611276743,       -0.0000367633,        116221.,   116221.0000000000
 0.13,       -0.0638966198,        0.0029698820,        128524.,   128524.0000000000
 0.14,       -0.0597273035,       -0.0002342825,        141945.,   141945.0000000000
 0.15,       -0.0592325390,       -0.0014836542,        155518.,   155518.0000000000
 0.16,       -0.0564364120,        0.0001710192,        169555.,   169555.0000000000
 0.17,       -0.0529969318,       -0.0009836341,        182537.,   182537.0000000000
 0.18,       -0.0517509266,        0.0013377525,        197750.,   197750.0000000000
 0.19,       -0.0473443473,        0.0015091515,        213126.,   213126.0000000000
 0.20,       -0.0491654889,       -0.0000126654,        227948.,   227948.0000000000
 0.21,       -0.0487645791,        0.0003359639,        243564.,   243564.0000000000
 0.22,       -0.0457365390,       -0.0025378568,        258135.,   258135.0000000000
 0.23,       -0.0450504740,        0.0006451957,        274255.,   274255.0000000000
 0.24,       -0.0424943133,        0.0010190558,        291088.,   291088.0000000000
 0.25,       -0.0435771999,        0.0026870415,        308455.,   308455.0000000000
 0.26,       -0.0376092085,        0.0023430387,        326108.,   326108.0000000000
 0.27,       -0.0380400673,       -0.0010910646,        343619.,   343619.0000000000
 0.28,       -0.0373741532,       -0.0010640960,        360697.,   360697.0000000000
 0.29,       -0.0377124416,        0.0010897798,        379992.,   379992.0000000000
 0.30,       -0.0343365179,       -0.0012592011,        398130.,   398130.0000000000
 0.31,       -0.0339318918,        0.0004501306,        418018.,   418018.0000000000
 0.32,       -0.0312449443,       -0.0002396570,        437601.,   437601.0000000000
 0.33,       -0.0339552937,        0.0003965379,        456722.,   456722.0000000000
 0.34,       -0.0319266062,       -0.0006539059,        478344.,   478344.0000000000
 0.35,       -0.0304275072,        0.0005504310,        497310.,   497310.0000000000
 0.36,       -0.0312526607,        0.0006625934,        517667.,   517667.0000000000
 0.37,       -0.0303798329,        0.0000258947,        538812.,   538812.0000000000
 0.38,       -0.0276194684,       -0.0013329369,        559671.,   559671.0000000000
 0.39,       -0.0269621163,        0.0005943403,        583057.,   583057.0000000000
 0.40,       -0.0256719227,        0.0002505200,        605433.,   605433.0000000000
 0.41,       -0.0263714100,        0.0005384217,        626192.,   626192.0000000000
 0.42,       -0.0254064341,       -0.0012118793,        648653.,   648653.0000000000
 0.43,       -0.0241311236,        0.0007952050,        671799.,   671799.0000000000
 0.44,       -0.0230760117,       -0.0014187790,        696037.,   696037.0000000000
 0.45,       -0.0220136142,       -0.0006530686,        720653.,   720653.0000000000
 0.46,       -0.0214081422,       -0.0007136431,        745694.,   745694.0000000000
 0.47,       -0.0212561509,       -0.0007277570,        769062.,   769062.0000000000
 0.48,       -0.0199798328,       -0.0007176447,        791870.,   791870.0000000000
 0.49,       -0.0191162765,        0.0007585534,        819431.,   819431.0000000000
 0.50,       -0.0188235201,       -0.0000373912,        844538.,   844538.0000000000
 0.51,       -0.0196282922,        0.0017206967,        869095.,   869095.0000000000
 0.52,       -0.0181952044,        0.0004489986,        897570.,   897570.0000000000
 0.53,       -0.0184688175,       -0.0000060789,        924101.,   924101.0000000000
 0.54,       -0.0164306052,        0.0001106841,        950563.,   950563.0000000000
 0.55,       -0.0157953996,        0.0000638552,        978396.,   978396.0000000000
 0.56,       -0.0142334322,        0.0001538469,       1004780.,  1004780.0000000000
 0.57,       -0.0149703402,        0.0013704439,       1032074.,  1032074.0000000000
 0.58,       -0.0144189562,        0.0004113771,       1061066.,  1061066.0000000000
 0.59,       -0.0134780095,       -0.0001922633,       1091585.,  1091585.0000000000
 0.60,       -0.0130179214,        0.0004002722,       1118359.,  1118359.0000000000
 0.61,       -0.0116058913,        0.0006743844,       1147911.,  1147911.0000000000
 0.62,       -0.0128782725,        0.0013818546,       1178152.,  1178152.0000000000
 0.63,       -0.0118779438,       -0.0007376060,       1208620.,  1208620.0000000000
 0.64,       -0.0122645721,        0.0001443488,       1235428.,  1235428.0000000000
 0.65,       -0.0106932637,        0.0001362557,       1270826.,  1270826.0000000000
 0.66,       -0.0107122476,       -0.0000689185,       1299513.,  1299513.0000000000
 0.67,       -0.0092290852,       -0.0005623534,       1331960.,  1331960.0000000000
 0.68,       -0.0091232624,       -0.0003764661,       1365173.,  1365173.0000000000
 0.69,       -0.0089933239,        0.0003173997,       1395081.,  1395081.0000000000
 0.70,       -0.0088263580,        0.0006851534,       1428654.,  1428654.0000000000
 0.71,       -0.0090771257,        0.0000455431,       1460819.,  1460819.0000000000
 0.72,       -0.0079271852,        0.0003515768,       1493420.,  1493420.0000000000
 0.73,       -0.0075904618,        0.0008893482,       1524120.,  1524120.0000000000
 0.74,       -0.0077292074,        0.0000050923,       1561610.,  1561610.0000000000
 0.75,       -0.0059851250,       -0.0001992538,       1594424.,  1594424.0000000000
 0.76,       -0.0052953741,       -0.0004678398,       1629106.,  1629106.0000000000
 0.77,       -0.0058891256,       -0.0005659994,       1662462.,  1662462.0000000000
 0.78,       -0.0055277134,        0.0003601009,       1699110.,  1699110.0000000000
 0.79,       -0.0050449739,        0.0004364069,       1735851.,  1735851.0000000000
 0.80,       -0.0045775211,       -0.0000443312,       1771198.,  1771198.0000000000
 0.81,       -0.0042388169,       -0.0003730723,       1807695.,  1807695.0000000000
 0.82,       -0.0042213460,       -0.0001814520,       1844180.,  1844180.0000000000
 0.83,       -0.0032524937,        0.0004363561,       1877010.,  1877010.0000000000
 0.84,       -0.0039570950,        0.0006697178,       1914915.,  1914915.0000000000
 0.85,       -0.0026557347,        0.0003744400,       1952432.,  1952432.0000000000
