mu, q, u, number, w_total
 0.01,       -0.0000155911,        0.0000045446,          3969.,        1.0997507085
 0.02,       -0.0000269231,       -0.0000065171,          3983.,        1.1422585800
 0.03,       -0.0000270441,        0.0000013050,          4079.,        1.1554814832
 0.04,       -0.0000252482,        0.0000016248,          4100.,        1.1405379945
 0.05,       -0.0000316902,       -0.0000064705,          3995.,        1.1582942224
 0.06,       -0.0000338220,        0.0000042144,          3994.,        1.1659957337
 0.07,       -0.0000265977,        0.0000022595,          4141.,        1.2315008724
 0.08,       -0.0000393524,       -0.0000036685,          4135.,        1.2385306186
 0.09,       -0.0000315719,       -0.0000054581,          4079.,        1.2588779713
 0.10,       -0.0000433028,       -0.0000047673,          4113.,        1.2665603250
 0.11,       -0.0000431136,       -0.0000039707,          4128.,        1.2785365566
 0.12,       -0.0000465002,       -0.0000112037,          4265.,        1.3056089073
 0.13,       -0.0000451679,       -0.0000008282,          4253.,        1.3589238743
 0.14,       -0.0000388683,       -0.0000070586,          4256.,        1.3114650310
 0.15,       -0.0000450830,        0.0000016186,          4398.,        1.4132494204
 0.16,       -0.0000461311,        0.0000035754,          4359.,        1.4529159860
 0.17,       -0.0000538810,        0.0000045674,          4208.,        1.3956673142
 0.18,       -0.0000526123,        0.0000009053,          4538.,        1.4721362072
 0.19,       -0.0000577813,       -0.0000040367,          4477.,        1.5181095340
 0.20,       -0.0000528609,       -0.0000054124,          4530.,        1.5257102449
 0.21,       -0.0000608537,       -0.0000034429,          4659.,        1.5912800614
 0.22,       -0.0000661271,        0.0000078292,          4616.,        1.6290267976
 0.23,       -0.0000640262,        0.0000070756,          4645.,        1.6080860535
 0.24,       -0.0000734637,       -0.0000042278,          4693.,        1.6903712189
 0.25,       -0.0000757697,        0.0000054681,          4980.,        1.7997996392
 0.26,       -0.0000720419,        0.0000030751,          4938.,        1.8398876136
 0.27,       -0.0000684977,       -0.0000049438,          5024.,        1.8771662110
 0.28,       -0.0000808128,       -0.0000005436,          5093.,        1.9320090679
 0.29,       -0.0000777316,       -0.0000115827,          5107.,        1.9564885182
 0.30,       -0.0000775323,        0.0000007454,          5293.,        2.0380724634
 0.31,       -0.0000835704,        0.0000080448,          5334.,        2.0613736054
 0.32,       -0.0000790525,       -0.0000078564,          5421.,        2.0999665260
 0.33,       -0.0000874366,       -0.0000075344,          5638.,        2.2990296380
 0.34,       -0.0000788191,        0.0000028891,          5758.,        2.3320946037
 0.35,       -0.0000971537,       -0.0000024944,          5865.,        2.4343731102
 0.36,       -0.0000955184,        0.0000074372,          5905.,        2.4709949709
 0.37,       -0.0000828750,       -0.0000012436,          6102.,        2.5341667820
 0.38,       -0.0000951649,       -0.0000038081,          6105.,        2.5692399789
 0.39,       -0.0000879757,       -0.0000040783,          6277.,        2.6810513610
 0.40,       -0.0000954410,       -0.0000013628,          6548.,        2.8361360859
 0.41,       -0.0000968347,       -0.0000094206,          6684.,        2.8987836541
 0.42,       -0.0000858980,        0.0000013218,          6838.,        3.0002301187
 0.43,       -0.0000943119,        0.0000008230,          6817.,        3.0454829828
 0.44,       -0.0000934759,       -0.0000003590,          7219.,        3.1096351660
 0.45,       -0.0001009661,       -0.0000136169,          7178.,        3.3095076241
 0.46,       -0.0000948609,       -0.0000080352,          7443.,        3.3827203071
 0.47,       -0.0000988773,       -0.0000029803,          7456.,        3.4400229340
 0.48,       -0.0001004983,       -0.0000038122,          7948.,        3.7471813434
 0.49,       -0.0000930400,        0.0000001253,          8099.,        3.7613991776
